[DATETIME_KEY],ARABICA,AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,BCHEUR,BRENT,BTCEUR,BTCUSD,CADCHF,CADJPY,CHFJPY,COCOA,COPPER,COTTON,CRUDOIL,EURAUD,EURCAD,EURCHF,EURCZK,EURGBP,EURHUF,EURJPY,EURNZD,EURPLN,EURRUB,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,GOLD,NGAS,NZDCAD,NZDCHF,NZDJPY,NZDUSD,ORANGE.JUICE,PALLADIUM,PLATINUM,ROBUSTA,SILVER,SUGAR.RAW,SUGAR.WHITE,USDBRL,USDCAD,USDCHF,USDCLP,USDCNH,USDCZK,USDJPY,USDMXN,USDPLN,USDRON,USDRUB,WTI
2020.11.16,2,2,2,2,-1,2,1,2,1,1,2,1,-1,2,2,2,2,-2,-2,1,-1,1,2,-1,-2,-2,-2,1,-2,-2,1,-1,-2,1,-1,-2,2,2,2,2,2,1,2,2,1,2,2,1,-2,-1,-1,-1,-1,-1,-2,-1,1,-2,2
2020.11.17,1,-1,-2,-2,-1,-1,1,-1,1,1,-2,-2,-2,2,-1,-1,-1,2,2,-1,2,-2,2,-2,2,2,-1,1,2,2,1,-1,2,2,-1,1,-1,-2,-2,-1,2,-1,-1,-2,-1,-2,-2,-2,2,-1,-1,-1,1,-2,1,1,-1,-1,-1
2020.11.18,2,-1,-1,-2,-2,-1,-1,1,1,1,-1,-1,-2,2,-1,1,1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,1,-1,-1,-2,-1,1,-1,-1,2,1,-1,1,2,1,2,-1,-1,1,1,1,-1,-1,-1,1,-2,-2,1,-2,-1,-2,1
2020.11.19,1,-2,-2,-2,-2,-2,-1,-1,1,-1,-1,-1,1,2,1,-1,-1,2,1,1,1,2,-2,1,2,-1,1,1,1,-1,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,1,-1,1,-2,-1,-2,-2,-2,1,-1,-1,1,-1,-1,-2,-1,1,-1,-1
2020.11.20,-2,2,1,1,1,1,1,2,1,1,-1,-1,1,2,2,2,1,-2,1,-2,1,-2,2,-1,-2,1,-1,-1,-1,2,1,1,1,1,1,2,2,1,1,1,1,1,-1,-1,1,-1,-1,2,2,1,1,-2,2,1,-2,1,1,1,1
2020.11.23,-2,-2,-1,1,-2,-1,1,1,-1,-1,1,2,2,1,-2,1,1,1,-1,-1,-1,-2,2,2,1,1,-1,-1,2,1,1,2,2,1,-2,1,-1,-1,2,-1,1,1,-2,-1,-1,-2,-2,2,1,1,2,2,1,2,1,1,2,1,1
2020.11.24,1,2,2,2,2,2,2,2,1,1,2,2,1,-1,2,-2,2,-2,-2,2,-2,1,-1,2,-2,-1,-1,2,-2,-2,1,1,-2,1,-2,2,1,2,2,2,-1,1,2,-2,-1,-1,1,-1,-3,-1,1,1,-2,-1,-2,-2,-2,-2,2
2020.11.25,1,1,-2,-1,-2,-1,-1,2,-1,-1,-2,-1,2,-2,1,-1,2,1,2,-2,1,-1,1,1,-1,1,1,1,1,2,-1,1,-1,1,-1,2,2,1,1,2,1,-1,1,1,1,-2,-2,-2,2,-1,-1,-1,-1,1,-1,-1,-1,-1,2
2020.11.27,2,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,2,1,2,1,1,2,1,2,2,1,1,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,1,1,2,-1,-1,-2,-1,-1,-1,-2,-1,1,-1,-1,-1,-1,-2,-2,1,1
2020.11.30,1,-2,-1,-2,-2,-2,2,-2,1,1,2,1,-2,-1,1,-2,-1,2,-2,1,1,-1,-2,-1,1,-1,-1,-2,2,-1,2,1,1,-1,-1,2,-1,1,-1,-2,-1,-2,-1,-1,-1,-2,-2,2,2,2,-1,1,2,1,2,1,2,-1,-1
2020.12.01,-2,-2,-2,1,-2,1,-1,-2,-1,-1,-2,2,3,-2,2,-1,-2,2,2,2,1,2,-2,3,2,-2,1,3,2,1,-1,2,1,2,2,-2,1,-1,2,2,-2,2,2,-2,2,-1,-1,-2,-2,-2,-1,-2,-2,1,-2,-3,-3,-2,-2
2020.12.02,1,2,-1,2,2,2,-1,1,-1,-1,-2,1,2,1,-1,-1,1,-1,2,-2,2,2,2,2,2,2,-2,2,-2,-2,-2,-2,-2,-2,1,-2,-1,-2,-1,-1,2,1,1,-2,1,1,1,1,-1,-2,-1,-1,1,1,-1,1,-2,-2,1
2020.12.03,-1,-2,-1,-1,2,1,-1,2,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-2,1,-2,-2,-2,2,-1,-2,2,1,1,1,1,2,2,1,-3,-2,-2,-2,-1,1,-2,2,1,-1,1,1,-2,-2,-2,-1,-1,-1,-2,-2,-1,-2,-2,1
2020.12.04,-2,-3,-1,1,2,-1,-1,1,-1,-1,2,2,2,1,2,1,1,1,-2,-2,1,1,2,1,2,1,-2,-1,1,-2,-1,1,2,-1,-1,2,-3,-2,-1,-2,-2,2,2,-1,1,-2,-2,1,-2,1,-1,-2,2,2,-2,1,-1,-2,1
2020.12.07,2,-1,-1,-2,-2,-1,-1,-2,-1,-1,-1,-1,-1,1,-2,1,-2,1,1,-2,-1,1,2,-2,-1,1,-2,-1,-1,-1,-2,-2,-1,-2,2,-1,1,-1,-1,-1,-2,-1,-2,-1,1,1,1,-2,2,1,-2,-1,1,-1,2,1,1,-2,-2
