[DATETIME_KEY],AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,BCHEUR,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURHUF,EURJPY,EURNZD,EURPLN,EURRUB,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,GOLD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,PLATINUM,SILVER,USDCAD,USDCHF,USDCNH,USDCZK,USDJPY,USDMXN,USDPLN,USDRON,USDRUB,WTI
2020.12.10T11:00:00,-1,-1,-2,2,-1,-2,-1,-2,-2,1,-1,-1,2,1,-2,2,-1,-1,-1,-1,-2,-2,-2,1,-2,-1,-2,-2,-2,-2,-2,1,-1,1,1,1,-2,1,1,1,1,-2
2020.12.10T11:01:00,-1,1,-1,-1,-2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,1,1,1,-1,1,-1,-1,1,1,-1,-2,-1,-1,2,2,1,2,1,2,1,1,1,-2
2020.12.10T11:02:00,2,1,-1,-2,-1,-1,-2,-2,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-2,2,1,1,1,-1,-2,2,1,1,1,-1,1,1,1,-1,2
2020.12.10T11:03:00,-2,-1,-2,-1,-2,1,2,1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,2,-1,1,1,2,-1,-1,-2,-1,-2,-2,-1,-2,1,2,-2,1,1,1,1,1,1,-1
2020.12.10T11:04:00,2,2,2,-1,1,1,1,1,-1,1,1,2,2,1,1,-1,1,-2,1,-1,-1,-1,-1,-2,-1,-2,2,2,2,1,-2,-2,2,1,2,-1,2,1,-1,-1,-2,2
2020.12.10T11:05:00,3,2,2,2,2,-1,1,-1,-2,-2,-1,-1,1,-1,-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-1,-1,2,2,2,2,-1,2,-2,-1,-1,-1,-2,-2,1,1,-1,2
2020.12.10T11:06:00,1,-1,1,-2,1,1,-2,1,2,1,1,-1,-2,-1,1,-1,-1,-1,1,2,2,2,2,1,2,-2,2,1,2,2,-2,-1,-1,-2,-1,-2,1,-2,-1,-1,-2,1
2020.12.10T11:07:00,2,-1,1,-2,1,1,-2,-1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,2,-1,1,2,2,1,2,1,-1,2,2,-1,1,-1,1,1,-1,-1,-1,-1
2020.12.10T11:08:00,-1,2,2,2,2,1,2,2,-1,-2,-1,1,-1,1,1,-1,1,-1,1,-1,-1,2,2,1,1,-1,-2,1,1,1,2,2,-2,-1,-2,-1,1,-2,1,-1,-1,2
2020.12.10T11:09:00,2,2,-1,-1,-2,1,1,-2,-2,-2,-1,-1,1,1,-2,-2,1,2,-2,-2,-1,-2,-2,-2,-2,-1,2,2,-1,-2,-1,-1,2,2,2,2,2,2,2,1,2,-2
2020.12.10T11:10:00,2,2,2,2,2,-2,1,1,1,-2,-1,1,-1,2,1,1,-1,-1,1,-1,1,1,1,1,1,-2,-1,1,1,1,-2,-2,-2,-1,-2,-2,-1,-1,-1,-1,-2,1
2020.12.10T11:11:00,-2,-1,1,-1,-1,1,1,2,1,2,1,1,1,-2,2,1,-1,1,1,1,-1,1,2,1,1,1,-2,1,2,1,1,2,-2,-1,-1,-1,2,-2,-1,-1,-1,1
2020.12.10T11:12:00,-1,-2,-1,-2,-1,2,-2,-1,1,1,-1,-2,-1,-1,-1,-1,1,1,-1,1,1,-2,-1,-1,-1,-2,1,-2,-1,-1,-1,-2,1,-2,1,1,-1,1,1,1,2,-1
2020.12.10T11:13:00,1,-1,-1,-1,-1,1,-1,-1,-1,2,1,1,2,1,1,1,-1,-1,1,-1,-1,-1,-2,-1,-1,-1,1,-1,-1,-1,-2,-1,1,-1,-1,-1,-1,1,-1,-1,-2,-2
2020.12.10T11:14:00,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,1,1,-1,1,-1,-2,1,1,1,1,1,-2,1,-1,-2,1
2020.12.10T11:15:00,1,2,-1,-2,1,-1,1,-2,-2,-1,-1,1,-1,-2,-1,-2,-1,-2,-1,1,1,2,1,-1,1,2,2,2,1,2,1,2,1,1,-2,1,-2,2,1,1,-1,-1
2020.12.10T11:16:00,-1,1,1,-1,-1,-1,1,2,1,1,1,2,1,-1,1,1,1,1,1,1,1,1,2,-1,-1,3,1,1,1,-1,1,2,-1,1,2,-1,2,1,-1,-1,-1,-1
2020.12.10T11:17:00,2,-1,1,-2,1,2,-2,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,1,-1,1,2,2,1,2,2,2,2,-1,-1,-1,-1,-1,-2,-1,-1,-2,-1
2020.12.10T11:18:00,2,2,2,2,2,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,2,1,-1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,-1,-1,-1,1,-1,-1,2,-2
2020.12.10T11:19:00,-2,-1,2,-1,2,-1,2,2,1,1,-1,1,2,-1,1,1,-1,-2,1,-1,-2,-2,1,-1,-1,1,-2,-1,2,1,1,1,-2,-1,-1,-2,1,-2,-1,-1,-2,2
2020.12.10T11:20:00,-1,-2,-2,-2,-2,-1,-1,-2,1,2,1,1,1,-1,1,1,1,2,1,-1,-1,-1,-2,-1,-1,-2,1,-1,-1,-1,-1,1,2,-1,-2,-1,-1,1,1,-1,2,-1
2020.12.10T11:21:00,-2,-2,-2,1,-2,-1,-2,-1,1,2,1,-1,2,1,1,2,1,1,1,1,-1,-2,-1,1,-1,-2,-2,-2,-2,-2,-2,-2,1,-1,1,-1,1,-1,-1,-1,-1,-1
2020.12.10T11:22:00,-1,-2,-1,2,-1,-1,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,-1,1,2,1,1,-2,-2,-2,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,1
2020.12.10T11:23:00,1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,1,1,-1,-1,-2,-2,1,1,-2,1,1,1,1,1,1,-1
2020.12.10T11:24:00,1,2,1,2,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,2,-1,1,-1,-1,1,-1,1,1,2,1,1,-1,1,1,-2,-1
2020.12.10T11:25:00,2,3,2,-1,2,2,2,2,-1,-2,1,2,1,-1,1,-2,1,1,2,-2,-1,2,1,-2,1,1,2,2,2,2,2,1,-2,1,-2,-2,-1,-2,-1,-1,-1,2
