<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	0.95731	0.95733	0.95717	0.95725	84	0	20
2020.12.10	11:01:00	0.95724	0.95736	0.95721	0.95722	90	0	21
2020.12.10	11:02:00	0.95721	0.95740	0.95720	0.95733	77	0	21
2020.12.10	11:03:00	0.95732	0.95740	0.95705	0.95711	82	0	20
2020.12.10	11:04:00	0.95711	0.95724	0.95700	0.95719	96	0	20
2020.12.10	11:05:00	0.95718	0.95762	0.95718	0.95754	144	0	20
2020.12.10	11:06:00	0.95755	0.95762	0.95750	0.95759	74	0	21
2020.12.10	11:07:00	0.95758	0.95769	0.95757	0.95766	49	0	20
2020.12.10	11:08:00	0.95766	0.95773	0.95758	0.95762	70	0	20
2020.12.10	11:09:00	0.95762	0.95772	0.95752	0.95771	66	0	20
2020.12.10	11:10:00	0.95772	0.95786	0.95767	0.95785	102	0	20
2020.12.10	11:11:00	0.95786	0.95786	0.95758	0.95766	67	0	20
2020.12.10	11:12:00	0.95765	0.95768	0.95756	0.95759	62	0	21
2020.12.10	11:13:00	0.95759	0.95764	0.95758	0.95760	58	0	21
2020.12.10	11:14:00	0.95759	0.95783	0.95748	0.95764	89	0	20
2020.12.10	11:15:00	0.95764	0.95776	0.95762	0.95770	85	0	20
2020.12.10	11:16:00	0.95771	0.95774	0.95764	0.95769	49	0	21
2020.12.10	11:17:00	0.95770	0.95782	0.95769	0.95777	54	0	20
2020.12.10	11:18:00	0.95777	0.95795	0.95777	0.95794	62	0	20
2020.12.10	11:19:00	0.95793	0.95794	0.95777	0.95781	52	0	20
2020.12.10	11:20:00	0.95781	0.95781	0.95771	0.95776	58	0	20
2020.12.10	11:21:00	0.95776	0.95783	0.95764	0.95765	41	0	20
2020.12.10	11:22:00	0.95765	0.95765	0.95752	0.95761	69	0	21
2020.12.10	11:23:00	0.95761	0.95763	0.95750	0.95762	45	0	21
2020.12.10	11:24:00	0.95762	0.95767	0.95761	0.95767	26	0	22
2020.12.10	11:25:00	0.95767	0.95788	0.95766	0.95788	45	0	20
2020.12.10	11:26:00	0.95788	0.95788	0.95778	0.95783	43	0	24
2020.12.10	11:27:00	0.95782	0.95794	0.95771	0.95793	40	0	20
2020.12.10	11:28:00	0.95793	0.95826	0.95793	0.95821	109	0	20
2020.12.10	11:29:00	0.95821	0.95823	0.95809	0.95820	43	0	20
2020.12.10	11:30:00	0.95820	0.95820	0.95805	0.95814	66	0	20
2020.12.10	11:31:00	0.95814	0.95825	0.95813	0.95822	71	0	21
2020.12.10	11:32:00	0.95822	0.95826	0.95814	0.95825	55	0	21
2020.12.10	11:33:00	0.95826	0.95826	0.95814	0.95821	49	0	21
2020.12.10	11:34:00	0.95821	0.95846	0.95821	0.95842	63	0	20
2020.12.10	11:35:00	0.95842	0.95857	0.95836	0.95854	78	0	22
2020.12.10	11:36:00	0.95854	0.95856	0.95840	0.95856	79	0	20
2020.12.10	11:37:00	0.95855	0.95861	0.95853	0.95860	70	0	20
