<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	0.66520	0.66521	0.66507	0.66515	63	0	39
2020.12.10	11:01:00	0.66515	0.66529	0.66515	0.66518	70	0	37
2020.12.10	11:02:00	0.66516	0.66523	0.66513	0.66517	57	0	39
2020.12.10	11:03:00	0.66516	0.66522	0.66504	0.66510	55	0	37
2020.12.10	11:04:00	0.66511	0.66523	0.66500	0.66519	69	0	36
2020.12.10	11:05:00	0.66519	0.66554	0.66519	0.66549	95	0	36
2020.12.10	11:06:00	0.66548	0.66558	0.66539	0.66543	62	0	38
2020.12.10	11:07:00	0.66543	0.66545	0.66539	0.66540	43	0	38
2020.12.10	11:08:00	0.66540	0.66554	0.66540	0.66549	56	0	36
2020.12.10	11:09:00	0.66549	0.66558	0.66541	0.66557	52	0	38
2020.12.10	11:10:00	0.66556	0.66570	0.66556	0.66570	59	0	37
2020.12.10	11:11:00	0.66569	0.66569	0.66554	0.66563	49	0	36
2020.12.10	11:12:00	0.66561	0.66563	0.66545	0.66547	44	0	38
2020.12.10	11:13:00	0.66547	0.66549	0.66542	0.66542	30	0	38
2020.12.10	11:14:00	0.66542	0.66559	0.66533	0.66547	59	0	38
2020.12.10	11:15:00	0.66547	0.66560	0.66545	0.66559	74	0	37
2020.12.10	11:16:00	0.66560	0.66567	0.66557	0.66562	50	0	37
2020.12.10	11:17:00	0.66563	0.66571	0.66562	0.66562	33	0	36
2020.12.10	11:18:00	0.66562	0.66578	0.66561	0.66576	40	0	36
2020.12.10	11:19:00	0.66575	0.66575	0.66568	0.66574	53	0	37
2020.12.10	11:20:00	0.66573	0.66574	0.66565	0.66566	37	0	38
2020.12.10	11:21:00	0.66566	0.66566	0.66547	0.66547	28	0	38
2020.12.10	11:22:00	0.66548	0.66548	0.66536	0.66539	42	0	39
2020.12.10	11:23:00	0.66539	0.66545	0.66537	0.66543	46	0	38
2020.12.10	11:24:00	0.66543	0.66551	0.66542	0.66550	35	0	38
2020.12.10	11:25:00	0.66550	0.66582	0.66550	0.66582	42	0	36
2020.12.10	11:26:00	0.66582	0.66583	0.66573	0.66580	36	0	39
2020.12.10	11:27:00	0.66580	0.66592	0.66570	0.66592	37	0	37
2020.12.10	11:28:00	0.66592	0.66619	0.66589	0.66616	71	0	36
2020.12.10	11:29:00	0.66616	0.66625	0.66614	0.66620	32	0	38
2020.12.10	11:30:00	0.66618	0.66619	0.66606	0.66613	49	0	37
2020.12.10	11:31:00	0.66613	0.66616	0.66606	0.66613	54	0	36
2020.12.10	11:32:00	0.66613	0.66621	0.66611	0.66616	31	0	37
2020.12.10	11:33:00	0.66616	0.66619	0.66611	0.66611	39	0	38
2020.12.10	11:34:00	0.66610	0.66631	0.66609	0.66629	61	0	37
2020.12.10	11:35:00	0.66630	0.66630	0.66610	0.66627	74	0	38
2020.12.10	11:36:00	0.66627	0.66633	0.66623	0.66633	57	0	38
2020.12.10	11:37:00	0.66633	0.66636	0.66624	0.66624	46	0	38
2020.12.10	11:38:00	0.66624	0.66624	0.66596	0.66597	60	0	37
2020.12.10	11:39:00	0.66596	0.66598	0.66585	0.66591	75	0	38
2020.12.10	11:40:00	0.66591	0.66595	0.66586	0.66595	42	0	39
2020.12.10	11:41:00	0.66596	0.66596	0.66587	0.66589	40	0	36
2020.12.10	11:42:00	0.66589	0.66594	0.66574	0.66575	62	0	38
2020.12.10	11:43:00	0.66577	0.66577	0.66551	0.66551	81	0	36
2020.12.10	11:44:00	0.66551	0.66563	0.66551	0.66561	33	0	39
2020.12.10	11:45:00	0.66563	0.66568	0.66555	0.66556	66	0	38
2020.12.10	11:46:00	0.66557	0.66567	0.66556	0.66566	42	0	39
2020.12.10	11:47:00	0.66567	0.66569	0.66559	0.66567	54	0	36
2020.12.10	11:48:00	0.66567	0.66579	0.66565	0.66576	61	0	36
2020.12.10	11:49:00	0.66575	0.66575	0.66568	0.66569	53	0	37
2020.12.10	11:50:00	0.66569	0.66570	0.66550	0.66553	43	0	36
2020.12.10	11:51:00	0.66554	0.66561	0.66550	0.66558	41	0	37
2020.12.10	11:52:00	0.66558	0.66567	0.66553	0.66567	54	0	38
2020.12.10	11:53:00	0.66566	0.66577	0.66565	0.66574	27	0	36
2020.12.10	11:54:00	0.66573	0.66573	0.66559	0.66559	25	0	36
2020.12.10	11:55:00	0.66559	0.66568	0.66557	0.66564	39	0	37
2020.12.10	11:56:00	0.66564	0.66567	0.66563	0.66567	15	0	37
2020.12.10	11:57:00	0.66564	0.66564	0.66531	0.66533	37	0	36
2020.12.10	11:58:00	0.66532	0.66540	0.66532	0.66534	43	0	41
2020.12.10	11:59:00	0.66534	0.66542	0.66533	0.66537	44	0	38
2020.12.10	12:00:00	0.66537	0.66538	0.66528	0.66534	44	0	37
2020.12.10	12:01:00	0.66531	0.66534	0.66522	0.66534	29	0	38
2020.12.10	12:02:00	0.66534	0.66536	0.66529	0.66531	31	0	39
2020.12.10	12:03:00	0.66530	0.66532	0.66524	0.66530	40	0	40
2020.12.10	12:04:00	0.66531	0.66533	0.66525	0.66526	37	0	40
2020.12.10	12:05:00	0.66527	0.66547	0.66526	0.66547	38	0	36
2020.12.10	12:06:00	0.66547	0.66547	0.66540	0.66540	26	0	40
2020.12.10	12:07:00	0.66539	0.66542	0.66532	0.66533	34	0	40
2020.12.10	12:08:00	0.66533	0.66544	0.66531	0.66540	24	0	37
2020.12.10	12:09:00	0.66540	0.66540	0.66527	0.66529	37	0	39
2020.12.10	12:10:00	0.66529	0.66545	0.66528	0.66545	40	0	39
2020.12.10	12:11:00	0.66545	0.66559	0.66539	0.66552	48	0	38
2020.12.10	12:12:00	0.66553	0.66557	0.66547	0.66550	28	0	40
2020.12.10	12:13:00	0.66549	0.66561	0.66548	0.66561	20	0	40
2020.12.10	12:14:00	0.66561	0.66563	0.66558	0.66560	19	0	39
2020.12.10	12:15:00	0.66560	0.66571	0.66556	0.66558	46	0	37
2020.12.10	12:16:00	0.66557	0.66558	0.66548	0.66550	42	0	39
2020.12.10	12:17:00	0.66550	0.66552	0.66544	0.66545	29	0	39
2020.12.10	12:18:00	0.66545	0.66547	0.66542	0.66545	36	0	39
2020.12.10	12:19:00	0.66544	0.66545	0.66529	0.66533	34	0	38
2020.12.10	12:20:00	0.66533	0.66544	0.66531	0.66544	31	0	37
2020.12.10	12:21:00	0.66544	0.66545	0.66538	0.66540	26	0	38
2020.12.10	12:22:00	0.66539	0.66539	0.66535	0.66537	29	0	38
2020.12.10	12:23:00	0.66538	0.66542	0.66536	0.66540	24	0	38
2020.12.10	12:24:00	0.66539	0.66543	0.66534	0.66534	34	0	38
2020.12.10	12:25:00	0.66534	0.66545	0.66534	0.66544	33	0	36
2020.12.10	12:26:00	0.66544	0.66548	0.66543	0.66548	23	0	38
2020.12.10	12:27:00	0.66548	0.66550	0.66538	0.66540	22	0	37
2020.12.10	12:28:00	0.66540	0.66541	0.66537	0.66537	9	0	39
2020.12.10	12:29:00	0.66538	0.66540	0.66533	0.66539	24	0	38
2020.12.10	12:30:00	0.66539	0.66540	0.66531	0.66532	42	0	38
2020.12.10	12:31:00	0.66532	0.66536	0.66530	0.66535	22	0	40
2020.12.10	12:32:00	0.66535	0.66538	0.66531	0.66538	27	0	38
2020.12.10	12:33:00	0.66536	0.66544	0.66536	0.66538	28	0	38
2020.12.10	12:34:00	0.66537	0.66543	0.66529	0.66529	41	0	39
2020.12.10	12:35:00	0.66528	0.66528	0.66516	0.66520	46	0	36
2020.12.10	12:36:00	0.66519	0.66526	0.66517	0.66526	41	0	38
