<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	0.74787	0.74789	0.74767	0.74780	51	0	8
2020.12.10	11:01:00	0.74781	0.74793	0.74770	0.74770	71	0	8
2020.12.10	11:02:00	0.74767	0.74777	0.74766	0.74767	60	0	8
2020.12.10	11:03:00	0.74767	0.74775	0.74746	0.74752	51	0	8
2020.12.10	11:04:00	0.74752	0.74757	0.74737	0.74753	98	0	8
2020.12.10	11:05:00	0.74752	0.74797	0.74752	0.74787	88	0	8
2020.12.10	11:06:00	0.74787	0.74801	0.74787	0.74793	65	0	8
2020.12.10	11:07:00	0.74793	0.74799	0.74790	0.74794	27	0	8
2020.12.10	11:08:00	0.74794	0.74810	0.74794	0.74805	43	0	8
2020.12.10	11:09:00	0.74805	0.74808	0.74791	0.74792	58	0	8
2020.12.10	11:10:00	0.74792	0.74810	0.74792	0.74810	47	0	8
2020.12.10	11:11:00	0.74810	0.74810	0.74792	0.74804	37	0	8
2020.12.10	11:12:00	0.74804	0.74806	0.74791	0.74798	38	0	8
2020.12.10	11:13:00	0.74798	0.74798	0.74792	0.74795	33	0	8
2020.12.10	11:14:00	0.74795	0.74812	0.74782	0.74797	65	0	8
2020.12.10	11:15:00	0.74797	0.74808	0.74792	0.74801	70	0	8
2020.12.10	11:16:00	0.74802	0.74805	0.74796	0.74802	41	0	8
2020.12.10	11:17:00	0.74802	0.74818	0.74802	0.74810	47	0	8
2020.12.10	11:18:00	0.74810	0.74825	0.74809	0.74825	38	0	8
2020.12.10	11:19:00	0.74825	0.74836	0.74818	0.74835	43	0	8
2020.12.10	11:20:00	0.74834	0.74835	0.74823	0.74825	35	0	8
2020.12.10	11:21:00	0.74824	0.74831	0.74813	0.74814	37	0	8
2020.12.10	11:22:00	0.74814	0.74816	0.74802	0.74812	69	0	8
2020.12.10	11:23:00	0.74812	0.74814	0.74800	0.74812	39	0	8
2020.12.10	11:24:00	0.74812	0.74817	0.74810	0.74814	21	0	8
2020.12.10	11:25:00	0.74814	0.74845	0.74814	0.74843	39	0	8
2020.12.10	11:26:00	0.74843	0.74843	0.74833	0.74837	31	0	8
2020.12.10	11:27:00	0.74837	0.74851	0.74826	0.74849	42	0	8
2020.12.10	11:28:00	0.74849	0.74893	0.74849	0.74886	110	0	8
2020.12.10	11:29:00	0.74887	0.74887	0.74873	0.74879	47	0	8
2020.12.10	11:30:00	0.74879	0.74884	0.74868	0.74880	51	0	8
2020.12.10	11:31:00	0.74880	0.74893	0.74880	0.74892	54	0	8
2020.12.10	11:32:00	0.74892	0.74895	0.74888	0.74892	51	0	8
2020.12.10	11:33:00	0.74892	0.74893	0.74880	0.74886	34	0	8
2020.12.10	11:34:00	0.74886	0.74915	0.74886	0.74912	71	0	8
2020.12.10	11:35:00	0.74913	0.74933	0.74907	0.74931	91	0	8
2020.12.10	11:36:00	0.74931	0.74934	0.74921	0.74934	62	0	8
2020.12.10	11:37:00	0.74934	0.74939	0.74929	0.74931	40	0	8
2020.12.10	11:38:00	0.74931	0.74931	0.74907	0.74908	46	0	8
2020.12.10	11:39:00	0.74908	0.74914	0.74898	0.74903	69	0	8
2020.12.10	11:40:00	0.74903	0.74908	0.74897	0.74906	56	0	8
2020.12.10	11:41:00	0.74905	0.74913	0.74903	0.74909	59	0	8
2020.12.10	11:42:00	0.74909	0.74915	0.74889	0.74892	75	0	8
2020.12.10	11:43:00	0.74892	0.74892	0.74879	0.74882	99	0	8
2020.12.10	11:44:00	0.74883	0.74895	0.74882	0.74895	58	0	8
2020.12.10	11:45:00	0.74896	0.74901	0.74892	0.74893	68	0	8
2020.12.10	11:46:00	0.74893	0.74909	0.74892	0.74906	61	0	8
2020.12.10	11:47:00	0.74906	0.74910	0.74901	0.74903	54	0	8
2020.12.10	11:48:00	0.74903	0.74905	0.74893	0.74898	60	0	8
2020.12.10	11:49:00	0.74899	0.74900	0.74893	0.74895	58	0	8
2020.12.10	11:50:00	0.74894	0.74899	0.74889	0.74893	57	0	8
2020.12.10	11:51:00	0.74893	0.74909	0.74893	0.74907	45	0	8
2020.12.10	11:52:00	0.74907	0.74907	0.74899	0.74905	41	0	8
2020.12.10	11:53:00	0.74905	0.74905	0.74897	0.74898	33	0	8
2020.12.10	11:54:00	0.74899	0.74899	0.74888	0.74889	52	0	8
2020.12.10	11:55:00	0.74889	0.74892	0.74882	0.74888	38	0	8
2020.12.10	11:56:00	0.74888	0.74893	0.74886	0.74888	24	0	8
2020.12.10	11:57:00	0.74888	0.74888	0.74846	0.74848	74	0	8
2020.12.10	11:58:00	0.74848	0.74862	0.74848	0.74854	47	0	8
2020.12.10	11:59:00	0.74854	0.74866	0.74850	0.74866	71	0	8
2020.12.10	12:00:00	0.74866	0.74866	0.74858	0.74858	27	0	8
2020.12.10	12:01:00	0.74856	0.74861	0.74852	0.74860	58	0	8
2020.12.10	12:02:00	0.74860	0.74864	0.74853	0.74855	53	0	8
2020.12.10	12:03:00	0.74857	0.74865	0.74853	0.74863	70	0	8
2020.12.10	12:04:00	0.74863	0.74866	0.74859	0.74863	52	0	8
2020.12.10	12:05:00	0.74864	0.74880	0.74861	0.74876	72	0	8
2020.12.10	12:06:00	0.74876	0.74876	0.74867	0.74869	35	0	8
2020.12.10	12:07:00	0.74868	0.74873	0.74867	0.74868	36	0	8
2020.12.10	12:08:00	0.74868	0.74884	0.74868	0.74879	33	0	8
2020.12.10	12:09:00	0.74878	0.74878	0.74858	0.74862	34	0	8
2020.12.10	12:10:00	0.74861	0.74892	0.74861	0.74892	35	0	8
2020.12.10	12:11:00	0.74892	0.74901	0.74875	0.74893	61	0	8
2020.12.10	12:12:00	0.74893	0.74898	0.74889	0.74897	29	0	8
2020.12.10	12:13:00	0.74897	0.74902	0.74890	0.74902	34	0	8
2020.12.10	12:14:00	0.74902	0.74910	0.74900	0.74908	33	0	8
