<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	0.69477	0.69480	0.69473	0.69477	60	0	42
2020.12.10	11:01:00	0.69478	0.69484	0.69474	0.69482	44	0	42
2020.12.10	11:02:00	0.69482	0.69482	0.69471	0.69473	40	0	40
2020.12.10	11:03:00	0.69472	0.69481	0.69472	0.69481	42	0	41
2020.12.10	11:04:00	0.69481	0.69490	0.69478	0.69485	66	0	42
2020.12.10	11:05:00	0.69485	0.69495	0.69482	0.69491	75	0	41
2020.12.10	11:06:00	0.69491	0.69499	0.69480	0.69480	42	0	40
2020.12.10	11:07:00	0.69480	0.69481	0.69471	0.69471	45	0	41
2020.12.10	11:08:00	0.69471	0.69488	0.69471	0.69483	38	0	41
2020.12.10	11:09:00	0.69483	0.69489	0.69479	0.69488	34	0	42
2020.12.10	11:10:00	0.69488	0.69497	0.69488	0.69491	35	0	42
2020.12.10	11:11:00	0.69491	0.69501	0.69489	0.69496	31	0	42
2020.12.10	11:12:00	0.69496	0.69497	0.69482	0.69486	31	0	41
2020.12.10	11:13:00	0.69486	0.69486	0.69480	0.69480	20	0	40
2020.12.10	11:14:00	0.69481	0.69486	0.69478	0.69482	26	0	40
2020.12.10	11:15:00	0.69483	0.69488	0.69476	0.69488	61	0	43
2020.12.10	11:16:00	0.69488	0.69493	0.69487	0.69492	37	0	42
2020.12.10	11:17:00	0.69493	0.69495	0.69486	0.69486	26	0	41
2020.12.10	11:18:00	0.69486	0.69490	0.69483	0.69488	27	0	43
2020.12.10	11:19:00	0.69487	0.69498	0.69480	0.69497	43	0	41
2020.12.10	11:20:00	0.69496	0.69498	0.69489	0.69491	29	0	43
2020.12.10	11:21:00	0.69490	0.69490	0.69478	0.69480	45	0	42
2020.12.10	11:22:00	0.69481	0.69483	0.69476	0.69479	53	0	43
2020.12.10	11:23:00	0.69475	0.69487	0.69475	0.69480	66	0	41
2020.12.10	11:24:00	0.69478	0.69483	0.69475	0.69481	39	0	42
2020.12.10	11:25:00	0.69482	0.69500	0.69482	0.69500	52	0	41
2020.12.10	11:26:00	0.69501	0.69506	0.69497	0.69502	52	0	41
2020.12.10	11:27:00	0.69503	0.69506	0.69499	0.69506	33	0	42
2020.12.10	11:28:00	0.69506	0.69514	0.69498	0.69511	79	0	40
2020.12.10	11:29:00	0.69511	0.69524	0.69511	0.69516	24	0	41
2020.12.10	11:30:00	0.69515	0.69520	0.69511	0.69514	47	0	42
2020.12.10	11:31:00	0.69513	0.69514	0.69503	0.69506	65	0	42
2020.12.10	11:32:00	0.69506	0.69520	0.69504	0.69508	46	0	41
2020.12.10	11:33:00	0.69508	0.69517	0.69507	0.69507	55	0	42
2020.12.10	11:34:00	0.69506	0.69513	0.69500	0.69510	60	0	41
2020.12.10	11:35:00	0.69510	0.69510	0.69485	0.69499	78	0	41
2020.12.10	11:36:00	0.69498	0.69510	0.69498	0.69504	85	0	40
2020.12.10	11:37:00	0.69504	0.69505	0.69492	0.69492	47	0	41
2020.12.10	11:38:00	0.69492	0.69495	0.69471	0.69472	55	0	43
2020.12.10	11:39:00	0.69472	0.69472	0.69462	0.69468	58	0	43
2020.12.10	11:40:00	0.69468	0.69481	0.69466	0.69481	42	0	43
2020.12.10	11:41:00	0.69481	0.69482	0.69471	0.69472	44	0	42
2020.12.10	11:42:00	0.69472	0.69477	0.69470	0.69470	44	0	43
2020.12.10	11:43:00	0.69471	0.69472	0.69454	0.69455	67	0	41
2020.12.10	11:44:00	0.69455	0.69455	0.69451	0.69453	29	0	43
2020.12.10	11:45:00	0.69452	0.69453	0.69445	0.69446	44	0	44
2020.12.10	11:46:00	0.69447	0.69450	0.69445	0.69450	27	0	44
2020.12.10	11:47:00	0.69450	0.69462	0.69450	0.69461	39	0	41
2020.12.10	11:48:00	0.69461	0.69476	0.69460	0.69476	69	0	40
2020.12.10	11:49:00	0.69476	0.69476	0.69467	0.69468	40	0	41
2020.12.10	11:50:00	0.69468	0.69471	0.69450	0.69454	52	0	40
2020.12.10	11:51:00	0.69454	0.69458	0.69448	0.69453	54	0	42
2020.12.10	11:52:00	0.69453	0.69464	0.69450	0.69464	41	0	41
2020.12.10	11:53:00	0.69463	0.69473	0.69463	0.69473	24	0	41
2020.12.10	11:54:00	0.69474	0.69474	0.69462	0.69463	24	0	41
2020.12.10	11:55:00	0.69462	0.69473	0.69461	0.69468	33	0	41
2020.12.10	11:56:00	0.69468	0.69470	0.69465	0.69465	30	0	40
2020.12.10	11:57:00	0.69465	0.69469	0.69452	0.69456	29	0	41
2020.12.10	11:58:00	0.69457	0.69457	0.69452	0.69454	43	0	41
2020.12.10	11:59:00	0.69454	0.69461	0.69453	0.69456	63	0	41
2020.12.10	12:00:00	0.69455	0.69462	0.69448	0.69462	61	0	41
2020.12.10	12:01:00	0.69461	0.69462	0.69450	0.69456	30	0	41
2020.12.10	12:02:00	0.69456	0.69459	0.69453	0.69456	38	0	41
2020.12.10	12:03:00	0.69454	0.69460	0.69453	0.69457	50	0	41
2020.12.10	12:04:00	0.69458	0.69464	0.69457	0.69458	43	0	41
2020.12.10	12:05:00	0.69458	0.69473	0.69458	0.69471	35	0	41
2020.12.10	12:06:00	0.69472	0.69476	0.69469	0.69469	41	0	43
2020.12.10	12:07:00	0.69469	0.69472	0.69463	0.69466	39	0	41
2020.12.10	12:08:00	0.69467	0.69469	0.69463	0.69466	30	0	43
2020.12.10	12:09:00	0.69466	0.69470	0.69462	0.69462	37	0	43
2020.12.10	12:10:00	0.69464	0.69468	0.69460	0.69464	69	0	40
2020.12.10	12:11:00	0.69463	0.69472	0.69460	0.69467	48	0	44
2020.12.10	12:12:00	0.69467	0.69470	0.69459	0.69460	54	0	42
2020.12.10	12:13:00	0.69460	0.69469	0.69458	0.69467	38	0	44
2020.12.10	12:14:00	0.69468	0.69468	0.69452	0.69454	34	0	42
2020.12.10	12:15:00	0.69453	0.69460	0.69447	0.69447	59	0	42
2020.12.10	12:16:00	0.69446	0.69447	0.69440	0.69443	37	0	41
2020.12.10	12:17:00	0.69443	0.69445	0.69437	0.69441	30	0	42
2020.12.10	12:18:00	0.69440	0.69440	0.69436	0.69438	41	0	43
2020.12.10	12:19:00	0.69437	0.69440	0.69424	0.69426	47	0	43
2020.12.10	12:20:00	0.69426	0.69435	0.69426	0.69435	50	0	42
2020.12.10	12:21:00	0.69435	0.69450	0.69432	0.69445	37	0	42
2020.12.10	12:22:00	0.69445	0.69456	0.69442	0.69453	44	0	41
2020.12.10	12:23:00	0.69453	0.69456	0.69452	0.69453	31	0	43
2020.12.10	12:24:00	0.69454	0.69456	0.69452	0.69455	36	0	41
2020.12.10	12:25:00	0.69455	0.69464	0.69452	0.69461	36	0	41
2020.12.10	12:26:00	0.69461	0.69468	0.69460	0.69461	27	0	40
2020.12.10	12:27:00	0.69461	0.69462	0.69445	0.69449	31	0	41
2020.12.10	12:28:00	0.69450	0.69453	0.69448	0.69450	8	0	42
2020.12.10	12:29:00	0.69450	0.69452	0.69449	0.69451	17	0	43
2020.12.10	12:30:00	0.69451	0.69456	0.69445	0.69447	50	0	42
2020.12.10	12:31:00	0.69445	0.69452	0.69444	0.69450	31	0	43
2020.12.10	12:32:00	0.69449	0.69449	0.69444	0.69446	36	0	42
2020.12.10	12:33:00	0.69450	0.69457	0.69446	0.69450	39	0	42
2020.12.10	12:34:00	0.69450	0.69468	0.69449	0.69454	43	0	41
2020.12.10	12:35:00	0.69455	0.69455	0.69446	0.69447	41	0	41
2020.12.10	12:36:00	0.69447	0.69450	0.69440	0.69445	31	0	42
2020.12.10	12:37:00	0.69446	0.69454	0.69446	0.69451	42	0	44
2020.12.10	12:38:00	0.69450	0.69461	0.69450	0.69458	49	0	43
2020.12.10	12:39:00	0.69458	0.69462	0.69456	0.69458	31	0	43
2020.12.10	12:40:00	0.69457	0.69460	0.69456	0.69459	37	0	44
2020.12.10	12:41:00	0.69459	0.69464	0.69456	0.69464	35	0	42
2020.12.10	12:42:00	0.69463	0.69463	0.69457	0.69458	44	0	43
2020.12.10	12:43:00	0.69458	0.69460	0.69452	0.69455	30	0	44
2020.12.10	12:44:00	0.69455	0.69455	0.69450	0.69455	22	0	42
2020.12.10	12:45:00	0.69455	0.69457	0.69451	0.69451	31	0	41
2020.12.10	12:46:00	0.69452	0.69461	0.69451	0.69460	22	0	42
2020.12.10	12:47:00	0.69460	0.69468	0.69458	0.69463	23	0	41
2020.12.10	12:48:00	0.69464	0.69467	0.69462	0.69464	17	0	42
2020.12.10	12:49:00	0.69464	0.69476	0.69463	0.69475	31	0	40
2020.12.10	12:50:00	0.69475	0.69487	0.69473	0.69486	29	0	41
2020.12.10	12:51:00	0.69485	0.69488	0.69480	0.69488	29	0	40
2020.12.10	12:52:00	0.69487	0.69492	0.69479	0.69488	40	0	40
2020.12.10	12:53:00	0.69489	0.69492	0.69485	0.69490	50	0	40
