<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	81.639	81.640	81.626	81.626	65	0	28
2020.12.10	11:01:00	81.625	81.642	81.616	81.623	66	0	28
2020.12.10	11:02:00	81.623	81.623	81.605	81.608	53	0	28
2020.12.10	11:03:00	81.608	81.614	81.608	81.612	43	0	29
2020.12.10	11:04:00	81.612	81.618	81.606	81.616	56	0	29
2020.12.10	11:05:00	81.615	81.626	81.608	81.609	67	0	28
2020.12.10	11:06:00	81.609	81.621	81.609	81.614	47	0	28
2020.12.10	11:07:00	81.614	81.619	81.612	81.614	30	0	28
2020.12.10	11:08:00	81.614	81.630	81.614	81.628	31	0	28
2020.12.10	11:09:00	81.629	81.630	81.616	81.616	50	0	28
2020.12.10	11:10:00	81.616	81.626	81.616	81.623	48	0	29
2020.12.10	11:11:00	81.623	81.645	81.623	81.644	28	0	29
2020.12.10	11:12:00	81.645	81.647	81.637	81.644	28	0	30
2020.12.10	11:13:00	81.644	81.644	81.636	81.638	26	0	29
2020.12.10	11:14:00	81.638	81.642	81.634	81.638	27	0	29
2020.12.10	11:15:00	81.639	81.641	81.623	81.630	35	0	28
2020.12.10	11:16:00	81.630	81.639	81.630	81.639	18	0	29
2020.12.10	11:17:00	81.639	81.642	81.635	81.635	20	0	28
2020.12.10	11:18:00	81.635	81.637	81.630	81.635	19	0	28
2020.12.10	11:19:00	81.634	81.660	81.631	81.660	29	0	28
2020.12.10	11:20:00	81.659	81.659	81.648	81.650	16	0	28
2020.12.10	11:21:00	81.650	81.652	81.647	81.647	18	0	28
2020.12.10	11:22:00	81.647	81.649	81.642	81.649	31	0	28
2020.12.10	11:23:00	81.649	81.656	81.649	81.652	25	0	29
2020.12.10	11:24:00	81.651	81.656	81.650	81.651	14	0	28
2020.12.10	11:25:00	81.651	81.662	81.650	81.660	37	0	29
2020.12.10	11:26:00	81.660	81.660	81.655	81.656	42	0	29
2020.12.10	11:27:00	81.657	81.662	81.656	81.658	30	0	30
2020.12.10	11:28:00	81.658	81.671	81.658	81.665	53	0	28
2020.12.10	11:29:00	81.664	81.666	81.660	81.662	31	0	31
2020.12.10	11:30:00	81.662	81.674	81.661	81.667	34	0	28
2020.12.10	11:31:00	81.667	81.670	81.664	81.668	28	0	28
2020.12.10	11:32:00	81.669	81.673	81.665	81.665	38	0	29
2020.12.10	11:33:00	81.665	81.674	81.663	81.671	44	0	30
2020.12.10	11:34:00	81.670	81.675	81.669	81.675	30	0	29
2020.12.10	11:35:00	81.676	81.687	81.674	81.687	50	0	29
2020.12.10	11:36:00	81.686	81.693	81.681	81.684	62	0	29
2020.12.10	11:37:00	81.684	81.685	81.671	81.672	44	0	28
2020.12.10	11:38:00	81.671	81.672	81.654	81.655	45	0	28
2020.12.10	11:39:00	81.655	81.656	81.649	81.649	53	0	28
2020.12.10	11:40:00	81.650	81.662	81.647	81.662	37	0	28
2020.12.10	11:41:00	81.663	81.668	81.656	81.661	26	0	29
2020.12.10	11:42:00	81.661	81.669	81.655	81.655	25	0	28
2020.12.10	11:43:00	81.655	81.655	81.636	81.641	46	0	28
2020.12.10	11:44:00	81.643	81.643	81.634	81.637	18	0	30
2020.12.10	11:45:00	81.637	81.639	81.632	81.634	16	0	28
2020.12.10	11:46:00	81.632	81.637	81.630	81.635	18	0	28
2020.12.10	11:47:00	81.635	81.646	81.635	81.642	24	0	29
2020.12.10	11:48:00	81.644	81.645	81.638	81.641	29	0	28
2020.12.10	11:49:00	81.641	81.643	81.636	81.640	21	0	29
2020.12.10	11:50:00	81.640	81.641	81.630	81.632	32	0	29
2020.12.10	11:51:00	81.632	81.635	81.628	81.631	30	0	29
2020.12.10	11:52:00	81.631	81.631	81.623	81.628	37	0	28
2020.12.10	11:53:00	81.628	81.635	81.621	81.625	43	0	29
2020.12.10	11:54:00	81.622	81.625	81.616	81.617	36	0	28
2020.12.10	11:55:00	81.617	81.617	81.610	81.616	33	0	28
2020.12.10	11:56:00	81.616	81.628	81.615	81.626	44	0	29
2020.12.10	11:57:00	81.624	81.626	81.610	81.612	46	0	29
2020.12.10	11:58:00	81.612	81.622	81.612	81.621	33	0	29
2020.12.10	11:59:00	81.621	81.624	81.618	81.624	33	0	30
2020.12.10	12:00:00	81.624	81.627	81.617	81.622	33	0	29
2020.12.10	12:01:00	81.622	81.622	81.613	81.614	39	0	29
2020.12.10	12:02:00	81.615	81.620	81.613	81.615	27	0	29
2020.12.10	12:03:00	81.617	81.627	81.613	81.626	43	0	28
2020.12.10	12:04:00	81.626	81.632	81.626	81.632	22	0	29
2020.12.10	12:05:00	81.632	81.634	81.626	81.633	23	0	29
2020.12.10	12:06:00	81.633	81.635	81.628	81.631	26	0	30
2020.12.10	12:07:00	81.631	81.638	81.630	81.633	31	0	29
2020.12.10	12:08:00	81.633	81.639	81.631	81.637	25	0	29
2020.12.10	12:09:00	81.636	81.637	81.626	81.628	31	0	28
2020.12.10	12:10:00	81.630	81.636	81.628	81.630	35	0	28
2020.12.10	12:11:00	81.630	81.633	81.627	81.629	44	0	29
2020.12.10	12:12:00	81.629	81.635	81.628	81.630	24	0	28
2020.12.10	12:13:00	81.632	81.632	81.625	81.631	36	0	28
2020.12.10	12:14:00	81.632	81.632	81.620	81.624	31	0	28
2020.12.10	12:15:00	81.623	81.625	81.610	81.611	50	0	28
2020.12.10	12:16:00	81.611	81.613	81.602	81.602	30	0	28
2020.12.10	12:17:00	81.603	81.616	81.602	81.615	23	0	28
2020.12.10	12:18:00	81.615	81.615	81.608	81.608	24	0	28
2020.12.10	12:19:00	81.608	81.610	81.597	81.597	38	0	28
2020.12.10	12:20:00	81.597	81.607	81.597	81.601	45	0	29
2020.12.10	12:21:00	81.601	81.616	81.600	81.615	35	0	28
2020.12.10	12:22:00	81.615	81.625	81.614	81.624	33	0	30
2020.12.10	12:23:00	81.624	81.639	81.624	81.635	26	0	29
2020.12.10	12:24:00	81.635	81.641	81.634	81.635	24	0	28
2020.12.10	12:25:00	81.636	81.638	81.630	81.630	26	0	29
2020.12.10	12:26:00	81.631	81.637	81.630	81.632	23	0	29
2020.12.10	12:27:00	81.632	81.643	81.632	81.642	27	0	29
2020.12.10	12:28:00	81.643	81.646	81.642	81.643	10	0	29
2020.12.10	12:29:00	81.643	81.646	81.642	81.646	23	0	29
2020.12.10	12:30:00	81.646	81.649	81.638	81.642	56	0	28
2020.12.10	12:31:00	81.641	81.647	81.639	81.643	21	0	29
