<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	355.703	355.951	355.665	355.737	81	0	204
2020.12.10	11:01:00	355.809	355.830	355.702	355.765	80	0	225
2020.12.10	11:02:00	355.763	355.770	355.652	355.737	78	0	218
2020.12.10	11:03:00	355.720	355.736	355.676	355.684	67	0	209
2020.12.10	11:04:00	355.691	355.746	355.672	355.696	72	0	265
2020.12.10	11:05:00	355.699	355.741	355.681	355.682	73	0	226
2020.12.10	11:06:00	355.691	355.707	355.670	355.676	67	0	278
2020.12.10	11:07:00	355.676	355.702	355.660	355.683	56	0	270
2020.12.10	11:08:00	355.672	355.815	355.570	355.695	125	0	144
2020.12.10	11:09:00	355.735	355.835	355.695	355.755	158	0	163
2020.12.10	11:10:00	355.735	355.850	355.633	355.822	127	0	189
2020.12.10	11:11:00	355.828	355.846	355.652	355.661	43	0	172
2020.12.10	11:12:00	355.670	355.681	355.562	355.650	58	0	222
2020.12.10	11:13:00	355.640	355.676	355.640	355.666	38	0	251
2020.12.10	11:14:00	355.684	355.904	355.684	355.847	65	0	165
2020.12.10	11:15:00	355.847	355.847	355.694	355.764	69	0	170
2020.12.10	11:16:00	355.764	355.772	355.705	355.717	60	0	226
2020.12.10	11:17:00	355.708	355.722	355.683	355.694	55	0	257
2020.12.10	11:18:00	355.701	355.710	355.685	355.688	38	0	271
2020.12.10	11:19:00	355.703	355.716	355.664	355.680	62	0	255
2020.12.10	11:20:00	355.677	355.677	355.607	355.610	84	0	230
2020.12.10	11:21:00	355.609	355.655	355.603	355.618	84	0	226
2020.12.10	11:22:00	355.645	355.655	355.609	355.655	70	0	230
2020.12.10	11:23:00	355.615	355.655	355.517	355.539	89	0	210
2020.12.10	11:24:00	355.542	355.555	355.518	355.528	66	0	220
2020.12.10	11:25:00	355.535	355.555	355.518	355.522	83	0	200
2020.12.10	11:26:00	355.545	355.565	355.514	355.517	78	0	190
2020.12.10	11:27:00	355.535	355.545	355.511	355.529	50	0	220
2020.12.10	11:28:00	355.529	355.529	355.455	355.525	61	0	180
2020.12.10	11:29:00	355.515	355.525	355.463	355.478	44	0	190
2020.12.10	11:30:00	355.466	355.525	355.459	355.466	42	0	180
2020.12.10	11:31:00	355.469	355.474	355.429	355.440	59	0	221
2020.12.10	11:32:00	355.440	355.462	355.435	355.450	48	0	213
2020.12.10	11:33:00	355.443	355.583	355.440	355.441	66	0	148
2020.12.10	11:34:00	355.443	355.464	355.433	355.452	60	0	188
2020.12.10	11:35:00	355.451	355.456	355.406	355.410	63	0	189
2020.12.10	11:36:00	355.412	355.413	355.039	355.058	83	0	78
2020.12.10	11:37:00	355.055	355.410	355.048	355.401	61	0	75
2020.12.10	11:38:00	355.406	355.497	355.361	355.385	61	0	170
2020.12.10	11:39:00	355.382	355.403	355.379	355.383	42	0	208
2020.12.10	11:40:00	355.389	355.398	355.374	355.389	49	0	217
2020.12.10	11:41:00	355.392	355.397	355.319	355.339	40	0	211
2020.12.10	11:42:00	355.339	355.745	355.318	355.730	50	0	75
2020.12.10	11:43:00	355.675	355.781	355.651	355.655	47	0	181
2020.12.10	11:44:00	355.684	355.714	355.669	355.693	47	0	190
2020.12.10	11:45:00	355.686	355.686	355.507	355.519	48	0	83
2020.12.10	11:46:00	355.513	355.525	355.479	355.500	41	0	240
2020.12.10	11:47:00	355.512	355.616	355.500	355.512	52	0	180
2020.12.10	11:48:00	355.509	355.524	355.352	355.439	62	0	135
2020.12.10	11:49:00	355.451	355.457	355.439	355.448	37	0	228
2020.12.10	11:50:00	355.442	355.448	355.392	355.396	41	0	247
2020.12.10	11:51:00	355.390	355.443	355.282	355.285	53	0	173
2020.12.10	11:52:00	355.285	355.305	355.274	355.289	51	0	213
2020.12.10	11:53:00	355.298	355.313	355.283	355.309	56	0	204
2020.12.10	11:54:00	355.308	355.318	355.288	355.297	56	0	202
2020.12.10	11:55:00	355.315	355.321	355.281	355.281	42	0	203
2020.12.10	11:56:00	355.281	355.351	355.200	355.294	74	0	184
2020.12.10	11:57:00	355.292	355.433	355.292	355.368	83	0	170
2020.12.10	11:58:00	355.368	355.543	355.310	355.543	63	0	188
2020.12.10	11:59:00	355.543	355.565	355.407	355.445	62	0	186
2020.12.10	12:00:00	355.455	355.795	355.445	355.695	83	0	170
2020.12.10	12:01:00	355.664	355.834	355.664	355.725	51	0	147
2020.12.10	12:02:00	355.736	355.755	355.719	355.755	44	0	190
2020.12.10	12:03:00	355.745	355.745	355.720	355.735	48	0	200
2020.12.10	12:04:00	355.720	355.775	355.720	355.735	33	0	190
2020.12.10	12:05:00	355.735	355.855	355.713	355.855	45	0	190
2020.12.10	12:06:00	355.831	355.855	355.704	355.711	53	0	170
2020.12.10	12:07:00	355.733	355.733	355.710	355.710	29	0	212
2020.12.10	12:08:00	355.725	355.725	355.597	355.602	17	0	163
2020.12.10	12:09:00	355.596	355.655	355.585	355.655	59	0	180
2020.12.10	12:10:00	355.633	355.655	355.615	355.655	35	0	190
2020.12.10	12:11:00	355.628	355.655	355.608	355.615	64	0	200
2020.12.10	12:12:00	355.655	355.655	355.598	355.655	62	0	200
2020.12.10	12:13:00	355.615	355.655	355.598	355.625	74	0	200
2020.12.10	12:14:00	355.633	355.685	355.600	355.615	71	0	170
2020.12.10	12:15:00	355.615	355.759	355.601	355.755	107	0	165
2020.12.10	12:16:00	355.756	355.767	355.740	355.755	45	0	218
2020.12.10	12:17:00	355.764	355.765	355.748	355.755	26	0	220
2020.12.10	12:18:00	355.762	355.762	355.749	355.755	26	0	218
2020.12.10	12:19:00	355.757	355.785	355.751	355.751	9	0	202
2020.12.10	12:20:00	355.751	355.763	355.745	355.761	73	0	204
2020.12.10	12:21:00	355.755	355.830	355.747	355.830	37	0	165
2020.12.10	12:22:00	355.830	355.832	355.830	355.832	2	0	203
2020.12.10	12:23:00	355.832	355.832	355.601	355.687	28	0	101
2020.12.10	12:24:00	355.675	355.715	355.675	355.705	52	0	190
2020.12.10	12:25:00	355.702	355.716	355.683	355.683	37	0	186
2020.12.10	12:26:00	355.683	355.705	355.683	355.700	36	0	191
2020.12.10	12:27:00	355.691	355.700	355.675	355.678	30	0	205
2020.12.10	12:28:00	355.675	355.687	355.675	355.687	16	0	218
2020.12.10	12:29:00	355.685	355.703	355.683	355.697	28	0	205
2020.12.10	12:30:00	355.697	355.720	355.680	355.690	53	0	195
2020.12.10	12:31:00	355.691	355.730	355.683	355.712	37	0	198
2020.12.10	12:32:00	355.712	355.732	355.690	355.696	41	0	213
2020.12.10	12:33:00	355.693	355.712	355.683	355.690	40	0	223
2020.12.10	12:34:00	355.672	355.725	355.670	355.717	49	0	220
2020.12.10	12:35:00	355.696	355.734	355.682	355.731	47	0	228
2020.12.10	12:36:00	355.722	355.729	355.710	355.720	26	0	266
2020.12.10	12:37:00	355.723	355.735	355.705	355.717	25	0	260
2020.12.10	12:38:00	355.729	355.729	355.695	355.703	32	0	272
2020.12.10	12:39:00	355.703	355.708	355.695	355.705	22	0	278
2020.12.10	12:40:00	355.705	355.721	355.695	355.716	31	0	246
2020.12.10	12:41:00	355.719	355.753	355.697	355.697	43	0	216
2020.12.10	12:42:00	355.695	355.707	355.677	355.695	26	0	269
2020.12.10	12:43:00	355.695	355.707	355.692	355.705	36	0	276
2020.12.10	12:44:00	355.697	355.701	355.685	355.685	25	0	260
2020.12.10	12:45:00	355.685	355.717	355.667	355.705	25	0	248
2020.12.10	12:46:00	355.678	355.687	355.661	355.678	29	0	279
2020.12.10	12:47:00	355.675	355.679	355.664	355.666	19	0	279
2020.12.10	12:48:00	355.668	355.689	355.664	355.689	30	0	246
2020.12.10	12:49:00	355.672	355.686	355.651	355.662	40	0	232
2020.12.10	12:50:00	355.662	355.698	355.662	355.692	37	0	253
2020.12.10	12:51:00	355.671	355.696	355.662	355.681	35	0	248
2020.12.10	12:52:00	355.684	355.713	355.684	355.684	59	0	254
2020.12.10	12:53:00	355.687	355.734	355.687	355.711	53	0	226
2020.12.10	12:54:00	355.714	355.716	355.681	355.681	40	0	253
2020.12.10	12:55:00	355.676	355.711	355.674	355.682	45	0	230
2020.12.10	12:56:00	355.690	355.772	355.684	355.720	43	0	159
2020.12.10	12:57:00	355.738	355.738	355.416	355.437	47	0	180
2020.12.10	12:58:00	355.422	355.453	355.420	355.423	47	0	239
2020.12.10	12:59:00	355.424	355.427	355.401	355.404	30	0	271
2020.12.10	13:00:00	355.407	355.422	355.354	355.357	38	0	262
2020.12.10	13:01:00	355.407	355.416	355.313	355.327	48	0	198
2020.12.10	13:02:00	355.327	355.360	355.324	355.348	26	0	235
2020.12.10	13:03:00	355.330	355.337	355.290	355.299	31	0	245
2020.12.10	13:04:00	355.299	355.371	355.287	355.371	22	0	199
2020.12.10	13:05:00	355.371	355.389	355.312	355.316	24	0	180
2020.12.10	13:06:00	355.315	355.315	355.306	355.307	10	0	212
2020.12.10	13:07:00	355.306	355.315	355.093	355.132	19	0	127
2020.12.10	13:08:00	355.131	355.131	355.092	355.099	27	0	206
2020.12.10	13:09:00	355.099	355.104	354.982	354.982	25	0	220
2020.12.10	13:10:00	354.982	354.982	354.966	354.966	18	0	245
2020.12.10	13:11:00	354.966	354.970	354.893	354.911	25	0	209
2020.12.10	13:12:00	354.908	354.986	354.760	354.795	55	0	155
2020.12.10	13:13:00	354.796	354.815	354.776	354.800	46	0	230
2020.12.10	13:14:00	354.800	354.807	354.759	354.770	46	0	227
2020.12.10	13:15:00	354.770	354.792	354.762	354.769	38	0	219
