<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	89.00312	89.04684	88.98769	89.00134	147	0	4512
2020.12.10	11:01:00	89.00171	89.01413	88.96475	88.98247	128	0	4788
2020.12.10	11:02:00	88.98680	89.00420	88.96264	88.97318	114	0	4770
2020.12.10	11:03:00	88.97084	88.99353	88.97084	88.97622	78	0	4901
2020.12.10	11:04:00	88.97766	88.98174	88.94647	88.94787	141	0	4512
2020.12.10	11:05:00	88.94918	88.95221	88.93631	88.93910	144	0	5485
2020.12.10	11:06:00	88.94027	88.94175	88.90066	88.92864	122	0	5509
2020.12.10	11:07:00	88.93031	88.94051	88.80350	88.92599	102	0	4511
2020.12.10	11:08:00	88.92569	88.92636	88.90472	88.91260	104	0	4512
2020.12.10	11:09:00	88.91216	88.93960	88.89727	88.93497	98	0	4511
2020.12.10	11:10:00	88.93531	88.93628	88.91661	88.92107	101	0	4511
2020.12.10	11:11:00	88.92107	88.93767	88.92107	88.93341	73	0	4511
2020.12.10	11:12:00	88.93152	88.94165	88.92423	88.94165	85	0	4511
2020.12.10	11:13:00	88.94129	88.94511	88.92940	88.93028	85	0	4707
2020.12.10	11:14:00	88.92085	88.93793	88.90883	88.91690	83	0	4707
2020.12.10	11:15:00	88.91685	88.92128	88.89587	88.90101	142	0	4707
2020.12.10	11:16:00	88.90148	88.90825	88.88902	88.90363	116	0	4699
2020.12.10	11:17:00	88.90334	88.90492	88.88751	88.90015	97	0	4707
2020.12.10	11:18:00	88.90220	88.93311	88.89797	88.92767	91	0	4610
2020.12.10	11:19:00	88.92576	88.93823	88.89597	88.89597	105	0	4611
2020.12.10	11:20:00	88.89545	88.93982	88.89093	88.92632	113	0	4513
2020.12.10	11:21:00	88.92669	88.93127	88.91771	88.92855	95	0	4514
2020.12.10	11:22:00	88.92685	88.95297	88.92558	88.93951	96	0	4513
2020.12.10	11:23:00	88.94118	88.94390	88.92586	88.94044	97	0	4513
2020.12.10	11:24:00	88.93873	88.93873	88.91527	88.91677	77	0	4513
2020.12.10	11:25:00	88.91495	88.93266	88.91161	88.92524	110	0	4513
2020.12.10	11:26:00	88.92652	88.92652	88.86600	88.86751	109	0	4514
