<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1.70353	1.70358	1.70301	1.70307	122	0	53
2020.12.10	11:01:00	1.70308	1.70325	1.70295	1.70314	111	0	50
2020.12.10	11:02:00	1.70317	1.70353	1.70315	1.70323	120	0	46
2020.12.10	11:03:00	1.70324	1.70339	1.70314	1.70319	100	0	47
2020.12.10	11:04:00	1.70319	1.70329	1.70300	1.70308	117	0	46
2020.12.10	11:05:00	1.70306	1.70307	1.70223	1.70260	129	0	44
2020.12.10	11:06:00	1.70259	1.70318	1.70247	1.70314	119	0	44
2020.12.10	11:07:00	1.70314	1.70341	1.70305	1.70337	107	0	46
2020.12.10	11:08:00	1.70336	1.70341	1.70305	1.70331	122	0	50
2020.12.10	11:09:00	1.70332	1.70338	1.70299	1.70302	130	0	51
2020.12.10	11:10:00	1.70302	1.70309	1.70285	1.70307	156	0	51
2020.12.10	11:11:00	1.70307	1.70309	1.70291	1.70291	120	0	52
2020.12.10	11:12:00	1.70291	1.70307	1.70262	1.70293	132	0	44
2020.12.10	11:13:00	1.70293	1.70298	1.70269	1.70284	101	0	49
2020.12.10	11:14:00	1.70284	1.70284	1.70243	1.70265	95	0	49
2020.12.10	11:15:00	1.70265	1.70298	1.70265	1.70288	123	0	50
2020.12.10	11:16:00	1.70286	1.70317	1.70279	1.70290	129	0	47
2020.12.10	11:17:00	1.70291	1.70332	1.70289	1.70307	108	0	50
2020.12.10	11:18:00	1.70307	1.70330	1.70295	1.70328	88	0	51
2020.12.10	11:19:00	1.70330	1.70348	1.70275	1.70275	104	0	50
2020.12.10	11:20:00	1.70274	1.70274	1.70242	1.70270	80	0	49
2020.12.10	11:21:00	1.70271	1.70277	1.70255	1.70255	79	0	50
2020.12.10	11:22:00	1.70254	1.70262	1.70206	1.70257	96	0	44
2020.12.10	11:23:00	1.70257	1.70259	1.70216	1.70223	103	0	50
2020.12.10	11:24:00	1.70221	1.70227	1.70185	1.70196	72	0	47
2020.12.10	11:25:00	1.70197	1.70224	1.70181	1.70185	72	0	47
2020.12.10	11:26:00	1.70184	1.70184	1.70113	1.70148	74	0	44
2020.12.10	11:27:00	1.70147	1.70147	1.70103	1.70110	86	0	46
2020.12.10	11:28:00	1.70109	1.70159	1.70103	1.70143	134	0	51
2020.12.10	11:29:00	1.70143	1.70143	1.70101	1.70110	90	0	48
2020.12.10	11:30:00	1.70109	1.70120	1.70092	1.70106	82	0	44
2020.12.10	11:31:00	1.70110	1.70121	1.70086	1.70100	97	0	44
2020.12.10	11:32:00	1.70099	1.70124	1.70092	1.70104	82	0	46
2020.12.10	11:33:00	1.70105	1.70108	1.70082	1.70106	83	0	46
2020.12.10	11:34:00	1.70106	1.70156	1.70106	1.70115	95	0	46
2020.12.10	11:35:00	1.70115	1.70176	1.70114	1.70174	108	0	47
2020.12.10	11:36:00	1.70174	1.70229	1.70143	1.70229	131	0	46
2020.12.10	11:37:00	1.70225	1.70281	1.70224	1.70280	97	0	44
2020.12.10	11:38:00	1.70278	1.70324	1.70258	1.70304	117	0	46
2020.12.10	11:39:00	1.70305	1.70308	1.70265	1.70290	72	0	47
2020.12.10	11:40:00	1.70291	1.70293	1.70257	1.70276	59	0	44
2020.12.10	11:41:00	1.70278	1.70315	1.70277	1.70298	81	0	44
2020.12.10	11:42:00	1.70298	1.70335	1.70290	1.70328	98	0	46
2020.12.10	11:43:00	1.70330	1.70391	1.70324	1.70359	139	0	44
2020.12.10	11:44:00	1.70360	1.70376	1.70349	1.70350	72	0	47
2020.12.10	11:45:00	1.70349	1.70370	1.70319	1.70322	89	0	48
2020.12.10	11:46:00	1.70321	1.70332	1.70286	1.70320	65	0	44
2020.12.10	11:47:00	1.70317	1.70324	1.70272	1.70277	70	0	44
2020.12.10	11:48:00	1.70269	1.70289	1.70242	1.70284	143	0	45
2020.12.10	11:49:00	1.70284	1.70330	1.70284	1.70314	73	0	47
2020.12.10	11:50:00	1.70314	1.70351	1.70300	1.70329	73	0	48
2020.12.10	11:51:00	1.70327	1.70437	1.70319	1.70434	116	0	47
2020.12.10	11:52:00	1.70436	1.70437	1.70383	1.70386	61	0	47
2020.12.10	11:53:00	1.70388	1.70388	1.70355	1.70378	63	0	45
2020.12.10	11:54:00	1.70378	1.70379	1.70347	1.70358	83	0	48
2020.12.10	11:55:00	1.70358	1.70371	1.70343	1.70359	88	0	45
2020.12.10	11:56:00	1.70360	1.70383	1.70350	1.70367	83	0	45
2020.12.10	11:57:00	1.70367	1.70367	1.70344	1.70365	112	0	49
2020.12.10	11:58:00	1.70366	1.70393	1.70366	1.70375	83	0	51
2020.12.10	11:59:00	1.70374	1.70386	1.70367	1.70371	103	0	52
2020.12.10	12:00:00	1.70370	1.70405	1.70357	1.70399	106	0	47
2020.12.10	12:01:00	1.70399	1.70434	1.70399	1.70421	82	0	49
2020.12.10	12:02:00	1.70420	1.70429	1.70402	1.70413	83	0	51
2020.12.10	12:03:00	1.70411	1.70440	1.70410	1.70440	85	0	48
2020.12.10	12:04:00	1.70443	1.70470	1.70443	1.70444	79	0	54
2020.12.10	12:05:00	1.70445	1.70481	1.70442	1.70479	74	0	48
2020.12.10	12:06:00	1.70479	1.70505	1.70476	1.70501	62	0	48
2020.12.10	12:07:00	1.70500	1.70501	1.70472	1.70480	69	0	54
2020.12.10	12:08:00	1.70481	1.70483	1.70465	1.70471	75	0	51
2020.12.10	12:09:00	1.70470	1.70487	1.70423	1.70435	92	0	47
2020.12.10	12:10:00	1.70433	1.70445	1.70416	1.70432	87	0	51
2020.12.10	12:11:00	1.70431	1.70433	1.70373	1.70376	77	0	49
2020.12.10	12:12:00	1.70377	1.70379	1.70352	1.70379	60	0	50
2020.12.10	12:13:00	1.70376	1.70390	1.70359	1.70373	66	0	47
2020.12.10	12:14:00	1.70373	1.70445	1.70370	1.70442	67	0	46
2020.12.10	12:15:00	1.70442	1.70446	1.70366	1.70393	107	0	47
2020.12.10	12:16:00	1.70394	1.70403	1.70386	1.70390	65	0	52
2020.12.10	12:17:00	1.70390	1.70417	1.70380	1.70408	64	0	47
2020.12.10	12:18:00	1.70409	1.70426	1.70381	1.70382	87	0	51
2020.12.10	12:19:00	1.70383	1.70401	1.70379	1.70395	101	0	53
2020.12.10	12:20:00	1.70397	1.70400	1.70372	1.70376	79	0	51
2020.12.10	12:21:00	1.70377	1.70386	1.70344	1.70351	99	0	45
2020.12.10	12:22:00	1.70350	1.70362	1.70329	1.70333	87	0	44
2020.12.10	12:23:00	1.70333	1.70350	1.70323	1.70325	80	0	44
2020.12.10	12:24:00	1.70324	1.70360	1.70323	1.70348	99	0	45
2020.12.10	12:25:00	1.70349	1.70373	1.70346	1.70370	91	0	48
2020.12.10	12:26:00	1.70371	1.70397	1.70364	1.70394	82	0	47
2020.12.10	12:27:00	1.70394	1.70402	1.70376	1.70376	58	0	46
2020.12.10	12:28:00	1.70376	1.70385	1.70370	1.70382	53	0	49
2020.12.10	12:29:00	1.70383	1.70408	1.70343	1.70349	87	0	45
2020.12.10	12:30:00	1.70354	1.70386	1.70335	1.70371	104	0	47
2020.12.10	12:31:00	1.70370	1.70408	1.70370	1.70404	64	0	47
2020.12.10	12:32:00	1.70406	1.70422	1.70337	1.70339	60	0	44
2020.12.10	12:33:00	1.70339	1.70341	1.70301	1.70309	70	0	47
2020.12.10	12:34:00	1.70309	1.70309	1.70242	1.70243	77	0	44
2020.12.10	12:35:00	1.70244	1.70247	1.70214	1.70217	75	0	44
2020.12.10	12:36:00	1.70218	1.70228	1.70195	1.70207	70	0	44
2020.12.10	12:37:00	1.70208	1.70209	1.70157	1.70157	81	0	47
2020.12.10	12:38:00	1.70162	1.70175	1.70095	1.70116	100	0	44
2020.12.10	12:39:00	1.70116	1.70120	1.70102	1.70108	68	0	49
2020.12.10	12:40:00	1.70109	1.70149	1.70087	1.70091	85	0	44
2020.12.10	12:41:00	1.70091	1.70126	1.70074	1.70116	85	0	44
2020.12.10	12:42:00	1.70116	1.70208	1.70113	1.70179	118	0	47
2020.12.10	12:43:00	1.70179	1.70189	1.70140	1.70146	89	0	48
2020.12.10	12:44:00	1.70145	1.70191	1.70145	1.70183	87	0	48
2020.12.10	12:45:00	1.70183	1.70198	1.70157	1.70165	96	0	44
2020.12.10	12:46:00	1.70163	1.70167	1.70121	1.70138	70	0	44
2020.12.10	12:47:00	1.70136	1.70151	1.70131	1.70134	50	0	46
2020.12.10	12:48:00	1.70133	1.70139	1.70094	1.70097	73	0	47
2020.12.10	12:49:00	1.70097	1.70125	1.70088	1.70091	81	0	44
2020.12.10	12:50:00	1.70091	1.70138	1.70090	1.70123	99	0	47
2020.12.10	12:51:00	1.70122	1.70144	1.70119	1.70133	82	0	49
