<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1.18389	1.18393	1.18351	1.18355	89	0	46
2020.12.10	11:01:00	1.18355	1.18372	1.18353	1.18366	65	0	46
2020.12.10	11:02:00	1.18367	1.18380	1.18358	1.18359	78	0	46
2020.12.10	11:03:00	1.18358	1.18380	1.18353	1.18369	59	0	47
2020.12.10	11:04:00	1.18369	1.18383	1.18356	1.18367	85	0	44
2020.12.10	11:05:00	1.18370	1.18370	1.18318	1.18348	98	0	44
2020.12.10	11:06:00	1.18348	1.18387	1.18343	1.18365	90	0	44
2020.12.10	11:07:00	1.18365	1.18380	1.18356	1.18368	72	0	48
2020.12.10	11:08:00	1.18368	1.18386	1.18359	1.18385	78	0	45
2020.12.10	11:09:00	1.18385	1.18389	1.18362	1.18366	69	0	44
2020.12.10	11:10:00	1.18366	1.18380	1.18363	1.18375	39	0	46
2020.12.10	11:11:00	1.18375	1.18387	1.18369	1.18378	46	0	46
2020.12.10	11:12:00	1.18377	1.18383	1.18342	1.18356	71	0	45
2020.12.10	11:13:00	1.18356	1.18356	1.18339	1.18344	68	0	49
2020.12.10	11:14:00	1.18345	1.18346	1.18321	1.18334	63	0	47
2020.12.10	11:15:00	1.18335	1.18360	1.18331	1.18360	87	0	45
2020.12.10	11:16:00	1.18360	1.18380	1.18360	1.18373	76	0	45
2020.12.10	11:17:00	1.18373	1.18396	1.18373	1.18373	84	0	45
2020.12.10	11:18:00	1.18373	1.18393	1.18363	1.18390	41	0	45
2020.12.10	11:19:00	1.18390	1.18403	1.18369	1.18369	94	0	45
2020.12.10	11:20:00	1.18368	1.18369	1.18346	1.18355	56	0	48
2020.12.10	11:21:00	1.18353	1.18355	1.18327	1.18327	49	0	48
2020.12.10	11:22:00	1.18326	1.18326	1.18288	1.18316	59	0	44
2020.12.10	11:23:00	1.18316	1.18319	1.18294	1.18295	82	0	53
2020.12.10	11:24:00	1.18295	1.18297	1.18270	1.18288	43	0	50
2020.12.10	11:25:00	1.18288	1.18319	1.18288	1.18310	46	0	46
2020.12.10	11:26:00	1.18310	1.18310	1.18256	1.18289	53	0	45
2020.12.10	11:27:00	1.18290	1.18290	1.18253	1.18267	50	0	44
2020.12.10	11:28:00	1.18267	1.18312	1.18258	1.18301	76	0	47
2020.12.10	11:29:00	1.18300	1.18302	1.18282	1.18283	48	0	46
2020.12.10	11:30:00	1.18284	1.18285	1.18268	1.18272	60	0	47
2020.12.10	11:31:00	1.18272	1.18278	1.18254	1.18261	73	0	46
2020.12.10	11:32:00	1.18263	1.18294	1.18255	1.18267	57	0	45
2020.12.10	11:33:00	1.18267	1.18273	1.18258	1.18261	60	0	46
2020.12.10	11:34:00	1.18261	1.18297	1.18258	1.18275	76	0	46
2020.12.10	11:35:00	1.18277	1.18299	1.18245	1.18299	99	0	44
2020.12.10	11:36:00	1.18299	1.18345	1.18282	1.18345	103	0	44
2020.12.10	11:37:00	1.18343	1.18366	1.18342	1.18358	63	0	44
2020.12.10	11:38:00	1.18356	1.18386	1.18336	1.18338	96	0	48
2020.12.10	11:39:00	1.18338	1.18339	1.18306	1.18325	62	0	45
2020.12.10	11:40:00	1.18325	1.18342	1.18311	1.18339	43	0	46
2020.12.10	11:41:00	1.18341	1.18362	1.18335	1.18336	47	0	46
2020.12.10	11:42:00	1.18336	1.18368	1.18328	1.18358	79	0	49
2020.12.10	11:43:00	1.18358	1.18377	1.18334	1.18350	99	0	45
2020.12.10	11:44:00	1.18348	1.18358	1.18339	1.18339	62	0	46
2020.12.10	11:45:00	1.18341	1.18353	1.18308	1.18310	71	0	49
2020.12.10	11:46:00	1.18310	1.18321	1.18288	1.18316	41	0	46
2020.12.10	11:47:00	1.18316	1.18325	1.18300	1.18300	69	0	44
2020.12.10	11:48:00	1.18295	1.18332	1.18282	1.18332	131	0	45
2020.12.10	11:49:00	1.18333	1.18356	1.18326	1.18344	75	0	48
2020.12.10	11:50:00	1.18344	1.18344	1.18319	1.18333	70	0	46
2020.12.10	11:51:00	1.18334	1.18412	1.18329	1.18407	105	0	44
2020.12.10	11:52:00	1.18407	1.18407	1.18373	1.18386	75	0	46
2020.12.10	11:53:00	1.18386	1.18397	1.18366	1.18397	63	0	45
2020.12.10	11:54:00	1.18399	1.18399	1.18363	1.18366	57	0	44
2020.12.10	11:55:00	1.18366	1.18377	1.18361	1.18376	55	0	44
2020.12.10	11:56:00	1.18375	1.18390	1.18368	1.18375	57	0	44
2020.12.10	11:57:00	1.18376	1.18376	1.18346	1.18358	63	0	47
2020.12.10	11:58:00	1.18359	1.18373	1.18358	1.18363	59	0	44
2020.12.10	11:59:00	1.18362	1.18378	1.18361	1.18361	68	0	50
2020.12.10	12:00:00	1.18360	1.18392	1.18352	1.18390	42	0	44
2020.12.10	12:01:00	1.18390	1.18402	1.18379	1.18396	43	0	48
2020.12.10	12:02:00	1.18397	1.18399	1.18385	1.18389	64	0	51
2020.12.10	12:03:00	1.18389	1.18413	1.18387	1.18413	54	0	49
2020.12.10	12:04:00	1.18414	1.18434	1.18414	1.18416	44	0	46
2020.12.10	12:05:00	1.18417	1.18464	1.18416	1.18460	44	0	44
2020.12.10	12:06:00	1.18461	1.18485	1.18461	1.18474	55	0	45
2020.12.10	12:07:00	1.18474	1.18474	1.18454	1.18456	39	0	51
2020.12.10	12:08:00	1.18456	1.18457	1.18444	1.18453	46	0	45
2020.12.10	12:09:00	1.18453	1.18468	1.18414	1.18422	48	0	45
2020.12.10	12:10:00	1.18421	1.18424	1.18410	1.18421	51	0	47
2020.12.10	12:11:00	1.18421	1.18421	1.18390	1.18390	33	0	46
2020.12.10	12:12:00	1.18390	1.18392	1.18373	1.18378	32	0	45
2020.12.10	12:13:00	1.18378	1.18386	1.18368	1.18386	43	0	44
2020.12.10	12:14:00	1.18386	1.18414	1.18380	1.18412	40	0	46
2020.12.10	12:15:00	1.18411	1.18416	1.18355	1.18366	82	0	45
2020.12.10	12:16:00	1.18365	1.18366	1.18351	1.18356	53	0	49
2020.12.10	12:17:00	1.18356	1.18369	1.18344	1.18363	36	0	45
2020.12.10	12:18:00	1.18365	1.18373	1.18342	1.18343	38	0	48
2020.12.10	12:19:00	1.18344	1.18350	1.18326	1.18333	57	0	47
2020.12.10	12:20:00	1.18334	1.18338	1.18325	1.18335	43	0	48
2020.12.10	12:21:00	1.18336	1.18346	1.18327	1.18332	65	0	47
2020.12.10	12:22:00	1.18332	1.18348	1.18325	1.18335	67	0	44
2020.12.10	12:23:00	1.18335	1.18352	1.18329	1.18329	34	0	46
2020.12.10	12:24:00	1.18331	1.18356	1.18331	1.18346	37	0	46
2020.12.10	12:25:00	1.18345	1.18376	1.18342	1.18376	60	0	46
2020.12.10	12:26:00	1.18376	1.18394	1.18370	1.18387	36	0	44
2020.12.10	12:27:00	1.18390	1.18395	1.18356	1.18356	47	0	45
2020.12.10	12:28:00	1.18356	1.18363	1.18356	1.18362	13	0	49
2020.12.10	12:29:00	1.18363	1.18382	1.18329	1.18336	45	0	44
2020.12.10	12:30:00	1.18336	1.18353	1.18321	1.18342	59	0	45
2020.12.10	12:31:00	1.18342	1.18377	1.18339	1.18373	34	0	46
2020.12.10	12:32:00	1.18373	1.18378	1.18317	1.18322	34	0	45
2020.12.10	12:33:00	1.18325	1.18328	1.18306	1.18306	44	0	49
2020.12.10	12:34:00	1.18306	1.18306	1.18271	1.18271	36	0	46
2020.12.10	12:35:00	1.18271	1.18273	1.18241	1.18241	56	0	44
2020.12.10	12:36:00	1.18241	1.18241	1.18223	1.18231	45	0	45
2020.12.10	12:37:00	1.18230	1.18234	1.18205	1.18207	58	0	46
2020.12.10	12:38:00	1.18209	1.18217	1.18176	1.18187	70	0	49
2020.12.10	12:39:00	1.18187	1.18192	1.18180	1.18184	34	0	48
2020.12.10	12:40:00	1.18184	1.18211	1.18170	1.18173	70	0	44
2020.12.10	12:41:00	1.18173	1.18203	1.18163	1.18195	67	0	45
2020.12.10	12:42:00	1.18196	1.18256	1.18195	1.18231	65	0	44
2020.12.10	12:43:00	1.18231	1.18240	1.18197	1.18203	58	0	46
2020.12.10	12:44:00	1.18202	1.18229	1.18202	1.18224	42	0	51
2020.12.10	12:45:00	1.18224	1.18239	1.18207	1.18210	38	0	47
2020.12.10	12:46:00	1.18211	1.18214	1.18184	1.18204	25	0	47
2020.12.10	12:47:00	1.18205	1.18227	1.18203	1.18211	32	0	47
2020.12.10	12:48:00	1.18211	1.18219	1.18183	1.18183	40	0	44
2020.12.10	12:49:00	1.18183	1.18205	1.18183	1.18203	49	0	44
2020.12.10	12:50:00	1.18203	1.18250	1.18199	1.18238	50	0	46
2020.12.10	12:51:00	1.18238	1.18251	1.18238	1.18249	63	0	47
2020.12.10	12:52:00	1.18251	1.18258	1.18248	1.18253	48	0	49
2020.12.10	12:53:00	1.18253	1.18258	1.18237	1.18241	50	0	51
2020.12.10	12:54:00	1.18241	1.18257	1.18233	1.18255	48	0	49
2020.12.10	12:55:00	1.18254	1.18255	1.18247	1.18253	46	0	49
2020.12.10	12:56:00	1.18254	1.18255	1.18228	1.18238	38	0	46
2020.12.10	12:57:00	1.18239	1.18250	1.18234	1.18234	55	0	46
2020.12.10	12:58:00	1.18234	1.18245	1.18229	1.18239	48	0	46
2020.12.10	12:59:00	1.18241	1.18263	1.18234	1.18263	82	0	47
2020.12.10	13:00:00	1.18265	1.18270	1.18231	1.18238	62	0	44
2020.12.10	13:01:00	1.18238	1.18245	1.18234	1.18240	52	0	46
2020.12.10	13:02:00	1.18239	1.18256	1.18236	1.18243	56	0	46
2020.12.10	13:03:00	1.18243	1.18250	1.18236	1.18236	58	0	48
2020.12.10	13:04:00	1.18237	1.18237	1.18206	1.18211	61	0	49
2020.12.10	13:05:00	1.18210	1.18216	1.18207	1.18214	19	0	49
2020.12.10	13:06:00	1.18214	1.18227	1.18214	1.18227	21	0	45
2020.12.10	13:07:00	1.18227	1.18239	1.18224	1.18231	29	0	44
2020.12.10	13:08:00	1.18231	1.18260	1.18231	1.18258	32	0	47
2020.12.10	13:09:00	1.18258	1.18258	1.18220	1.18231	54	0	50
2020.12.10	13:10:00	1.18230	1.18261	1.18230	1.18258	49	0	46
2020.12.10	13:11:00	1.18258	1.18258	1.18224	1.18226	25	0	44
2020.12.10	13:12:00	1.18226	1.18226	1.18176	1.18188	37	0	44
2020.12.10	13:13:00	1.18188	1.18204	1.18175	1.18202	56	0	45
2020.12.10	13:14:00	1.18202	1.18207	1.18188	1.18189	44	0	44
2020.12.10	13:15:00	1.18184	1.18194	1.18175	1.18187	47	0	45
2020.12.10	13:16:00	1.18186	1.18210	1.18182	1.18205	45	0	46
2020.12.10	13:17:00	1.18205	1.18239	1.18202	1.18227	41	0	45
2020.12.10	13:18:00	1.18227	1.18228	1.18180	1.18183	50	0	47
2020.12.10	13:19:00	1.18183	1.18219	1.18179	1.18204	46	0	44
2020.12.10	13:20:00	1.18202	1.18248	1.18194	1.18239	79	0	45
2020.12.10	13:21:00	1.18240	1.18247	1.18222	1.18241	29	0	44
2020.12.10	13:22:00	1.18240	1.18248	1.18223	1.18248	54	0	44
2020.12.10	13:23:00	1.18249	1.18251	1.18240	1.18251	44	0	48
2020.12.10	13:24:00	1.18251	1.18251	1.18231	1.18231	38	0	51
2020.12.10	13:25:00	1.18231	1.18231	1.18211	1.18212	47	0	50
2020.12.10	13:26:00	1.18212	1.18214	1.18196	1.18207	39	0	46
2020.12.10	13:27:00	1.18209	1.18212	1.18182	1.18183	30	0	45
2020.12.10	13:28:00	1.18183	1.18187	1.18156	1.18160	80	0	46
2020.12.10	13:29:00	1.18160	1.18195	1.18156	1.18192	44	0	45
2020.12.10	13:30:00	1.18193	1.18224	1.18193	1.18222	46	0	49
2020.12.10	13:31:00	1.18224	1.18224	1.18207	1.18214	36	0	49
2020.12.10	13:32:00	1.18214	1.18224	1.18207	1.18209	35	0	47
2020.12.10	13:33:00	1.18209	1.18210	1.18194	1.18206	29	0	48
2020.12.10	13:34:00	1.18206	1.18214	1.18185	1.18190	27	0	49
2020.12.10	13:35:00	1.18190	1.18202	1.18178	1.18179	66	0	48
2020.12.10	13:36:00	1.18180	1.18196	1.18173	1.18196	63	0	46
2020.12.10	13:37:00	1.18196	1.18197	1.18185	1.18186	38	0	50
2020.12.10	13:38:00	1.18186	1.18196	1.18182	1.18196	51	0	52
2020.12.10	13:39:00	1.18194	1.18200	1.18192	1.18199	23	0	50
2020.12.10	13:40:00	1.18199	1.18200	1.18131	1.18134	78	0	44
2020.12.10	13:41:00	1.18136	1.18150	1.18084	1.18107	79	0	44
2020.12.10	13:42:00	1.18107	1.18114	1.18100	1.18102	40	0	47
