<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1.89066	1.89088	1.89051	1.89065	104	0	56
2020.12.10	11:01:00	1.89065	1.89073	1.89033	1.89070	92	0	55
2020.12.10	11:02:00	1.89070	1.89083	1.89043	1.89046	95	0	58
2020.12.10	11:03:00	1.89047	1.89087	1.89037	1.89083	49	0	58
2020.12.10	11:04:00	1.89083	1.89083	1.89043	1.89043	70	0	55
2020.12.10	11:05:00	1.89043	1.89043	1.88923	1.88933	145	0	54
2020.12.10	11:06:00	1.88933	1.88983	1.88915	1.88957	83	0	58
2020.12.10	11:07:00	1.88959	1.88978	1.88934	1.88955	71	0	54
2020.12.10	11:08:00	1.88957	1.88985	1.88923	1.88977	75	0	54
2020.12.10	11:09:00	1.88977	1.88991	1.88930	1.88933	59	0	54
2020.12.10	11:10:00	1.88933	1.88953	1.88913	1.88937	80	0	59
2020.12.10	11:11:00	1.88937	1.88966	1.88933	1.88943	75	0	57
2020.12.10	11:12:00	1.88953	1.88956	1.88924	1.88943	53	0	54
2020.12.10	11:13:00	1.88943	1.88953	1.88914	1.88929	54	0	58
2020.12.10	11:14:00	1.88929	1.88946	1.88878	1.88913	89	0	58
2020.12.10	11:15:00	1.88908	1.88918	1.88894	1.88903	114	0	55
2020.12.10	11:16:00	1.88913	1.88933	1.88894	1.88906	89	0	58
2020.12.10	11:17:00	1.88905	1.88923	1.88888	1.88893	83	0	57
2020.12.10	11:18:00	1.88893	1.88903	1.88877	1.88894	42	0	58
2020.12.10	11:19:00	1.88894	1.88923	1.88866	1.88866	49	0	55
2020.12.10	11:20:00	1.88866	1.88867	1.88833	1.88863	71	0	54
2020.12.10	11:21:00	1.88861	1.88883	1.88842	1.88866	54	0	54
2020.12.10	11:22:00	1.88865	1.88907	1.88845	1.88899	66	0	55
2020.12.10	11:23:00	1.88893	1.88897	1.88857	1.88858	62	0	54
2020.12.10	11:24:00	1.88858	1.88866	1.88823	1.88833	48	0	61
2020.12.10	11:25:00	1.88833	1.88866	1.88779	1.88783	51	0	56
2020.12.10	11:26:00	1.88779	1.88786	1.88723	1.88757	51	0	57
2020.12.10	11:27:00	1.88758	1.88758	1.88705	1.88723	39	0	58
2020.12.10	11:28:00	1.88718	1.88727	1.88650	1.88650	74	0	55
2020.12.10	11:29:00	1.88647	1.88658	1.88605	1.88613	51	0	57
2020.12.10	11:30:00	1.88613	1.88633	1.88593	1.88609	58	0	56
