<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	0.90084	0.90086	0.90059	0.90060	51	0	28
2020.12.10	11:01:00	0.90060	0.90077	0.90060	0.90064	56	0	27
2020.12.10	11:02:00	0.90065	0.90085	0.90061	0.90079	52	0	26
2020.12.10	11:03:00	0.90078	0.90081	0.90060	0.90064	52	0	26
2020.12.10	11:04:00	0.90062	0.90076	0.90055	0.90075	89	0	26
2020.12.10	11:05:00	0.90075	0.90104	0.90070	0.90100	112	0	26
2020.12.10	11:06:00	0.90100	0.90117	0.90100	0.90115	58	0	26
2020.12.10	11:07:00	0.90116	0.90130	0.90116	0.90129	54	0	26
2020.12.10	11:08:00	0.90129	0.90136	0.90108	0.90116	64	0	26
2020.12.10	11:09:00	0.90116	0.90128	0.90110	0.90128	48	0	27
2020.12.10	11:10:00	0.90129	0.90129	0.90111	0.90122	82	0	26
2020.12.10	11:11:00	0.90121	0.90124	0.90105	0.90111	53	0	26
2020.12.10	11:12:00	0.90111	0.90118	0.90102	0.90112	69	0	26
2020.12.10	11:13:00	0.90111	0.90117	0.90106	0.90114	52	0	27
2020.12.10	11:14:00	0.90113	0.90127	0.90103	0.90114	77	0	27
2020.12.10	11:15:00	0.90116	0.90129	0.90115	0.90127	75	0	26
2020.12.10	11:16:00	0.90127	0.90129	0.90117	0.90127	51	0	27
2020.12.10	11:17:00	0.90126	0.90149	0.90126	0.90145	54	0	26
2020.12.10	11:18:00	0.90145	0.90156	0.90145	0.90154	43	0	26
2020.12.10	11:19:00	0.90154	0.90160	0.90140	0.90141	51	0	26
2020.12.10	11:20:00	0.90141	0.90144	0.90137	0.90141	34	0	26
2020.12.10	11:21:00	0.90142	0.90146	0.90128	0.90130	30	0	26
2020.12.10	11:22:00	0.90129	0.90129	0.90110	0.90116	41	0	27
2020.12.10	11:23:00	0.90115	0.90118	0.90107	0.90115	31	0	28
2020.12.10	11:24:00	0.90116	0.90116	0.90111	0.90113	18	0	29
2020.12.10	11:25:00	0.90114	0.90132	0.90111	0.90131	38	0	27
2020.12.10	11:26:00	0.90132	0.90132	0.90121	0.90125	40	0	29
2020.12.10	11:27:00	0.90123	0.90127	0.90119	0.90122	42	0	28
2020.12.10	11:28:00	0.90122	0.90177	0.90122	0.90176	77	0	27
2020.12.10	11:29:00	0.90175	0.90177	0.90157	0.90172	49	0	27
2020.12.10	11:30:00	0.90172	0.90174	0.90162	0.90173	48	0	28
2020.12.10	11:31:00	0.90172	0.90188	0.90170	0.90188	65	0	27
2020.12.10	11:32:00	0.90187	0.90191	0.90180	0.90191	61	0	27
2020.12.10	11:33:00	0.90189	0.90190	0.90176	0.90188	79	0	29
2020.12.10	11:34:00	0.90187	0.90206	0.90186	0.90196	78	0	27
2020.12.10	11:35:00	0.90196	0.90214	0.90194	0.90210	83	0	27
2020.12.10	11:36:00	0.90210	0.90210	0.90183	0.90192	82	0	28
2020.12.10	11:37:00	0.90192	0.90194	0.90174	0.90174	41	0	30
2020.12.10	11:38:00	0.90174	0.90175	0.90156	0.90162	60	0	28
2020.12.10	11:39:00	0.90163	0.90167	0.90155	0.90155	58	0	27
2020.12.10	11:40:00	0.90155	0.90159	0.90149	0.90149	50	0	26
2020.12.10	11:41:00	0.90149	0.90157	0.90149	0.90152	41	0	31
2020.12.10	11:42:00	0.90152	0.90155	0.90143	0.90149	44	0	27
2020.12.10	11:43:00	0.90149	0.90150	0.90142	0.90143	59	0	28
2020.12.10	11:44:00	0.90143	0.90173	0.90143	0.90163	36	0	28
2020.12.10	11:45:00	0.90164	0.90172	0.90161	0.90171	59	0	27
2020.12.10	11:46:00	0.90171	0.90194	0.90163	0.90189	54	0	28
2020.12.10	11:47:00	0.90189	0.90189	0.90168	0.90171	52	0	28
2020.12.10	11:48:00	0.90170	0.90175	0.90159	0.90173	51	0	29
2020.12.10	11:49:00	0.90174	0.90178	0.90170	0.90175	39	0	30
2020.12.10	11:50:00	0.90175	0.90176	0.90167	0.90174	41	0	27
2020.12.10	11:51:00	0.90173	0.90180	0.90168	0.90176	37	0	29
2020.12.10	11:52:00	0.90177	0.90184	0.90171	0.90180	42	0	28
2020.12.10	11:53:00	0.90181	0.90181	0.90154	0.90155	37	0	27
2020.12.10	11:54:00	0.90155	0.90161	0.90136	0.90137	34	0	26
2020.12.10	11:55:00	0.90138	0.90139	0.90122	0.90124	62	0	26
2020.12.10	11:56:00	0.90123	0.90128	0.90112	0.90115	35	0	26
2020.12.10	11:57:00	0.90114	0.90114	0.90093	0.90104	55	0	26
2020.12.10	11:58:00	0.90105	0.90109	0.90102	0.90105	33	0	28
2020.12.10	11:59:00	0.90104	0.90118	0.90097	0.90116	46	0	28
2020.12.10	12:00:00	0.90116	0.90128	0.90116	0.90118	54	0	28
2020.12.10	12:01:00	0.90118	0.90121	0.90109	0.90119	38	0	29
2020.12.10	12:02:00	0.90119	0.90125	0.90116	0.90120	29	0	27
2020.12.10	12:03:00	0.90122	0.90135	0.90119	0.90132	56	0	27
2020.12.10	12:04:00	0.90131	0.90131	0.90119	0.90121	31	0	29
2020.12.10	12:05:00	0.90121	0.90130	0.90119	0.90124	31	0	28
2020.12.10	12:06:00	0.90124	0.90130	0.90118	0.90128	32	0	27
2020.12.10	12:07:00	0.90128	0.90135	0.90127	0.90133	29	0	29
2020.12.10	12:08:00	0.90134	0.90142	0.90129	0.90129	35	0	27
2020.12.10	12:09:00	0.90129	0.90130	0.90117	0.90125	54	0	29
2020.12.10	12:10:00	0.90127	0.90139	0.90119	0.90138	52	0	28
2020.12.10	12:11:00	0.90138	0.90141	0.90131	0.90141	40	0	27
2020.12.10	12:12:00	0.90142	0.90148	0.90139	0.90145	45	0	31
2020.12.10	12:13:00	0.90144	0.90145	0.90134	0.90142	41	0	28
2020.12.10	12:14:00	0.90139	0.90160	0.90139	0.90156	44	0	28
2020.12.10	12:15:00	0.90156	0.90161	0.90152	0.90156	50	0	27
2020.12.10	12:16:00	0.90156	0.90157	0.90142	0.90145	45	0	28
2020.12.10	12:17:00	0.90145	0.90151	0.90144	0.90147	28	0	29
2020.12.10	12:18:00	0.90147	0.90153	0.90143	0.90145	51	0	29
2020.12.10	12:19:00	0.90145	0.90148	0.90133	0.90147	52	0	27
2020.12.10	12:20:00	0.90146	0.90153	0.90141	0.90152	45	0	30
2020.12.10	12:21:00	0.90152	0.90154	0.90131	0.90135	53	0	30
2020.12.10	12:22:00	0.90135	0.90141	0.90125	0.90125	44	0	28
2020.12.10	12:23:00	0.90124	0.90128	0.90120	0.90122	33	0	28
2020.12.10	12:24:00	0.90122	0.90130	0.90117	0.90118	35	0	27
2020.12.10	12:25:00	0.90118	0.90125	0.90118	0.90122	43	0	27
2020.12.10	12:26:00	0.90122	0.90128	0.90115	0.90128	34	0	27
2020.12.10	12:27:00	0.90127	0.90137	0.90125	0.90133	38	0	28
2020.12.10	12:28:00	0.90132	0.90134	0.90126	0.90129	18	0	28
2020.12.10	12:29:00	0.90128	0.90130	0.90120	0.90126	43	0	28
2020.12.10	12:30:00	0.90126	0.90142	0.90121	0.90138	58	0	28
2020.12.10	12:31:00	0.90137	0.90140	0.90131	0.90135	25	0	29
2020.12.10	12:32:00	0.90135	0.90140	0.90134	0.90134	28	0	28
2020.12.10	12:33:00	0.90134	0.90142	0.90125	0.90126	39	0	27
2020.12.10	12:34:00	0.90126	0.90126	0.90101	0.90103	65	0	26
2020.12.10	12:35:00	0.90102	0.90104	0.90090	0.90097	53	0	26
2020.12.10	12:36:00	0.90097	0.90106	0.90095	0.90106	40	0	29
2020.12.10	12:37:00	0.90106	0.90106	0.90086	0.90086	39	0	30
2020.12.10	12:38:00	0.90084	0.90085	0.90070	0.90070	45	0	27
2020.12.10	12:39:00	0.90070	0.90073	0.90068	0.90073	27	0	30
2020.12.10	12:40:00	0.90073	0.90086	0.90072	0.90076	49	0	30
2020.12.10	12:41:00	0.90076	0.90078	0.90065	0.90069	35	0	30
2020.12.10	12:42:00	0.90068	0.90083	0.90068	0.90068	47	0	27
2020.12.10	12:43:00	0.90067	0.90069	0.90053	0.90056	48	0	26
2020.12.10	12:44:00	0.90056	0.90074	0.90056	0.90074	54	0	27
2020.12.10	12:45:00	0.90075	0.90082	0.90060	0.90060	56	0	26
2020.12.10	12:46:00	0.90060	0.90063	0.90053	0.90055	34	0	29
2020.12.10	12:47:00	0.90054	0.90066	0.90049	0.90063	43	0	28
2020.12.10	12:48:00	0.90063	0.90063	0.90051	0.90051	29	0	29
2020.12.10	12:49:00	0.90052	0.90064	0.90048	0.90061	52	0	28
2020.12.10	12:50:00	0.90061	0.90075	0.90059	0.90067	48	0	27
2020.12.10	12:51:00	0.90067	0.90074	0.90066	0.90073	39	0	28
2020.12.10	12:52:00	0.90073	0.90076	0.90056	0.90057	37	0	27
2020.12.10	12:53:00	0.90057	0.90063	0.90049	0.90055	63	0	28
2020.12.10	12:54:00	0.90056	0.90056	0.90043	0.90049	45	0	27
2020.12.10	12:55:00	0.90048	0.90048	0.90041	0.90041	19	0	28
2020.12.10	12:56:00	0.90041	0.90057	0.90041	0.90052	38	0	29
2020.12.10	12:57:00	0.90052	0.90052	0.90041	0.90043	46	0	27
2020.12.10	12:58:00	0.90042	0.90052	0.90034	0.90049	26	0	26
2020.12.10	12:59:00	0.90047	0.90049	0.90041	0.90041	33	0	26
