<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	0.70373	0.70380	0.70348	0.70355	61	0	17
2020.12.10	11:01:00	0.70356	0.70366	0.70346	0.70346	48	0	17
2020.12.10	11:02:00	0.70346	0.70356	0.70345	0.70349	50	0	18
2020.12.10	11:03:00	0.70349	0.70353	0.70334	0.70336	31	0	17
2020.12.10	11:04:00	0.70336	0.70344	0.70328	0.70343	35	0	17
2020.12.10	11:05:00	0.70344	0.70374	0.70343	0.70369	60	0	17
2020.12.10	11:06:00	0.70369	0.70386	0.70369	0.70383	32	0	17
2020.12.10	11:07:00	0.70383	0.70392	0.70383	0.70390	19	0	17
2020.12.10	11:08:00	0.70390	0.70398	0.70386	0.70392	39	0	17
2020.12.10	11:09:00	0.70392	0.70394	0.70377	0.70381	26	0	17
2020.12.10	11:10:00	0.70381	0.70384	0.70374	0.70384	30	0	17
2020.12.10	11:11:00	0.70384	0.70386	0.70375	0.70385	29	0	17
2020.12.10	11:12:00	0.70384	0.70389	0.70375	0.70384	35	0	17
2020.12.10	11:13:00	0.70384	0.70384	0.70375	0.70382	25	0	17
2020.12.10	11:14:00	0.70381	0.70392	0.70372	0.70382	37	0	17
2020.12.10	11:15:00	0.70382	0.70393	0.70382	0.70393	34	0	17
2020.12.10	11:16:00	0.70393	0.70395	0.70386	0.70392	16	0	17
2020.12.10	11:17:00	0.70392	0.70415	0.70392	0.70409	21	0	17
2020.12.10	11:18:00	0.70409	0.70420	0.70406	0.70418	30	0	17
2020.12.10	11:19:00	0.70419	0.70430	0.70415	0.70427	41	0	17
2020.12.10	11:20:00	0.70427	0.70427	0.70418	0.70421	30	0	17
2020.12.10	11:21:00	0.70421	0.70425	0.70409	0.70409	27	0	17
2020.12.10	11:22:00	0.70408	0.70408	0.70393	0.70401	29	0	17
2020.12.10	11:23:00	0.70401	0.70402	0.70390	0.70397	25	0	17
2020.12.10	11:24:00	0.70397	0.70397	0.70394	0.70395	21	0	18
2020.12.10	11:25:00	0.70395	0.70423	0.70395	0.70422	26	0	17
2020.12.10	11:26:00	0.70422	0.70422	0.70412	0.70417	14	0	17
