<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1.28010	1.28021	1.28003	1.28006	44	0	14
2020.12.10	11:01:00	1.28006	1.28028	1.27999	1.28024	57	0	14
2020.12.10	11:02:00	1.28027	1.28045	1.28022	1.28044	48	0	14
2020.12.10	11:03:00	1.28044	1.28051	1.28031	1.28044	44	0	14
2020.12.10	11:04:00	1.28044	1.28054	1.28044	1.28051	35	0	14
2020.12.10	11:05:00	1.28048	1.28051	1.28024	1.28037	55	0	14
2020.12.10	11:06:00	1.28037	1.28037	1.28024	1.28034	38	0	14
2020.12.10	11:07:00	1.28034	1.28044	1.28033	1.28041	34	0	14
2020.12.10	11:08:00	1.28041	1.28041	1.28018	1.28019	30	0	14
2020.12.10	11:09:00	1.28019	1.28051	1.28017	1.28051	49	0	14
2020.12.10	11:10:00	1.28053	1.28053	1.28040	1.28040	58	0	14
2020.12.10	11:11:00	1.28043	1.28045	1.28022	1.28023	48	0	14
2020.12.10	11:12:00	1.28023	1.28036	1.28019	1.28028	34	0	14
2020.12.10	11:13:00	1.28028	1.28041	1.28028	1.28034	42	0	14
2020.12.10	11:14:00	1.28034	1.28041	1.28026	1.28034	45	0	14
2020.12.10	11:15:00	1.28034	1.28044	1.28027	1.28037	47	0	14
2020.12.10	11:16:00	1.28036	1.28039	1.28029	1.28034	27	0	14
2020.12.10	11:17:00	1.28034	1.28034	1.28019	1.28029	21	0	14
2020.12.10	11:18:00	1.28029	1.28037	1.28024	1.28029	34	0	14
2020.12.10	11:19:00	1.28028	1.28030	1.27989	1.27990	33	0	14
2020.12.10	11:20:00	1.27990	1.28007	1.27990	1.28003	22	0	14
2020.12.10	11:21:00	1.28003	1.28007	1.28001	1.28007	17	0	14
2020.12.10	11:22:00	1.28011	1.28017	1.28002	1.28003	40	0	14
2020.12.10	11:23:00	1.28003	1.28012	1.28000	1.28006	33	0	14
2020.12.10	11:24:00	1.28006	1.28007	1.28004	1.28007	15	0	16
2020.12.10	11:25:00	1.28007	1.28007	1.27984	1.27987	46	0	14
2020.12.10	11:26:00	1.27987	1.27994	1.27987	1.27987	26	0	14
2020.12.10	11:27:00	1.27987	1.27993	1.27981	1.27985	37	0	14
2020.12.10	11:28:00	1.27985	1.27985	1.27946	1.27958	59	0	14
2020.12.10	11:29:00	1.27958	1.27968	1.27958	1.27966	30	0	14
2020.12.10	11:30:00	1.27966	1.27972	1.27955	1.27958	35	0	14
2020.12.10	11:31:00	1.27958	1.27960	1.27949	1.27949	47	0	14
2020.12.10	11:32:00	1.27949	1.27953	1.27942	1.27952	30	0	14
2020.12.10	11:33:00	1.27952	1.27965	1.27950	1.27961	52	0	14
2020.12.10	11:34:00	1.27961	1.27961	1.27940	1.27943	47	0	14
2020.12.10	11:35:00	1.27943	1.27946	1.27925	1.27925	74	0	14
2020.12.10	11:36:00	1.27925	1.27932	1.27918	1.27924	56	0	14
2020.12.10	11:37:00	1.27925	1.27936	1.27919	1.27935	55	0	14
2020.12.10	11:38:00	1.27934	1.27962	1.27932	1.27961	64	0	14
2020.12.10	11:39:00	1.27961	1.27969	1.27951	1.27963	135	0	14
2020.12.10	11:40:00	1.27963	1.27967	1.27940	1.27940	76	0	14
2020.12.10	11:41:00	1.27940	1.27948	1.27932	1.27942	44	0	14
2020.12.10	11:42:00	1.27942	1.27949	1.27932	1.27943	63	0	14
2020.12.10	11:43:00	1.27943	1.27953	1.27940	1.27941	53	0	14
2020.12.10	11:44:00	1.27942	1.27953	1.27942	1.27951	40	0	15
2020.12.10	11:45:00	1.27949	1.27952	1.27941	1.27952	45	0	14
2020.12.10	11:46:00	1.27952	1.27952	1.27939	1.27940	27	0	15
2020.12.10	11:47:00	1.27940	1.27941	1.27923	1.27926	32	0	15
2020.12.10	11:48:00	1.27926	1.27933	1.27924	1.27925	47	0	14
2020.12.10	11:49:00	1.27925	1.27938	1.27925	1.27934	23	0	14
2020.12.10	11:50:00	1.27934	1.27934	1.27926	1.27929	33	0	14
