<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	0.88963	0.88971	0.88960	0.88963	54	0	12
2020.12.10	11:01:00	0.88962	0.88976	0.88960	0.88975	43	0	12
2020.12.10	11:02:00	0.88976	0.88985	0.88972	0.88981	37	0	12
2020.12.10	11:03:00	0.88981	0.88992	0.88977	0.88992	39	0	12
2020.12.10	11:04:00	0.88992	0.89008	0.88992	0.89002	52	0	12
2020.12.10	11:05:00	0.89002	0.89005	0.88991	0.89001	55	0	12
2020.12.10	11:06:00	0.89000	0.89004	0.88984	0.88985	40	0	13
2020.12.10	11:07:00	0.88985	0.88986	0.88977	0.88980	49	0	12
2020.12.10	11:08:00	0.88980	0.88985	0.88978	0.88979	43	0	12
2020.12.10	11:09:00	0.88979	0.89004	0.88979	0.89004	34	0	12
2020.12.10	11:10:00	0.89004	0.89009	0.89000	0.89000	19	0	12
2020.12.10	11:11:00	0.89000	0.89006	0.88998	0.88998	27	0	12
2020.12.10	11:12:00	0.88997	0.89000	0.88983	0.88984	36	0	12
2020.12.10	11:13:00	0.88984	0.88990	0.88983	0.88983	40	0	12
2020.12.10	11:14:00	0.88984	0.88988	0.88982	0.88987	57	0	12
2020.12.10	11:15:00	0.88987	0.88994	0.88985	0.88994	51	0	12
2020.12.10	11:16:00	0.88994	0.89003	0.88993	0.88999	42	0	12
2020.12.10	11:17:00	0.89000	0.89000	0.88986	0.88989	21	0	12
2020.12.10	11:18:00	0.88989	0.88993	0.88984	0.88989	27	0	12
2020.12.10	11:19:00	0.88988	0.88991	0.88973	0.88977	67	0	12
2020.12.10	11:20:00	0.88978	0.88981	0.88974	0.88977	53	0	12
2020.12.10	11:21:00	0.88976	0.88976	0.88961	0.88967	51	0	12
2020.12.10	11:22:00	0.88967	0.88970	0.88958	0.88958	54	0	12
2020.12.10	11:23:00	0.88957	0.88977	0.88957	0.88964	54	0	12
2020.12.10	11:24:00	0.88964	0.88970	0.88959	0.88970	35	0	12
2020.12.10	11:25:00	0.88970	0.88979	0.88970	0.88976	42	0	12
2020.12.10	11:26:00	0.88978	0.88986	0.88976	0.88981	35	0	12
2020.12.10	11:27:00	0.88981	0.88983	0.88972	0.88983	31	0	13
2020.12.10	11:28:00	0.88983	0.88983	0.88952	0.88970	65	0	12
2020.12.10	11:29:00	0.88970	0.88991	0.88970	0.88981	36	0	12
2020.12.10	11:30:00	0.88981	0.88982	0.88972	0.88974	25	0	12
2020.12.10	11:31:00	0.88973	0.88974	0.88959	0.88960	44	0	12
2020.12.10	11:32:00	0.88960	0.88973	0.88955	0.88963	31	0	12
2020.12.10	11:33:00	0.88963	0.88978	0.88963	0.88965	41	0	12
2020.12.10	11:34:00	0.88964	0.88964	0.88948	0.88960	59	0	12
2020.12.10	11:35:00	0.88959	0.88959	0.88918	0.88933	70	0	12
2020.12.10	11:36:00	0.88933	0.88944	0.88933	0.88939	76	0	12
2020.12.10	11:37:00	0.88939	0.88939	0.88929	0.88929	34	0	12
2020.12.10	11:38:00	0.88929	0.88939	0.88920	0.88920	48	0	12
2020.12.10	11:39:00	0.88922	0.88922	0.88905	0.88919	62	0	12
2020.12.10	11:40:00	0.88919	0.88925	0.88913	0.88920	45	0	12
2020.12.10	11:41:00	0.88920	0.88922	0.88910	0.88910	35	0	12
2020.12.10	11:42:00	0.88910	0.88916	0.88908	0.88911	27	0	13
2020.12.10	11:43:00	0.88911	0.88914	0.88890	0.88891	52	0	12
