<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	4.02427	4.02544	4.02427	4.02477	83	0	385
2020.12.10	11:01:00	4.02475	4.02555	4.02456	4.02541	67	0	385
2020.12.10	11:02:00	4.02533	4.02599	4.02514	4.02589	60	0	388
2020.12.10	11:03:00	4.02587	4.02622	4.02554	4.02616	46	0	389
2020.12.10	11:04:00	4.02620	4.02630	4.02587	4.02599	79	0	389
2020.12.10	11:05:00	4.02590	4.02609	4.02550	4.02606	94	0	389
2020.12.10	11:06:00	4.02599	4.02611	4.02550	4.02560	83	0	389
2020.12.10	11:07:00	4.02557	4.02571	4.02526	4.02552	52	0	393
2020.12.10	11:08:00	4.02556	4.02564	4.02535	4.02545	49	0	393
2020.12.10	11:09:00	4.02547	4.02681	4.02545	4.02681	48	0	393
2020.12.10	11:10:00	4.02684	4.02695	4.02645	4.02646	62	0	393
2020.12.10	11:11:00	4.02645	4.02651	4.02602	4.02602	46	0	393
2020.12.10	11:12:00	4.02592	4.02630	4.02576	4.02609	47	0	393
2020.12.10	11:13:00	4.02613	4.02628	4.02562	4.02575	43	0	398
2020.12.10	11:14:00	4.02582	4.02609	4.02563	4.02578	46	0	398
2020.12.10	11:15:00	4.02581	4.02594	4.02540	4.02594	85	0	393
2020.12.10	11:16:00	4.02591	4.02601	4.02541	4.02557	78	0	398
2020.12.10	11:17:00	4.02557	4.02560	4.02494	4.02503	53	0	398
2020.12.10	11:18:00	4.02501	4.02507	4.02458	4.02458	44	0	395
2020.12.10	11:19:00	4.02460	4.02469	4.02365	4.02381	69	0	395
2020.12.10	11:20:00	4.02387	4.02412	4.02361	4.02367	61	0	392
2020.12.10	11:21:00	4.02371	4.02371	4.02272	4.02298	62	0	392
2020.12.10	11:22:00	4.02301	4.02330	4.02252	4.02255	58	0	432
2020.12.10	11:23:00	4.02247	4.02395	4.02240	4.02330	65	0	392
2020.12.10	11:24:00	4.02327	4.02358	4.02310	4.02351	45	0	393
2020.12.10	11:25:00	4.02361	4.02372	4.02240	4.02240	67	0	387
2020.12.10	11:26:00	4.02243	4.02285	4.02205	4.02216	58	0	387
2020.12.10	11:27:00	4.02217	4.02313	4.02179	4.02266	41	0	415
2020.12.10	11:28:00	4.02264	4.02264	4.02062	4.02104	86	0	435
2020.12.10	11:29:00	4.02106	4.02183	4.02106	4.02175	72	0	392
2020.12.10	11:30:00	4.02169	4.02222	4.02158	4.02177	67	0	387
2020.12.10	11:31:00	4.02175	4.02197	4.02036	4.02041	72	0	383
2020.12.10	11:32:00	4.02043	4.02087	4.02036	4.02054	56	0	392
2020.12.10	11:33:00	4.02046	4.02149	4.02045	4.02140	54	0	388
2020.12.10	11:34:00	4.02137	4.02137	4.02067	4.02111	78	0	388
2020.12.10	11:35:00	4.02106	4.02106	4.01899	4.01952	87	0	388
2020.12.10	11:36:00	4.01951	4.01989	4.01937	4.01937	76	0	388
2020.12.10	11:37:00	4.01926	4.01958	4.01907	4.01953	62	0	388
2020.12.10	11:38:00	4.01956	4.02040	4.01953	4.02027	77	0	388
2020.12.10	11:39:00	4.02033	4.02049	4.02006	4.02049	63	0	388
2020.12.10	11:40:00	4.02050	4.02074	4.02012	4.02042	72	0	399
2020.12.10	11:41:00	4.02036	4.02057	4.02033	4.02036	46	0	391
2020.12.10	11:42:00	4.02041	4.02085	4.02024	4.02043	63	0	387
2020.12.10	11:43:00	4.02049	4.02075	4.02017	4.02024	69	0	387
2020.12.10	11:44:00	4.02020	4.02054	4.01959	4.01975	49	0	384
2020.12.10	11:45:00	4.01972	4.01972	4.01892	4.01902	42	0	387
2020.12.10	11:46:00	4.01907	4.01940	4.01892	4.01937	36	0	391
2020.12.10	11:47:00	4.01937	4.01947	4.01892	4.01919	56	0	391
2020.12.10	11:48:00	4.01920	4.02055	4.01920	4.02048	93	0	368
2020.12.10	11:49:00	4.02050	4.02080	4.02042	4.02062	50	0	366
2020.12.10	11:50:00	4.02060	4.02079	4.01980	4.02003	48	0	366
2020.12.10	11:51:00	4.02001	4.02001	4.01946	4.01949	58	0	371
2020.12.10	11:52:00	4.01956	4.01989	4.01947	4.01959	69	0	366
2020.12.10	11:53:00	4.01957	4.02036	4.01952	4.02022	46	0	366
2020.12.10	11:54:00	4.02022	4.02047	4.02020	4.02043	50	0	366
2020.12.10	11:55:00	4.02047	4.02069	4.01051	4.01051	37	0	366
2020.12.10	11:56:00	4.01051	4.02031	4.01051	4.02005	44	0	414
2020.12.10	11:57:00	4.02007	4.02090	4.01051	4.02071	41	0	422
