<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	73.62050	73.66800	73.61800	73.62850	86	0	1800
2020.12.10	11:01:00	73.62999	73.63850	73.60150	73.63250	95	0	1550
2020.12.10	11:02:00	73.63299	73.64900	73.61600	73.62650	81	0	1600
2020.12.10	11:03:00	73.62699	73.63899	73.62250	73.63500	47	0	1800
2020.12.10	11:04:00	73.63650	73.64400	73.61050	73.61150	56	0	1650
2020.12.10	11:05:00	73.61150	73.61500	73.59850	73.60550	79	0	1600
2020.12.10	11:06:00	73.60550	73.60550	73.56850	73.58849	74	0	1751
2020.12.10	11:07:00	73.58950	73.59200	73.57100	73.58000	55	0	1950
2020.12.10	11:08:00	73.57800	73.58150	73.55950	73.56950	79	0	1700
2020.12.10	11:09:00	73.56600	73.61300	73.55450	73.61300	76	0	1950
2020.12.10	11:10:00	73.61100	73.61350	73.59449	73.59449	89	0	1850
2020.12.10	11:11:00	73.59749	73.60700	73.59350	73.59600	69	0	1550
2020.12.10	11:12:00	73.59400	73.60900	73.59050	73.60800	60	0	1600
2020.12.10	11:13:00	73.60850	73.61400	73.59149	73.59149	57	0	1350
2020.12.10	11:14:00	73.59149	73.60400	73.57349	73.57900	80	0	1500
2020.12.10	11:15:00	73.57900	73.57900	73.55950	73.56800	82	0	1900
2020.12.10	11:16:00	73.56800	73.56800	73.55450	73.56250	58	0	1950
2020.12.10	11:17:00	73.56250	73.56250	73.54300	73.55050	57	0	2000
2020.12.10	11:18:00	73.54850	73.57250	73.54250	73.56300	82	0	2050
2020.12.10	11:19:00	73.56200	73.57300	73.52250	73.52299	74	0	1750
2020.12.10	11:20:00	73.52250	73.56400	73.51900	73.54699	102	0	1400
2020.12.10	11:21:00	73.54850	73.54850	73.53250	73.54300	69	0	1900
2020.12.10	11:22:00	73.54200	73.56749	73.54200	73.54650	65	0	1700
2020.12.10	11:23:00	73.54550	73.55550	73.54150	73.55150	44	0	1650
2020.12.10	11:24:00	73.55050	73.55050	73.53499	73.53650	36	0	1600
2020.12.10	11:25:00	73.53400	73.54399	73.51999	73.52950	76	0	1652
2020.12.10	11:26:00	73.53050	73.53100	73.48550	73.49049	83	0	1550
