<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.24	110.01	110.01	104.09	105.22	3423	0	36
2020.04.27	105.59	107.07	104.00	104.35	2880	0	36
2020.04.28	105.00	106.97	104.04	105.62	2780	0	36
2020.04.29	106.42	106.64	103.20	103.36	2337	0	36
2020.04.30	103.98	105.54	102.02	104.41	3101	0	36
2020.05.01	104.00	105.36	102.70	104.63	2623	0	36
2020.05.04	103.64	106.51	103.20	104.93	2459	0	36
2020.05.05	105.19	109.09	104.97	108.30	2669	0	36
2020.05.06	108.24	108.99	106.79	107.88	2132	0	36
2020.05.07	107.15	107.72	104.62	107.56	2780	0	36
2020.05.08	110.11	110.29	109.15	109.79	465	0	36
2020.05.11	109.65	111.14	107.98	108.28	2230	0	36
2020.05.12	108.37	108.51	105.07	105.69	2480	0	36
2020.05.13	105.21	106.05	103.39	103.73	2401	0	36
2020.05.14	103.97	106.66	103.55	105.53	2867	0	36
2020.05.15	106.50	107.47	104.96	105.60	2456	0	36
2020.05.18	105.13	106.55	103.54	105.76	2497	0	36
2020.05.19	105.67	107.16	104.84	105.41	2329	0	36
2020.05.20	105.15	106.17	103.92	104.52	2701	0	36
2020.05.21	104.38	105.25	102.81	103.45	2604	0	36
2020.05.22	103.56	103.71	101.00	102.26	2759	0	36
2020.05.26	103.32	105.72	102.92	103.75	2933	0	36
2020.05.27	104.01	104.65	100.20	100.82	2526	0	36
2020.05.28	101.16	101.31	97.35	97.85	2803	0	36
2020.05.29	98.08	98.80	94.70	94.85	2911	0	36
2020.06.01	94.92	97.83	93.67	96.91	3840	0	36
2020.06.02	97.49	98.54	96.26	96.83	3151	0	36
2020.06.03	97.59	99.54	96.82	97.35	2661	0	36
2020.06.04	97.66	97.66	95.22	97.10	2755	0	36
2020.06.05	97.53	98.66	95.98	97.91	2777	0	36
2020.06.08	98.38	98.63	96.75	98.10	2607	0	36
2020.06.09	98.38	98.50	96.56	97.12	2534	0	36
2020.06.10	96.99	97.80	95.68	96.05	2815	0	36
2020.06.11	95.38	96.65	93.96	95.87	2897	0	36
2020.06.12	95.64	96.94	94.31	94.38	3402	0	36
2020.06.15	94.10	94.69	92.25	94.06	3193	0	36
2020.06.16	94.19	94.98	92.37	93.20	3486	0	36
2020.06.17	92.97	96.35	92.78	95.74	3377	0	36
2020.06.18	96.46	96.51	94.07	94.32	2764	0	36
2020.06.19	94.38	95.22	93.36	93.90	2384	0	36
2020.06.22	93.84	96.12	93.11	95.73	2585	0	36
2020.06.23	95.86	97.21	95.28	95.89	3048	0	36
2020.06.24	95.83	97.50	95.06	95.30	2791	0	36
2020.06.25	95.44	96.00	93.12	94.25	3167	0	36
2020.06.26	94.43	95.00	92.70	94.61	2651	0	36
2020.06.29	94.55	101.00	94.35	98.01	4491	0	36
2020.06.30	98.64	100.49	97.86	99.07	3524	0	36
2020.07.01	99.33	102.53	98.01	101.74	3377	0	36
2020.07.02	102.15	102.50	100.48	101.00	3362	0	36
2020.07.06	100.80	100.92	95.37	95.87	3590	0	36
2020.07.07	96.32	98.79	95.49	98.17	3016	0	36
2020.07.08	98.61	100.33	97.77	98.22	3091	0	36
2020.07.09	97.99	98.93	96.52	96.72	2546	0	36
2020.07.10	96.86	97.55	94.92	95.12	2506	0	36
2020.07.13	95.33	97.13	94.89	96.86	2730	0	36
2020.07.14	96.87	96.98	95.16	96.02	2187	0	36
2020.07.15	96.43	96.50	94.69	95.95	2176	0	36
2020.07.16	95.52	97.12	95.15	96.66	2155	0	36
2020.07.17	96.79	100.79	96.79	99.83	2535	0	36
2020.07.20	100.04	101.21	97.51	97.54	3450	0	36
2020.07.21	97.67	100.29	97.67	100.20	2943	0	36
2020.07.22	100.11	107.08	99.77	106.17	3657	0	36
2020.07.23	106.48	107.64	104.58	105.55	4542	0	36
2020.07.24	105.29	107.47	104.80	106.71	4014	0	36
2020.07.27	106.33	109.15	105.93	108.83	3446	0	36
2020.07.28	108.75	109.79	106.83	108.46	3491	0	36
2020.07.29	108.41	111.06	108.41	111.01	3172	0	36
2020.07.30	111.12	115.87	110.73	114.05	4646	0	36
2020.07.31	114.93	117.68	113.82	117.03	4039	0	36
2020.08.03	116.50	117.91	114.21	115.07	4216	0	36
2020.08.04	115.30	119.25	115.06	118.07	3955	0	36
2020.08.05	118.76	124.40	118.24	119.40	5437	0	36
2020.08.06	119.30	121.29	114.45	115.25	4463	0	36
2020.08.07	115.43	116.47	112.03	113.10	4528	0	36
2020.08.10	113.41	115.45	110.33	110.50	4259	0	36
2020.08.11	110.68	111.24	108.46	109.51	4731	0	36
2020.08.12	109.91	112.26	109.11	110.21	3349	0	36
2020.08.13	110.98	115.01	109.68	113.65	3894	0	36
2020.08.14	114.76	117.02	112.42	113.15	4030	0	36
2020.08.17	113.08	113.79	110.85	113.33	3918	0	36
2020.08.18	113.88	117.62	113.88	116.75	4306	0	36
2020.08.19	116.91	119.90	114.06	115.33	4325	0	36
2020.08.20	115.17	117.00	114.28	115.64	3488	0	36
2020.08.21	115.57	116.64	112.54	115.87	3622	0	36
2020.08.24	115.97	119.01	115.61	116.24	3661	0	36
2020.08.25	116.50	121.13	115.70	120.50	3750	0	36
2020.08.26	120.71	123.51	117.64	118.07	4918	0	36
2020.08.27	118.02	119.26	115.40	118.76	4404	0	36
2020.08.28	119.31	122.92	118.02	122.68	4406	0	36
2020.08.31	123.59	126.49	121.67	126.46	3744	0	36
2020.09.01	126.87	128.95	125.74	126.93	5374	0	36
2020.09.02	126.49	128.76	125.04	126.79	4522	0	36
2020.09.03	126.81	128.43	126.09	128.09	4359	0	36
2020.09.04	128.28	131.69	128.28	131.00	4942	0	36
2020.09.08	130.02	130.87	123.86	128.07	5807	0	36
2020.09.09	127.78	128.57	124.21	124.60	4694	0	36
2020.09.10	124.45	129.94	124.35	126.70	4954	0	36
2020.09.11	127.16	129.10	126.02	128.03	4260	0	36
2020.09.14	128.52	128.69	118.60	118.85	5063	0	36
2020.09.15	119.30	119.88	112.54	118.63	6153	0	36
2020.09.16	118.94	121.02	115.78	116.78	4713	0	36
2020.09.17	116.55	116.55	113.31	115.20	4461	0	36
2020.09.18	115.26	116.44	110.61	111.32	4015	0	36
2020.09.21	110.19	110.82	108.27	110.48	4955	0	36
2020.09.22	110.15	112.11	107.88	107.96	4059	0	36
2020.09.23	107.90	110.04	106.58	108.33	4243	0	36
2020.09.24	108.49	109.55	107.81	108.94	3738	0	36
2020.09.25	109.23	111.74	108.43	111.71	4237	0	36
2020.09.28	111.86	112.30	106.40	106.62	3642	0	36
2020.09.29	106.96	108.02	106.05	107.26	3581	0	36
2020.09.30	107.84	110.38	107.09	108.57	3946	0	36
2020.10.01	108.80	109.24	104.23	104.32	3876	0	36
