<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.16	0.95412	0.95853	0.95331	0.95699	64037	0	20
2020.11.17	0.95653	0.95911	0.95463	0.95650	61138	0	20
2020.11.18	0.95583	0.95772	0.95373	0.95616	68512	0	20
2020.11.19	0.95499	0.95575	0.94985	0.95218	65589	0	20
2020.11.20	0.95163	0.95745	0.95020	0.95601	62570	0	20
2020.11.23	0.95520	0.95747	0.95214	0.95334	57935	0	20
2020.11.24	0.95296	0.95952	0.95260	0.95661	65975	0	20
2020.11.25	0.95629	0.95809	0.95394	0.95792	70141	0	20
2020.11.26	0.95667	0.95975	0.95621	0.95744	45517	0	20
2020.11.27	0.95735	0.96037	0.95720	0.95903	53848	0	20
2020.11.30	0.95960	0.96168	0.95240	0.95527	70245	0	20
2020.12.01	0.95441	0.95616	0.95170	0.95344	69973	0	20
2020.12.02	0.95300	0.95829	0.95145	0.95793	72843	0	20
2020.12.03	0.95763	0.96049	0.95613	0.95715	61695	0	20
2020.12.04	0.95614	0.95752	0.94895	0.94932	66222	0	20
2020.12.07	0.94970	0.95388	0.94562	0.94953	60594	0	20
2020.12.08	0.94920	0.95106	0.94722	0.94961	63945	0	20
2020.12.09	0.94904	0.95652	0.94904	0.95385	63301	0	20
2020.12.10	0.95360	0.96073	0.95181	0.95996	71727	0	20
2020.12.11	0.95935	0.96347	0.95838	0.96152	63928	0	20
2020.12.14	0.96308	0.96515	0.96030	0.96153	57768	0	20
2020.12.15	0.96116	0.96232	0.95860	0.95956	61666	0	20
2020.12.16	0.95951	0.96569	0.95863	0.96518	65122	0	20
2020.12.17	0.96511	0.97119	0.96436	0.97015	55841	0	20
2020.12.18	0.96994	0.97505	0.96702	0.97436	55273	0	20
2020.12.21	0.97115	0.97564	0.96584	0.97536	87217	0	20
2020.12.22	0.97410	0.97499	0.97006	0.97087	68746	0	20
2020.12.23	0.97043	0.97579	0.97023	0.97320	66508	0	20
2020.12.24	0.97236	0.97657	0.97213	0.97524	54802	0	20
2020.12.28	0.97701	0.97842	0.97318	0.97362	32082	0	20
