<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	0.64600	0.64870	0.64565	0.64743	42192	0	36
2020.10.28	0.64721	0.65045	0.64073	0.64169	54227	0	36
2020.10.29	0.64127	0.64444	0.64004	0.64364	60495	0	36
2020.10.30	0.64339	0.64685	0.64147	0.64426	70496	0	36
2020.11.02	0.64324	0.64866	0.64113	0.64850	57695	0	36
2020.11.03	0.64772	0.65429	0.64541	0.65325	50340	0	36
2020.11.04	0.65331	0.65659	0.64652	0.65448	109897	0	36
2020.11.05	0.65311	0.65939	0.65184	0.65827	84819	0	36
2020.11.06	0.65846	0.65847	0.65221	0.65348	79561	0	36
2020.11.09	0.65388	0.66633	0.65341	0.66496	98574	0	36
2020.11.10	0.66403	0.66799	0.66290	0.66652	91030	0	36
2020.11.11	0.66596	0.66998	0.66476	0.66726	69721	0	36
2020.11.12	0.66677	0.66794	0.66099	0.66176	62105	0	36
2020.11.13	0.66122	0.66407	0.66033	0.66324	52714	0	36
2020.11.16	0.66270	0.66813	0.66270	0.66780	56499	0	36
2020.11.17	0.66755	0.66827	0.66346	0.66518	54209	0	36
2020.11.18	0.66437	0.66694	0.66274	0.66548	58547	0	36
2020.11.19	0.66442	0.66571	0.66179	0.66311	60642	0	36
2020.11.20	0.66292	0.66676	0.66165	0.66510	52984	0	36
2020.11.23	0.66511	0.66757	0.66396	0.66460	55852	0	36
2020.11.24	0.66455	0.67134	0.66336	0.67049	58004	0	36
2020.11.25	0.67044	0.67131	0.66669	0.66888	59716	0	36
2020.11.26	0.66804	0.66937	0.66633	0.66659	40181	0	36
2020.11.27	0.66623	0.66970	0.66620	0.66749	48872	0	36
2020.11.30	0.66754	0.66940	0.66480	0.66724	63124	0	36
2020.12.01	0.66544	0.66854	0.66186	0.66323	57501	0	36
2020.12.02	0.66236	0.66527	0.65892	0.66329	62527	0	36
2020.12.03	0.66301	0.66422	0.66086	0.66262	51754	0	36
2020.12.04	0.66249	0.66292	0.65949	0.66209	56625	0	36
2020.12.07	0.66180	0.66273	0.65809	0.66081	56892	0	36
2020.12.08	0.66026	0.66174	0.65793	0.65842	53455	0	36
2020.12.09	0.65831	0.66508	0.65718	0.66176	53512	0	36
2020.12.10	0.66140	0.66873	0.65981	0.66735	61978	0	36
2020.12.11	0.66720	0.67152	0.66625	0.66991	54978	0	36
2020.12.14	0.67094	0.67207	0.66772	0.66796	46016	0	36
2020.12.15	0.66727	0.67047	0.66526	0.66907	46968	0	36
2020.12.16	0.66892	0.67102	0.66787	0.67039	53490	0	36
2020.12.17	0.67040	0.67505	0.66986	0.67410	47777	0	36
2020.12.18	0.67392	0.67439	0.67076	0.67301	44336	0	36
2020.12.21	0.67111	0.67266	0.66514	0.67169	70847	0	36
2020.12.22	0.67139	0.67193	0.66751	0.66879	55987	0	36
2020.12.23	0.66859	0.67461	0.66808	0.67290	49311	0	36
2020.12.24	0.67185	0.67780	0.67155	0.67653	33981	0	36
2020.12.28	0.67541	0.67787	0.67232	0.67354	41268	0	36
2020.12.29	0.67336	0.67459	0.67167	0.67220	41567	0	36
2020.12.30	0.67184	0.67880	0.67144	0.67712	47641	0	36
2020.12.31	0.67662	0.68259	0.67612	0.68236	44756	0	36
2021.01.04	0.67937	0.68241	0.67332	0.67512	69337	0	36
2021.01.05	0.67480	0.68265	0.67452	0.68139	66585	0	36
2021.01.06	0.68033	0.68691	0.67995	0.68545	91453	0	36
2021.01.07	0.68486	0.68797	0.68306	0.68738	71410	0	36
