<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	74.638	74.776	74.233	74.414	51936	0	20
2020.10.28	74.410	74.621	73.381	73.516	72841	0	20
2020.10.29	73.494	73.844	73.126	73.546	72733	0	20
2020.10.30	73.522	73.911	73.134	73.561	85876	0	20
2020.11.02	73.407	73.949	73.173	73.914	69507	0	20
2020.11.03	73.844	75.004	73.599	74.855	70323	0	20
2020.11.04	74.778	75.461	74.066	75.010	141936	0	20
2020.11.05	74.993	75.451	74.555	75.391	101520	0	20
2020.11.06	75.328	75.362	74.890	75.039	94310	0	20
2020.11.09	75.178	77.027	75.060	76.708	118365	0	20
2020.11.10	76.611	76.814	76.235	76.679	103135	0	20
2020.11.11	76.663	77.090	76.498	76.735	75800	0	20
2020.11.12	76.697	76.814	75.908	76.027	71424	0	20
2020.11.13	76.007	76.291	75.747	76.040	60384	0	20
2020.11.16	76.075	76.761	75.978	76.543	64510	0	20
2020.11.17	76.520	76.552	75.888	76.041	54965	0	20
2020.11.18	76.032	76.149	75.685	75.834	64082	0	20
2020.11.19	75.796	75.864	75.395	75.558	63533	0	20
2020.11.20	75.537	75.967	75.396	75.830	55087	0	20
2020.11.23	75.770	76.207	75.745	76.164	56081	0	20
2020.11.24	76.119	76.925	76.078	76.863	62051	0	20
2020.11.25	76.824	77.034	76.446	76.933	60464	0	20
2020.11.26	76.842	76.923	76.654	76.674	42970	0	20
2020.11.27	76.677	76.943	76.487	76.846	48296	0	20
2020.11.30	76.818	77.103	76.590	76.593	67234	0	20
2020.12.01	76.523	76.966	76.521	76.894	65264	0	20
2020.12.02	76.822	77.468	76.822	77.416	64188	0	20
2020.12.03	77.395	77.553	77.153	77.263	61244	0	20
2020.12.04	77.200	77.493	77.032	77.361	65123	0	20
2020.12.07	77.349	77.493	76.892	77.180	61697	0	20
2020.12.08	77.164	77.361	77.054	77.160	65444	0	20
2020.12.09	77.152	77.934	77.100	77.561	60175	0	20
2020.12.10	77.517	78.572	77.364	78.516	72787	0	20
2020.12.11	78.486	78.770	78.181	78.340	62395	0	20
2020.12.14	78.483	78.695	78.270	78.354	65064	0	20
2020.12.15	78.351	78.534	78.137	78.317	54026	0	20
2020.12.16	78.313	78.421	78.115	78.354	60404	0	20
2020.12.17	78.347	78.811	78.276	78.607	55871	0	20
2020.12.18	78.603	78.816	78.428	78.737	59300	0	20
2020.12.21	78.539	78.802	77.482	78.340	90706	0	20
2020.12.22	78.306	78.408	77.838	77.927	79337	0	20
2020.12.23	77.894	78.574	77.891	78.450	62949	0	20
2020.12.24	78.337	78.835	78.307	78.708	40332	0	20
2020.12.28	78.680	78.873	78.468	78.667	51117	0	20
2020.12.29	78.614	78.947	78.583	78.757	61372	0	20
2020.12.30	78.770	79.384	78.686	79.315	57794	0	20
2020.12.31	79.241	79.781	79.146	79.558	50331	0	20
2021.01.04	79.424	79.672	78.841	79.059	82251	0	20
2021.01.05	78.962	79.828	78.944	79.703	78608	0	20
2021.01.06	79.647	80.502	79.519	80.430	109990	0	20
2021.01.07	80.366	80.674	80.153	80.622	86379	0	20
2021.01.08	80.561	80.916	80.375	80.716	98195	0	20
2021.01.11	80.527	80.706	79.985	80.209	80946	0	20
2021.01.12	80.143	80.678	80.124	80.643	77622	0	20
2021.01.13	80.637	80.717	80.254	80.322	69689	0	20
2021.01.14	80.274	80.843	80.248	80.729	75747	0	20
2021.01.15	80.650	80.780	79.710	79.995	72333	0	20
2021.01.18	79.976	80.059	79.502	79.590	65774	0	20
2021.01.19	79.588	80.308	79.513	79.961	66886	0	20
2021.01.20	79.914	80.334	79.852	80.190	67251	0	20
2021.01.21	80.164	80.506	80.116	80.346	68001	0	20
2021.01.22	80.308	80.435	79.893	80.029	73448	0	20
2021.01.25	80.002	80.329	79.752	80.015	75204	0	20
2021.01.26	80.008	80.335	79.602	80.269	67375	0	20
2021.01.27	80.276	80.431	79.621	79.768	93866	0	20
2021.01.28	79.719	80.226	79.190	80.028	104317	0	20
2021.01.29	79.975	80.638	79.796	80.005	115746	0	20
2021.02.01	79.877	80.199	79.679	79.962	87083	0	20
2021.02.02	79.905	80.358	79.529	79.854	71721	0	20
2021.02.03	79.788	80.114	79.770	80.021	62966	0	20
2021.02.04	79.984	80.320	79.885	80.215	64556	0	20
2021.02.05	80.137	80.906	80.031	80.885	71313	0	20
2021.02.08	80.726	81.181	80.711	81.061	63049	0	20
2021.02.09	80.992	81.150	80.636	80.901	60951	0	20
2021.02.10	80.898	81.090	80.744	80.751	62564	0	20
2021.02.11	80.745	81.361	80.663	81.199	44081	0	20
2021.02.12	81.184	81.474	81.076	81.411	45575	0	20
2021.02.15	81.411	82.041	81.395	81.951	36328	0	20
2021.02.16	81.955	82.405	81.859	82.200	58150	0	20
2021.02.17	82.216	82.283	81.750	82.040	61522	0	20
2021.02.18	82.036	82.290	81.815	82.083	58151	0	20
2021.02.19	82.088	83.147	81.980	82.945	62160	0	20
2021.02.22	82.932	83.422	82.932	83.167	65143	0	20
2021.02.23	83.111	83.356	82.906	83.262	63279	0	20
2021.02.24	83.197	84.409	83.100	84.315	74198	0	20
2021.02.25	84.290	84.941	83.501	83.625	89580	0	20
2021.02.26	83.587	83.818	81.983	82.078	101319	0	20
2021.03.01	82.153	83.122	82.091	82.974	64916	0	20
2021.03.02	82.863	83.625	82.618	83.411	69553	0	20
2021.03.03	83.370	83.746	83.115	83.451	57692	0	20
