<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	1.06622	1.06683	1.06058	1.06167	57748	0	30
2020.10.28	1.06157	1.06579	1.06015	1.06078	73913	0	30
2020.10.29	1.06051	1.06309	1.05957	1.06042	76376	0	30
2020.10.30	1.05982	1.06331	1.05939	1.06243	90949	0	30
2020.11.02	1.06221	1.06407	1.06005	1.06343	82967	0	30
2020.11.03	1.06285	1.06980	1.06032	1.06897	67950	0	30
2020.11.04	1.06829	1.07368	1.06497	1.07174	123125	0	30
2020.11.05	1.07163	1.07575	1.06869	1.07524	93739	0	30
2020.11.06	1.07560	1.07560	1.06941	1.07192	82166	0	30
2020.11.09	1.07127	1.07287	1.06616	1.06746	101918	0	30
2020.11.10	1.06704	1.06749	1.06400	1.06632	89115	0	30
2020.11.11	1.06556	1.06840	1.05691	1.05743	70163	0	30
2020.11.12	1.05713	1.05866	1.05455	1.05714	68145	0	30
2020.11.13	1.05604	1.06294	1.05561	1.06148	60347	0	30
2020.11.16	1.06077	1.06243	1.05860	1.06002	68564	0	30
2020.11.17	1.05948	1.06263	1.05879	1.05907	61225	0	30
2020.11.18	1.05849	1.05911	1.05490	1.05518	65787	0	30
2020.11.19	1.05477	1.05667	1.05222	1.05255	68760	0	30
2020.11.20	1.05208	1.05395	1.05099	1.05365	66976	0	30
2020.11.23	1.05348	1.05449	1.05131	1.05219	60353	0	30
2020.11.24	1.05216	1.05527	1.04714	1.05452	66990	0	30
2020.11.25	1.05430	1.05609	1.04881	1.05097	58211	0	30
2020.11.26	1.04960	1.05233	1.04938	1.05004	38218	0	30
2020.11.27	1.04938	1.05194	1.04872	1.05053	52655	0	30
2020.11.30	1.04988	1.05201	1.04591	1.04697	68460	0	30
2020.12.01	1.04622	1.04829	1.04165	1.04313	62499	0	30
2020.12.02	1.04239	1.04965	1.04224	1.04907	65340	0	30
2020.12.03	1.04826	1.05212	1.04740	1.05126	57289	0	30
2020.12.04	1.05080	1.05674	1.05080	1.05455	63155	0	30
2020.12.07	1.05465	1.05575	1.05150	1.05336	61535	0	30
2020.12.08	1.05293	1.05611	1.05114	1.05154	57807	0	30
2020.12.09	1.05145	1.05937	1.05124	1.05921	53830	0	30
2020.12.10	1.05904	1.06405	1.05695	1.06121	72554	0	30
2020.12.11	1.06120	1.06548	1.06043	1.06245	60280	0	30
2020.12.14	1.06297	1.06543	1.06212	1.06363	55542	0	30
2020.12.15	1.06329	1.06675	1.06130	1.06547	55660	0	30
2020.12.16	1.06541	1.06895	1.06261	1.06482	56945	0	30
2020.12.17	1.06440	1.06687	1.06243	1.06599	49556	0	30
2020.12.18	1.06579	1.06921	1.06391	1.06751	52320	0	30
2020.12.21	1.06615	1.07006	1.06503	1.06812	88876	0	30
2020.12.22	1.06585	1.07129	1.06577	1.06802	78909	0	30
2020.12.23	1.06762	1.07105	1.06677	1.06772	63416	0	30
2020.12.24	1.06652	1.07120	1.06591	1.06695	42905	0	30
