<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	0.71181	0.71466	0.71139	0.71229	61743	0	8
2020.10.28	0.71235	0.71568	0.70380	0.70488	82937	0	8
2020.10.29	0.70455	0.70756	0.70020	0.70306	82161	0	8
2020.10.30	0.70297	0.70719	0.70111	0.70278	96850	0	8
2020.11.02	0.70225	0.70574	0.69909	0.70569	83388	0	8
2020.11.03	0.70534	0.71744	0.70276	0.71638	67780	0	8
2020.11.04	0.71574	0.72219	0.70481	0.71770	150752	0	8
2020.11.05	0.71780	0.72891	0.71446	0.72828	109072	0	8
2020.11.06	0.72825	0.72870	0.72385	0.72609	101119	0	8
2020.11.09	0.72753	0.73395	0.72664	0.72795	119983	0	8
2020.11.10	0.72773	0.72939	0.72522	0.72862	112022	0	8
2020.11.11	0.72802	0.73177	0.72597	0.72794	75742	0	8
2020.11.12	0.72769	0.72934	0.72231	0.72328	72724	0	8
2020.11.13	0.72282	0.72730	0.72212	0.72686	57384	0	8
2020.11.16	0.72651	0.73263	0.72637	0.73205	68367	0	8
2020.11.17	0.73166	0.73393	0.72886	0.72994	58980	0	8
2020.11.18	0.72969	0.73306	0.72716	0.73068	62326	0	8
2020.11.19	0.73030	0.73053	0.72542	0.72833	67781	0	8
2020.11.20	0.72825	0.73236	0.72659	0.73025	60827	0	8
2020.11.23	0.73007	0.73371	0.72650	0.72857	55481	0	8
2020.11.24	0.72854	0.73672	0.72830	0.73601	58312	0	8
2020.11.25	0.73590	0.73732	0.73247	0.73655	58916	0	8
2020.11.26	0.73574	0.73742	0.73500	0.73570	36880	0	8
2020.11.27	0.73552	0.73987	0.73524	0.73828	48054	0	8
2020.11.30	0.73826	0.74070	0.73388	0.73433	64005	0	8
2020.12.01	0.73391	0.73731	0.73391	0.73722	58287	0	8
2020.12.02	0.73670	0.74196	0.73510	0.74153	63535	0	8
2020.12.03	0.74137	0.74492	0.73977	0.74412	56364	0	8
2020.12.04	0.74353	0.74434	0.74098	0.74259	61861	0	8
2020.12.07	0.74319	0.74533	0.73720	0.74187	62428	0	8
2020.12.08	0.74167	0.74348	0.73990	0.74082	58293	0	8
2020.12.09	0.74025	0.74847	0.74025	0.74417	60568	0	8
2020.12.10	0.74409	0.75398	0.74252	0.75343	72384	0	8
2020.12.11	0.75322	0.75715	0.75199	0.75327	63682	0	8
2020.12.14	0.75513	0.75777	0.75240	0.75326	56797	0	8
2020.12.15	0.75302	0.75713	0.75069	0.75569	55372	0	8
2020.12.16	0.75544	0.75785	0.75384	0.75772	55950	0	8
2020.12.17	0.75736	0.76394	0.75666	0.76260	48229	0	8
2020.12.18	0.76239	0.76286	0.75825	0.76222	55518	0	8
2020.12.21	0.75879	0.76063	0.74617	0.75861	94803	0	8
2020.12.22	0.75824	0.75907	0.75167	0.75220	74264	0	8
2020.12.23	0.75206	0.75910	0.75170	0.75777	65960	0	8
2020.12.24	0.75670	0.76064	0.75615	0.75933	40185	0	8
2020.12.28	0.76009	0.76223	0.75569	0.75810	51829	0	8
2020.12.29	0.75714	0.76244	0.75714	0.76065	52534	0	8
2020.12.30	0.76078	0.76860	0.76005	0.76849	52259	0	8
2020.12.31	0.76849	0.77419	0.76735	0.77052	49084	0	8
2021.01.04	0.76966	0.77404	0.76422	0.76661	85619	0	8
2021.01.05	0.76584	0.77772	0.76584	0.77604	87288	0	8
2021.01.06	0.77565	0.78198	0.77328	0.78062	121493	0	8
2021.01.07	0.78019	0.78170	0.77254	0.77660	91725	0	8
2021.01.08	0.77629	0.77984	0.77281	0.77657	105502	0	8
2021.01.11	0.77541	0.77642	0.76658	0.76951	89480	0	8
2021.01.12	0.76919	0.77772	0.76864	0.77739	80604	0	8
2021.01.13	0.77640	0.77811	0.77212	0.77333	74154	0	8
2021.01.14	0.77274	0.78052	0.77274	0.77789	74876	0	8
2021.01.15	0.77778	0.77884	0.76812	0.77025	84889	0	8
2021.01.18	0.77065	0.77102	0.76586	0.76761	69372	0	8
2021.01.19	0.76785	0.77248	0.76655	0.76963	72392	0	8
2021.01.20	0.76935	0.77605	0.76895	0.77460	72781	0	8
2021.01.21	0.77419	0.77817	0.77325	0.77645	72180	0	8
2021.01.22	0.77581	0.77694	0.77016	0.77121	73170	0	8
2021.01.25	0.77105	0.77471	0.76826	0.77127	83189	0	8
2021.01.26	0.77122	0.77539	0.76686	0.77468	66260	0	8
2021.01.27	0.77452	0.77634	0.76435	0.76630	101806	0	8
2021.01.28	0.76599	0.76976	0.75916	0.76768	114811	0	8
2021.01.29	0.76748	0.77038	0.76312	0.76415	128105	0	8
2021.02.01	0.76250	0.76623	0.76056	0.76201	103698	0	8
2021.02.02	0.76178	0.76616	0.75634	0.76078	86100	0	8
2021.02.03	0.76063	0.76261	0.76013	0.76200	74579	0	8
2021.02.04	0.76166	0.76474	0.75878	0.75997	78482	0	8
2021.02.05	0.75969	0.76785	0.75827	0.76770	72812	0	8
2021.02.08	0.76667	0.77146	0.76510	0.77041	50225	0	8
2021.02.09	0.76960	0.77399	0.76923	0.77385	57440	0	8
2021.02.10	0.77315	0.77557	0.77171	0.77214	67243	0	8
2021.02.11	0.77164	0.77713	0.77125	0.77530	43852	0	8
2021.02.12	0.77552	0.77641	0.77180	0.77596	39576	0	8
2021.02.15	0.77611	0.77884	0.77572	0.77789	33893	0	8
2021.02.16	0.77788	0.78046	0.77443	0.77520	56556	0	8
2021.02.17	0.77564	0.77715	0.77239	0.77506	59203	0	8
2021.02.18	0.77495	0.77893	0.77308	0.77690	57574	0	8
2021.02.19	0.77675	0.78768	0.77572	0.78674	61958	0	8
2021.02.22	0.78696	0.79289	0.78551	0.79159	61587	0	8
2021.02.23	0.79115	0.79344	0.78800	0.79118	67237	0	8
2021.02.24	0.79091	0.79728	0.78949	0.79668	74602	0	8
2021.02.25	0.79643	0.80068	0.78586	0.78716	94914	0	8
2021.02.26	0.78734	0.78830	0.76919	0.77043	116187	0	8
2021.03.01	0.77113	0.77866	0.77071	0.77723	76156	0	8
2021.03.02	0.77702	0.78371	0.77354	0.78187	73403	0	8
2021.03.03	0.78154	0.78377	0.77703	0.78016	58812	0	8
