<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	197.90	227.50	197.90	212.90	13731	0	230
2020.04.03	211.90	223.20	211.60	216.50	14992	0	230
2020.04.04	216.30	223.30	213.90	218.50	9645	0	230
2020.04.05	219.00	221.40	207.90	212.40	8405	0	230
2020.04.06	211.60	237.60	210.90	231.10	13205	0	230
2020.04.07	230.40	243.00	224.90	227.20	14113	0	230
2020.04.08	226.20	257.00	225.20	243.90	16839	0	230
2020.04.09	244.20	251.70	231.40	234.30	11287	0	230
2020.04.10	234.30	237.10	205.60	212.70	11946	0	230
2020.04.11	213.40	219.10	202.30	205.60	8566	0	230
2020.04.12	206.00	223.90	204.80	220.10	13202	0	230
2020.04.13	219.40	220.50	197.10	204.50	11067	0	230
2020.04.14	205.50	208.20	200.90	201.80	9790	0	230
2020.04.15	201.80	205.10	199.70	203.00	7527	0	230
2020.04.16	203.40	217.40	188.60	212.40	10142	0	230
2020.04.17	211.70	219.90	209.90	213.20	10218	0	230
2020.04.18	213.30	225.60	211.90	223.60	8236	0	220
2020.04.19	224.10	226.80	210.20	214.30	7889	0	230
2020.04.20	214.40	218.50	198.40	203.00	8364	0	230
2020.04.21	203.50	205.30	198.40	202.40	7273	0	230
2020.04.22	202.70	217.30	200.10	214.50	7418	0	230
2020.04.23	214.70	226.50	207.40	222.00	8488	0	230
2020.04.24	222.50	224.40	216.00	219.60	7499	0	230
2020.04.25	219.70	225.70	216.60	220.40	7290	0	220
2020.04.26	219.80	229.50	218.50	225.70	5791	0	230
2020.04.27	226.20	228.30	215.70	219.30	9039	0	230
2020.04.28	219.30	224.90	218.50	221.40	5536	0	230
2020.04.29	221.10	240.60	220.40	239.30	6594	0	230
2020.04.30	238.90	252.50	223.40	231.60	11003	0	230
2020.05.01	231.50	236.70	227.10	230.20	7658	0	230
2020.05.02	230.10	234.90	228.90	234.80	5328	0	230
2020.05.03	234.80	242.50	223.90	226.40	6671	0	230
2020.05.04	225.90	230.10	215.20	225.20	6989	0	230
2020.05.05	225.20	231.80	221.50	226.20	5628	0	230
2020.05.06	226.70	233.70	224.00	227.20	5729	0	230
2020.05.07	227.00	235.80	218.90	231.20	7769	0	230
2020.05.08	231.60	243.60	227.70	242.80	8326	0	230
2020.05.09	242.70	254.80	237.60	245.40	11484	0	220
2020.05.10	245.10	245.60	205.90	215.80	10970	0	230
2020.05.11	216.50	219.60	201.40	213.00	10393	0	230
2020.05.12	213.30	220.60	210.40	214.90	7150	0	230
