<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	40.41	41.41	40.34	40.64	14598	0	4
2020.10.28	40.54	40.65	38.77	39.06	17818	0	4
2020.10.29	39.20	39.48	36.82	37.70	23824	0	4
2020.10.30	37.76	38.23	36.97	37.46	22524	0	4
2020.11.02	36.47	38.94	35.34	38.85	24586	0	4
2020.11.03	38.80	40.02	38.26	39.71	19959	0	4
2020.11.04	39.71	40.93	39.02	40.79	25900	0	4
2020.11.05	40.78	41.13	39.94	40.26	17669	0	4
2020.11.06	40.26	40.42	38.98	39.33	17566	0	4
2020.11.09	39.40	43.13	39.13	41.65	22997	0	4
2020.11.10	41.70	43.71	41.38	43.67	20270	0	4
2020.11.11	43.67	44.97	43.28	43.45	20618	0	4
2020.11.12	43.45	44.17	43.00	43.01	18405	0	4
2020.11.13	43.03	43.09	42.35	42.41	14916	0	4
2020.11.16	42.61	44.42	42.46	43.69	15677	0	4
2020.11.17	43.69	44.02	42.86	43.61	14744	0	4
2020.11.18	43.58	44.66	43.26	43.95	13907	0	4
2020.11.19	43.94	44.37	43.58	43.98	12911	0	4
2020.11.20	43.97	45.01	43.87	44.90	10630	0	3
2020.11.23	44.97	45.97	44.77	45.65	13928	0	3
2020.11.24	45.66	47.89	45.60	47.68	15358	0	3
2020.11.25	47.70	48.93	47.60	48.71	17862	0	4
2020.11.26	48.72	48.98	47.43	47.76	9248	0	3
2020.11.27	47.70	48.36	47.27	48.15	10310	0	4
2020.11.30	47.79	48.18	46.97	47.51	17293	0	3
2020.12.01	47.48	48.19	46.80	47.08	14623	0	4
2020.12.02	47.11	48.67	46.73	47.84	15000	0	3
2020.12.03	47.84	48.84	47.58	48.63	15579	0	3
2020.12.04	48.65	49.79	48.59	48.95	14709	0	4
2020.12.07	49.10	49.35	48.32	48.55	12835	0	3
2020.12.08	48.55	48.92	48.02	48.70	11528	0	3
2020.12.09	48.71	49.45	48.33	48.92	14432	0	4
2020.12.10	49.01	50.98	48.79	50.26	14564	0	4
2020.12.11	50.28	50.67	49.69	49.89	14577	0	4
2020.12.14	49.95	50.73	49.13	50.25	14895	0	3
2020.12.15	50.24	50.82	49.72	50.66	13638	0	4
2020.12.16	50.66	51.15	50.30	51.02	12690	0	3
2020.12.17	51.00	51.83	51.00	51.42	12320	0	4
2020.12.18	51.43	52.42	51.09	52.25	12446	0	3
2020.12.21	52.18	52.24	49.16	50.76	23653	0	3
2020.12.22	50.79	50.82	49.51	49.79	17558	0	4
2020.12.23	49.78	51.55	49.17	51.11	15778	0	4
2020.12.24	51.11	51.73	50.59	51.33	11405	0	3
2020.12.28	51.24	51.99	50.50	50.87	13408	0	4
2020.12.29	50.88	51.63	50.84	51.21	11718	0	4
2020.12.30	51.20	51.86	50.88	51.42	11090	0	3
2020.12.31	51.41	51.78	50.85	51.67	8768	0	3
2021.01.04	51.37	53.27	50.52	50.64	26711	0	3
2021.01.05	50.68	53.84	50.54	53.48	22363	0	3
2021.01.06	53.47	54.68	53.06	54.12	25237	0	4
2021.01.07	54.10	54.85	53.90	54.39	16893	0	4
2021.01.08	54.47	56.24	54.32	56.19	17497	0	4
2021.01.11	56.26	56.26	54.95	55.56	17691	0	4
2021.01.12	55.57	56.72	55.47	56.62	16314	0	3
2021.01.13	56.67	57.38	55.74	55.96	15840	0	3
2021.01.14	55.96	56.48	55.21	56.39	15200	0	4
2021.01.15	56.42	56.48	54.64	54.80	14152	0	3
2021.01.18	54.97	55.17	54.46	54.66	10279	0	4
2021.01.19	54.68	56.05	54.67	55.82	13715	0	3
2021.01.20	55.81	56.59	55.62	55.68	14381	0	3
2021.01.21	55.66	56.21	55.46	55.96	13978	0	4
2021.01.22	55.99	56.18	54.46	55.05	18168	0	4
2021.01.25	55.20	55.98	55.08	55.95	17973	0	4
2021.01.26	55.92	56.32	55.37	55.99	13543	0	3
2021.01.27	55.98	56.47	55.18	55.49	15839	0	3
2021.01.28	55.53	56.44	55.13	55.13	16183	0	3
2021.01.29	55.15	56.25	55.12	55.22	17920	0	3
2021.02.01	55.10	56.72	54.79	56.57	15137	0	3
2021.02.02	56.49	58.24	56.38	57.98	16151	0	3
2021.02.03	57.97	59.11	57.69	58.81	13028	0	3
2021.02.04	58.85	59.22	58.24	59.19	13110	0	3
2021.02.05	59.17	59.96	59.16	59.72	12423	0	3
2021.02.08	59.64	60.83	59.64	60.83	11022	0	3
2021.02.09	60.81	61.41	60.20	61.36	12367	0	3
2021.02.10	61.34	61.83	61.01	61.22	11766	0	3
2021.02.11	61.21	61.62	60.84	60.93	9696	0	4
2021.02.12	61.02	62.95	60.47	62.77	12225	0	3
2021.02.15	63.30	63.86	63.06	63.38	10797	0	3
2021.02.16	63.37	63.78	62.78	63.49	14359	0	3
2021.02.17	63.50	65.02	62.81	64.97	17676	0	4
2021.02.18	64.95	65.58	63.29	63.70	20794	0	3
2021.02.19	63.62	63.99	62.17	62.76	21573	0	4
2021.02.22	62.94	65.86	62.94	65.83	21927	0	3
2021.02.23	65.80	66.81	64.50	65.09	26058	0	4
2021.02.24	65.02	67.33	64.80	67.32	20243	0	3
2021.02.25	67.30	67.71	66.52	66.97	22540	0	3
2021.02.26	66.95	66.98	65.09	65.26	25385	0	3
2021.03.01	65.69	66.69	63.91	63.94	19342	0	3
2021.03.02	63.99	64.87	63.08	63.14	24134	0	3
2021.03.03	63.13	65.41	63.07	65.20	19381	0	3
