<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	5787.20	6602.50	5786.70	6193.80	32564	0	4230
2020.04.03	6171.30	6501.60	6111.90	6188.30	36852	0	4230
2020.04.04	6168.40	6454.90	6158.90	6322.00	28422	0	4220
2020.04.05	6322.50	6381.90	6183.90	6244.20	25340	0	4230
2020.04.06	6240.90	6775.80	6214.20	6683.20	32124	0	4230
2020.04.07	6678.90	6891.80	6473.20	6514.10	30936	0	4230
2020.04.08	6505.00	6808.80	6485.50	6728.90	29803	0	4230
2020.04.09	6731.80	6788.80	6545.00	6673.80	26404	0	4230
2020.04.10	6674.80	6688.70	6149.30	6311.70	26117	0	4230
2020.04.11	6325.00	6344.80	6180.10	6198.80	23192	0	4230
2020.04.12	6198.70	6577.80	6190.90	6491.70	20028	0	4230
2020.04.13	6483.90	6520.60	6029.10	6243.30	28523	0	4230
2020.04.14	6269.80	6355.80	6187.60	6247.30	25118	0	4230
2020.04.15	6249.00	6303.30	6128.90	6172.30	22425	0	4230
2020.04.16	6178.60	6518.80	5928.90	6478.90	26305	0	4230
2020.04.17	6482.60	6608.50	6429.80	6479.90	25827	0	4230
2020.04.18	6480.30	6673.80	6445.40	6643.10	21059	0	4220
2020.04.19	6641.40	6698.80	6486.80	6563.40	20913	0	4230
2020.04.20	6568.10	6628.80	6219.20	6312.50	22981	0	4230
2020.04.21	6325.80	6395.40	6254.90	6328.90	19737	0	4230
2020.04.22	6335.70	6598.80	6278.90	6549.80	18233	0	4220
2020.04.23	6553.70	7115.50	6481.70	6953.90	20310	0	4230
2020.04.24	6952.30	7056.80	6836.20	6941.20	23427	0	4230
2020.04.25	6946.10	7088.30	6868.10	6971.40	19081	0	4220
2020.04.26	6966.10	7108.70	6938.90	7052.80	18469	0	4230
2020.04.27	7052.80	7188.60	7007.90	7116.60	20193	0	4230
2020.04.28	7112.90	7185.30	7078.90	7142.60	14752	0	4230
2020.04.29	7139.60	8241.10	7109.00	8189.50	19796	0	4230
2020.04.30	8203.90	8712.10	7683.90	8047.70	31909	0	4230
2020.05.01	8038.40	8263.40	7846.40	7949.90	28722	0	4230
2020.05.02	7951.20	8180.10	7946.10	8119.90	22904	0	4220
2020.05.03	8124.70	8348.80	7951.90	8061.20	26490	0	4230
2020.05.04	8041.00	8177.70	7789.90	8173.80	26539	0	4230
2020.05.05	8176.50	8362.30	8069.00	8262.60	25590	0	4230
2020.05.06	8280.60	8678.80	8210.90	8557.40	25689	0	4220
2020.05.07	8553.90	9174.40	8346.10	8999.80	26863	0	4230
2020.05.08	9033.90	9253.50	8964.50	9208.80	27162	0	4220
2020.05.09	9208.80	9218.80	8774.20	8897.50	24585	0	4230
2020.05.10	8848.80	8907.70	7479.00	8027.80	29318	0	4230
2020.05.11	8073.80	8477.50	7580.50	7976.60	28438	0	4230
2020.05.12	7992.00	8262.70	7835.00	8138.90	26811	0	4230
2020.05.13	8120.90	8618.80	8055.20	8598.00	25340	0	4220
2020.05.14	8603.20	9177.80	8555.40	8910.20	26172	0	4230
2020.05.15	8914.90	9088.80	8449.10	8508.70	29041	0	4230
2020.05.16	8513.00	8824.00	8486.30	8658.80	25768	0	4220
2020.05.17	8660.10	9076.80	8615.10	8963.30	25297	0	4230
2020.05.18	8961.10	9112.40	8748.90	8853.10	23468	0	4230
2020.05.19	8844.40	8988.80	8678.90	8856.90	23370	0	4220
2020.05.20	8857.80	8960.90	8524.30	8732.00	20942	0	4220
2020.05.21	8731.70	8731.70	8019.40	8277.20	22809	0	4230
2020.05.22	8256.00	8489.00	8160.90	8413.10	23434	0	4230
2020.05.23	8415.00	8517.30	8334.00	8453.80	22218	0	4220
2020.05.24	8457.40	8509.30	8109.00	8260.20	18258	0	4230
2020.05.25	8261.80	8323.20	7918.90	8165.70	20701	0	4230
2020.05.26	8174.40	8228.80	7928.10	8059.00	18295	0	4230
2020.05.27	8061.70	8385.60	8009.30	8310.00	18008	0	4230
