<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	6357.71	7240.15	6297.21	6738.97	94534	0	2806
2020.04.03	6703.90	7032.30	6589.82	6686.95	134186	0	2801
2020.04.04	6690.72	7001.57	6643.40	6827.95	75825	0	2827
2020.04.05	6758.40	6897.85	6655.26	6743.50	81513	0	2804
2020.04.06	6734.91	7310.88	6707.87	7220.47	123375	0	2800
2020.04.07	7211.89	7455.32	7056.63	7104.49	116693	0	2803
2020.04.08	7081.26	7415.91	7070.40	7304.94	100363	0	2802
2020.04.09	7310.83	7383.37	7085.56	7284.95	171954	0	2800
2020.04.10	7258.32	7311.40	6731.31	6904.48	211252	0	2803
2020.04.11	6849.25	6944.83	6752.39	6778.98	129740	0	2805
2020.04.12	6775.71	7187.88	6764.47	7105.98	167660	0	2803
2020.04.13	7078.52	7135.90	6546.71	6813.97	155994	0	2804
2020.04.14	6848.89	6974.80	6755.29	6858.48	199911	0	2813
2020.04.15	6823.56	6926.96	6668.77	6737.00	136189	0	2803
2020.04.16	6727.04	7136.99	6452.76	7025.31	196717	0	2805
2020.04.17	7004.96	7197.07	6974.64	7038.47	107202	0	2850
2020.04.18	7054.13	7254.90	6996.89	7216.00	60373	0	2848
2020.04.19	7216.62	7289.38	7043.80	7137.50	63866	0	2850
2020.04.20	7116.99	7213.25	6734.57	6847.99	95520	0	2802
2020.04.21	6840.65	6940.54	6750.75	6869.99	78272	0	2801
2020.04.22	6850.81	7153.87	6806.38	7106.94	84092	0	2807
2020.04.23	7108.96	7749.38	7010.83	7527.50	89404	0	2809
2020.04.24	7529.92	7603.90	7363.92	7514.48	95635	0	2801
2020.04.25	7453.03	7680.10	7418.30	7541.00	74820	0	2850
2020.04.26	7506.86	7701.32	7455.69	7633.50	91953	0	2850
2020.04.27	7645.39	7798.71	7574.41	7692.50	68702	0	2801
2020.04.28	7673.56	7780.95	7649.33	7723.99	61733	0	2801
2020.04.29	7718.75	8960.95	7693.01	8911.92	113036	0	2804
2020.04.30	8787.41	9456.78	8378.45	8798.85	171864	0	2808
2020.05.01	8748.40	9049.55	8561.30	8723.75	153179	0	3800
2020.05.02	8706.53	8999.15	8706.43	8914.15	105600	0	3464
2020.05.03	8913.25	9182.55	8702.01	8835.40	161565	0	3834
2020.05.04	8802.13	8946.90	8508.65	8914.05	123433	0	3800
2020.05.05	8917.15	9102.10	8728.25	8946.85	130646	0	3805
2020.05.06	8967.90	9382.35	8894.75	9234.38	138743	0	3805
2020.05.07	9215.01	9953.15	8994.25	9765.35	160094	0	3805
2020.05.08	9748.50	10053.90	9704.05	9974.38	124636	0	3805
2020.05.09	9900.84	9996.55	9508.00	9628.00	76594	0	4410
2020.05.10	9630.15	9657.25	7878.00	8669.15	178035	0	4404
2020.05.11	8671.00	9154.60	8121.00	8613.75	180691	0	4400
2020.05.12	8644.55	8959.25	8439.90	8809.50	151786	0	4404
2020.05.13	8807.65	9324.25	8711.75	9283.05	126988	0	4401
2020.05.14	9327.25	9899.80	9230.05	9631.35	190551	0	4400
2020.05.15	9618.70	9832.05	9049.75	9208.45	241894	0	4409
2020.05.16	9252.60	9564.70	9178.90	9363.95	160712	0	4400
2020.05.17	9360.75	9872.85	9297.55	9728.85	176350	0	4424
2020.05.18	9719.35	9937.55	9392.05	9660.35	162157	0	4408
2020.05.19	9657.80	9873.65	9426.90	9665.80	135286	0	4409
2020.05.20	9655.95	9816.55	9242.35	9566.75	136293	0	4409
2020.05.21	9555.48	9556.95	8763.90	9042.80	169753	0	4402
2020.05.22	9004.42	9244.50	8897.45	9169.45	126730	0	4404
2020.05.23	9097.64	9291.50	9071.60	9209.95	78284	0	4400
2020.05.24	9213.30	9283.30	8820.65	8978.30	122874	0	4424
2020.05.25	8991.55	9061.90	8601.20	8894.12	101611	0	4406
2020.05.26	8894.25	8992.50	8669.50	8842.50	91776	0	4406
2020.05.27	8817.05	9205.40	8781.13	9143.90	85500	0	4404
2020.05.28	9133.70	9514.55	9024.15	9428.38	92133	0	4404
2020.05.29	9424.35	9600.75	9293.90	9394.00	102365	0	4402
2020.05.30	9374.90	9575.50	9300.10	9414.95	87942	0	4310
2020.05.31	9427.75	9721.65	9393.90	9478.95	96497	0	4424
2020.06.01	9463.85	9679.85	9358.35	9662.25	84596	0	4424
2020.06.02	9633.80	10368.60	9201.30	9500.45	104868	0	4400
2020.06.03	9475.54	9622.80	9349.22	9559.40	109676	0	4411
2020.06.04	9571.85	9865.05	9425.05	9759.80	107652	0	4400
2020.06.05	9755.30	9840.45	9524.25	9687.88	97143	0	4401
2020.06.06	9620.33	9709.00	9500.85	9682.45	69614	0	4410
2020.06.07	9672.35	9793.65	9341.75	9687.60	112235	0	4424
2020.06.08	9681.90	9786.84	9617.00	9677.88	65149	0	4409
2020.06.09	9673.95	9868.00	9493.00	9730.38	86584	0	4417
2020.06.10	9726.30	9980.43	9609.90	9842.40	95168	0	4402
2020.06.11	9849.00	9950.15	8980.45	9309.40	94726	0	4404
2020.06.12	9320.60	9532.70	9202.65	9439.45	69885	0	4419
2020.06.13	9439.95	9471.20	9311.55	9377.85	56479	0	4400
2020.06.14	9356.00	9464.20	9278.00	9357.40	53149	0	4424
2020.06.15	9355.95	9468.38	8866.10	9458.85	79814	0	4406
2020.06.16	9472.30	9566.60	9357.88	9472.26	60856	0	4401
2020.06.17	9475.30	9540.90	9202.95	9346.75	57535	0	4424
2020.06.18	9355.85	9459.13	9269.15	9311.60	51237	0	4402
2020.06.19	9293.45	9408.25	9191.60	9294.15	60436	0	4424
2020.06.20	9214.67	9328.14	9167.60	9292.90	37904	0	4400
2020.06.21	9293.45	9399.20	9264.75	9290.80	45317	0	4424
2020.06.22	9295.03	9644.05	9245.70	9623.88	54373	0	4424
2020.06.23	9664.75	9753.50	9547.25	9607.40	33312	0	4410
2020.06.24	9596.35	9645.13	9161.40	9263.88	41191	0	4409
2020.06.25	9264.25	9298.45	8955.05	9248.88	38179	0	4424
2020.06.26	9257.00	9318.30	9000.65	9163.55	47397	0	4420
2020.06.27	9169.80	9191.00	8785.25	8919.13	35309	0	4400
2020.06.28	8934.55	9165.90	8902.90	9084.38	43932	0	4424
2020.06.29	9080.25	9172.63	8991.40	9159.13	39453	0	4424
2020.06.30	9173.75	9213.70	9022.75	9122.85	44748	0	4406
2020.07.01	9130.00	9278.55	9065.38	9217.95	33888	0	4400
2020.07.02	9212.35	9244.38	8907.40	9062.35	39919	0	4404
2020.07.03	9057.88	9127.85	9014.00	9072.50	25649	0	4405
2020.07.04	9001.63	9177.95	8994.54	9111.35	24832	0	4410
2020.07.05	9103.95	9124.45	8965.65	8992.00	18995	0	4424
2020.07.06	8997.20	9333.65	8875.58	9254.38	37600	0	4424
2020.07.07	9257.30	9362.35	9176.60	9231.80	28156	0	4424
2020.07.08	9225.10	9453.30	9202.55	9413.13	36322	0	4424
2020.07.09	9401.70	9451.13	9133.60	9213.88	35444	0	4401
2020.07.10	9225.85	9236.13	9089.60	9204.45	25844	0	4424
2020.07.11	9210.00	9299.63	9165.70	9194.15	20706	0	4400
2020.07.12	9195.35	9327.10	9129.50	9206.50	21300	0	4424
2020.07.13	9205.70	9319.45	9173.13	9225.38	26467	0	4424
2020.07.14	9216.95	9255.38	9057.15	9249.63	30902	0	4404
2020.07.15	9251.85	9257.00	9126.65	9190.40	24802	0	4424
2020.07.16	9176.45	9208.70	9003.63	9079.45	30195	0	4413
2020.07.17	9086.05	9160.80	9054.85	9134.13	23142	0	4411
2020.07.18	9058.01	9186.13	9052.56	9155.15	14259	0	4400
2020.07.19	9148.65	9164.13	9079.85	9150.63	17725	0	4424
2020.07.20	9156.45	9213.05	9105.40	9152.60	22962	0	4424
2020.07.21	9146.10	9419.30	9124.85	9354.15	27368	0	4411
2020.07.22	9351.60	9379.38	9248.70	9352.13	22317	0	4424
2020.07.23	9354.88	9655.00	9345.13	9571.63	33922	0	4411
