<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	0.68691	0.69025	0.68684	0.68923	34509	0	40
2020.10.28	0.68901	0.68972	0.68253	0.68305	51502	0	40
2020.10.29	0.68305	0.68779	0.68159	0.68683	56758	0	40
2020.10.30	0.68685	0.68877	0.68495	0.68795	54412	0	40
2020.11.02	0.68700	0.69538	0.68578	0.69526	48343	0	40
2020.11.03	0.69428	0.69706	0.69252	0.69389	43623	0	40
2020.11.04	0.69388	0.69612	0.68893	0.69421	100144	0	40
2020.11.05	0.69410	0.69610	0.69074	0.69273	71513	0	40
2020.11.06	0.69233	0.69313	0.68773	0.68893	60213	0	40
2020.11.09	0.68823	0.70381	0.68779	0.70216	77477	0	40
2020.11.10	0.70128	0.70433	0.70047	0.70184	72541	0	40
2020.11.11	0.70028	0.70486	0.70028	0.70158	55428	0	40
2020.11.12	0.70153	0.70184	0.69551	0.69599	47984	0	40
2020.11.13	0.69548	0.69698	0.69293	0.69455	40159	0	40
2020.11.16	0.69382	0.69930	0.69382	0.69768	44055	0	40
2020.11.17	0.69713	0.69797	0.69325	0.69523	41814	0	40
2020.11.18	0.69550	0.69792	0.69452	0.69582	45239	0	40
2020.11.19	0.69573	0.69800	0.69530	0.69618	43510	0	40
2020.11.20	0.69633	0.69851	0.69517	0.69539	43439	0	40
2020.11.23	0.69579	0.69786	0.69445	0.69689	50297	0	40
2020.11.24	0.69664	0.70109	0.69664	0.70072	53759	0	40
2020.11.25	0.70054	0.70215	0.69799	0.69799	56947	0	40
2020.11.26	0.69710	0.69879	0.69560	0.69577	39045	0	40
2020.11.27	0.69554	0.69870	0.69447	0.69538	43671	0	40
2020.11.30	0.69500	0.70003	0.69449	0.69827	55523	0	40
2020.12.01	0.69713	0.69987	0.69435	0.69548	55350	0	40
2020.12.02	0.69440	0.69717	0.69144	0.69221	58963	0	40
2020.12.03	0.69203	0.69371	0.68927	0.69203	52535	0	40
2020.12.04	0.69181	0.69781	0.69108	0.69725	54201	0	40
2020.12.07	0.69577	0.69764	0.69322	0.69573	53950	0	40
2020.12.08	0.69447	0.69668	0.69257	0.69313	50616	0	40
2020.12.09	0.69209	0.69630	0.69209	0.69359	48941	0	40
2020.12.10	0.69222	0.69830	0.69222	0.69503	59286	0	40
2020.12.11	0.69483	0.69800	0.69445	0.69641	52901	0	40
2020.12.14	0.69634	0.69697	0.69312	0.69446	44502	0	40
2020.12.15	0.69309	0.69776	0.69309	0.69713	48098	0	40
2020.12.16	0.69647	0.69731	0.69200	0.69443	50720	0	40
2020.12.17	0.69413	0.69648	0.69367	0.69461	44382	0	40
2020.12.18	0.69428	0.69498	0.69001	0.69047	41188	0	40
2020.12.21	0.69091	0.69191	0.68673	0.68849	57857	0	40
2020.12.22	0.68878	0.68978	0.68605	0.68860	48594	0	40
2020.12.23	0.68869	0.69224	0.68818	0.69119	46151	0	40
2020.12.24	0.69033	0.69566	0.69012	0.69335	31057	0	40
2020.12.28	0.69090	0.69416	0.69005	0.69148	34217	0	40
2020.12.29	0.69004	0.69283	0.68915	0.68921	34296	0	40
2020.12.30	0.68862	0.69273	0.68862	0.69089	39834	0	40
2020.12.31	0.68964	0.69540	0.68944	0.69533	40192	0	40
2021.01.04	0.69259	0.69611	0.68842	0.68918	58011	0	40
