<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	79.380	79.522	79.059	79.219	36222	0	28
2020.10.28	79.198	79.257	78.208	78.282	50306	0	28
2020.10.29	78.274	78.619	77.902	78.498	56657	0	28
2020.10.30	78.485	78.693	78.058	78.549	56924	0	28
2020.11.02	78.478	79.245	78.200	79.242	52820	0	28
2020.11.03	79.204	79.811	78.976	79.515	55747	0	28
2020.11.04	79.458	79.858	78.864	79.550	127724	0	28
2020.11.05	79.543	79.690	79.174	79.335	87336	0	28
2020.11.06	79.255	79.376	78.942	79.116	75122	0	28
2020.11.09	79.169	81.410	79.027	80.996	95087	0	28
2020.11.10	80.933	81.090	80.549	80.736	80426	0	28
2020.11.11	80.792	80.938	80.564	80.689	58090	0	28
2020.11.12	80.688	80.722	79.917	79.966	53373	0	28
2020.11.13	79.974	80.083	79.398	79.627	52537	0	28
2020.11.16	79.665	80.328	79.487	79.966	43270	0	28
2020.11.17	79.955	79.983	79.374	79.485	44778	0	28
2020.11.18	79.467	79.652	79.226	79.298	52340	0	28
2020.11.19	79.285	79.475	79.215	79.337	46438	0	28
2020.11.20	79.344	79.567	79.244	79.288	41167	0	28
2020.11.23	79.284	79.940	79.252	79.866	51168	0	28
2020.11.24	79.825	80.399	79.818	80.334	55469	0	28
2020.11.25	80.330	80.465	80.102	80.294	48675	0	28
2020.11.26	80.280	80.328	80.034	80.038	48278	0	28
2020.11.27	80.049	80.236	79.827	80.104	43347	0	28
2020.11.30	80.012	80.633	79.917	80.164	56917	0	28
2020.12.01	80.159	80.746	80.140	80.625	61263	0	28
2020.12.02	80.571	81.000	80.555	80.796	53087	0	28
2020.12.03	80.799	80.896	80.409	80.712	52625	0	28
2020.12.04	80.704	81.551	80.612	81.468	54336	0	28
2020.12.07	81.449	81.541	81.153	81.265	51435	0	28
2020.12.08	81.256	81.462	81.160	81.235	46274	0	28
2020.12.09	81.226	81.615	81.189	81.289	46535	0	28
2020.12.10	81.273	82.105	81.193	81.775	58323	0	28
2020.12.11	81.786	81.819	81.280	81.436	54116	0	28
2020.12.14	81.460	81.612	81.270	81.471	51225	0	28
2020.12.15	81.468	81.711	81.365	81.606	48576	0	28
2020.12.16	81.583	81.662	80.942	81.162	58581	0	28
2020.12.17	81.151	81.300	80.916	81.000	52827	0	28
2020.12.18	80.995	81.288	80.648	80.784	51312	0	28
2020.12.21	80.849	80.883	80.137	80.301	69758	0	28
2020.12.22	80.379	80.453	80.129	80.247	58225	0	28
2020.12.23	80.259	80.695	80.183	80.591	52956	0	28
2020.12.24	80.549	80.897	80.529	80.692	34520	0	28
2020.12.28	80.521	80.847	80.417	80.759	37778	0	28
2020.12.29	80.699	81.048	80.661	80.748	40989	0	28
2020.12.30	80.753	81.025	80.518	80.927	44629	0	28
2020.12.31	80.838	81.095	80.764	81.067	38400	0	28
2021.01.04	80.993	81.182	80.592	80.705	61286	0	28
2021.01.05	80.618	81.100	80.544	81.050	63601	0	28
2021.01.06	81.003	81.522	80.949	81.269	85469	0	28
2021.01.07	81.207	81.929	81.127	81.809	63850	0	28
2021.01.08	81.759	81.976	81.598	81.876	66153	0	28
2021.01.11	81.702	81.859	81.224	81.522	53448	0	28
2021.01.12	81.522	81.801	81.441	81.588	60112	0	28
2021.01.13	81.521	81.906	81.440	81.791	54028	0	28
2021.01.14	81.736	82.172	81.644	82.078	53012	0	28
2021.01.15	82.045	82.125	81.302	81.532	51334	0	28
2021.01.18	81.480	81.582	81.071	81.180	53831	0	28
2021.01.19	81.237	81.778	81.192	81.588	46858	0	28
2021.01.20	81.578	82.109	81.458	81.939	50751	0	28
2021.01.21	81.906	82.197	81.833	81.862	48861	0	28
2021.01.22	81.810	81.902	81.351	81.460	43172	0	28
2021.01.25	81.562	81.760	81.225	81.400	40836	0	28
2021.01.26	81.374	81.672	81.151	81.592	34182	0	28
2021.01.27	81.612	81.659	81.209	81.292	49843	0	28
2021.01.28	81.254	81.545	80.970	81.243	52760	0	28
2021.01.29	81.206	82.175	81.133	81.924	63112	0	28
2021.02.01	81.866	82.035	81.566	81.598	48523	0	28
2021.02.02	81.579	82.134	81.559	82.092	42564	0	28
2021.02.03	82.078	82.274	81.980	82.131	43553	0	28
2021.02.04	82.015	82.346	82.015	82.301	48420	0	28
2021.02.05	82.200	82.615	82.191	82.556	42941	0	28
2021.02.08	82.524	82.697	82.388	82.579	36522	0	28
2021.02.09	82.537	82.602	81.950	82.359	31569	0	28
2021.02.10	82.314	82.547	82.201	82.332	36194	0	28
2021.02.11	82.229	82.658	82.229	82.423	28316	0	28
2021.02.12	82.419	82.757	82.320	82.665	26549	0	28
2021.02.15	82.683	83.385	82.609	83.302	29785	0	28
2021.02.16	83.317	83.732	83.217	83.533	39283	0	28
2021.02.17	83.500	83.604	83.017	83.336	43635	0	28
2021.02.18	83.308	83.407	83.096	83.323	38859	0	28
2021.02.19	83.314	83.846	83.088	83.523	36700	0	28
2021.02.22	83.497	83.928	83.138	83.260	41953	0	28
2021.02.23	83.242	83.686	83.182	83.578	47817	0	28
2021.02.24	83.544	84.634	83.500	84.572	57251	0	28
2021.02.25	84.542	85.083	84.178	84.267	66658	0	28
2021.02.26	84.207	84.412	83.536	83.553	84045	0	28
2021.03.01	83.647	84.454	83.605	84.402	45674	0	28
2021.03.02	84.318	84.695	84.095	84.404	47284	0	28
2021.03.03	84.367	84.851	84.312	84.743	39100	0	28
