<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	115.436	115.551	114.813	114.870	36769	0	51
2020.10.28	114.872	115.002	114.167	114.512	52450	0	51
2020.10.29	114.512	114.876	114.055	114.204	52696	0	51
2020.10.30	114.189	114.450	113.759	114.104	59772	0	51
2020.11.02	114.025	114.316	113.791	113.925	55003	0	51
2020.11.03	113.921	114.618	113.714	114.521	59970	0	51
2020.11.04	114.581	114.950	114.226	114.545	116873	0	51
2020.11.05	114.547	114.949	114.242	114.453	76007	0	51
2020.11.06	114.473	115.034	114.188	114.778	78815	0	51
2020.11.09	114.737	116.082	114.637	115.302	100858	0	51
2020.11.10	115.207	115.336	114.812	114.978	81530	0	51
2020.11.11	114.978	115.190	114.736	114.945	65870	0	51
2020.11.12	114.827	115.320	114.688	114.831	58672	0	51
2020.11.13	114.800	114.943	114.472	114.588	56936	0	51
2020.11.16	114.646	114.999	114.440	114.568	56096	0	51
2020.11.17	114.541	114.638	114.244	114.261	53451	0	51
2020.11.18	114.255	114.304	113.805	113.890	55266	0	51
2020.11.19	113.730	114.088	113.602	113.893	56486	0	51
2020.11.20	113.841	114.171	113.766	113.947	46712	0	51
2020.11.23	113.828	114.587	113.767	114.530	57432	0	51
2020.11.24	114.324	114.842	114.139	114.574	56577	0	51
2020.11.25	114.533	114.989	114.196	114.959	56747	0	51
2020.11.26	114.853	115.079	114.611	114.695	37121	0	51
2020.11.27	114.816	115.035	114.537	114.875	40250	0	51
2020.11.30	114.942	115.617	114.702	114.729	54571	0	51
2020.12.01	114.712	115.969	114.628	115.868	55921	0	51
2020.12.02	115.856	116.785	115.849	116.659	58303	0	51
2020.12.03	116.641	116.905	116.423	116.546	59994	0	51
2020.12.04	116.314	117.016	116.292	116.786	61518	0	51
2020.12.07	116.740	117.137	116.547	116.738	57814	0	51
2020.12.08	116.721	117.211	116.652	117.134	54684	0	51
2020.12.09	117.050	117.408	117.002	117.144	49551	0	51
2020.12.10	117.133	117.734	117.020	117.598	65583	0	51
2020.12.11	117.610	117.661	116.622	116.831	55423	0	51
2020.12.14	116.762	117.430	116.762	117.242	50553	0	51
2020.12.15	117.289	117.575	116.862	116.991	50117	0	51
2020.12.16	116.912	117.079	116.716	116.817	60985	0	51
2020.12.17	116.768	116.906	116.371	116.554	58056	0	51
2020.12.18	116.439	117.151	116.439	116.906	50854	0	51
2020.12.21	116.743	117.048	116.403	116.576	74625	0	51
2020.12.22	116.548	116.886	116.375	116.449	59952	0	51
2020.12.23	116.403	116.640	116.137	116.530	55153	0	51
2020.12.24	116.487	116.757	116.142	116.215	34859	0	51
2020.12.28	116.361	116.815	116.123	116.736	44878	0	51
2020.12.29	116.619	117.255	116.562	117.123	54352	0	51
2020.12.30	117.009	117.225	116.457	117.064	54132	0	51
2020.12.31	116.879	117.166	116.535	116.538	42305	0	51
2021.01.04	116.630	117.281	116.427	117.030	68004	0	51
2021.01.05	116.777	117.112	116.719	116.915	59566	0	51
2021.01.06	116.854	117.468	116.736	117.259	81807	0	51
2021.01.07	117.181	117.493	117.069	117.230	71168	0	51
2021.01.08	117.165	117.567	117.026	117.357	72780	0	51
2021.01.11	117.099	117.475	116.869	117.037	63572	0	51
2021.01.12	116.995	117.210	116.883	117.002	59794	0	51
2021.01.13	116.946	117.190	116.836	116.984	57772	0	51
2021.01.14	116.948	117.271	116.729	116.825	67812	0	51
2021.01.15	116.743	116.884	116.480	116.490	55484	0	51
2021.01.18	116.466	116.564	116.260	116.304	55033	0	51
2021.01.19	116.267	117.246	116.262	116.896	55349	0	51
2021.01.20	116.737	117.017	116.206	116.330	54719	0	51
2021.01.21	116.279	116.961	116.211	116.879	61138	0	51
2021.01.22	116.878	117.281	116.760	117.171	55123	0	51
2021.01.25	117.063	117.258	116.710	116.786	48152	0	51
2021.01.26	116.700	116.923	116.513	116.802	56173	0	51
2021.01.27	116.794	117.207	116.705	117.124	69151	0	51
2021.01.28	117.009	117.545	116.967	117.300	73101	0	51
2021.01.29	117.136	117.982	117.136	117.517	78215	0	51
2021.02.01	117.528	117.684	116.933	116.940	61309	0	51
2021.02.02	116.901	117.216	116.837	116.928	58169	0	51
2021.02.03	116.926	117.006	116.693	116.792	49007	0	51
2021.02.04	116.745	116.856	116.569	116.685	53003	0	51
2021.02.05	116.649	117.219	116.591	117.174	61573	0	51
2021.02.08	116.986	117.315	116.955	117.016	55328	0	51
2021.02.09	116.967	117.215	116.892	117.144	68330	0	51
2021.02.10	117.121	117.708	117.062	117.456	57849	0	51
2021.02.11	117.360	117.697	117.333	117.662	34282	0	51
2021.02.12	117.593	117.859	117.526	117.607	41999	0	51
2021.02.15	117.499	118.374	117.499	118.254	37078	0	51
2021.02.16	118.236	118.815	118.081	118.738	52723	0	51
2021.02.17	118.660	118.841	117.704	117.743	60991	0	51
2021.02.18	117.725	117.970	117.650	117.899	49863	0	51
2021.02.19	117.874	118.053	117.522	117.566	37569	0	51
2021.02.22	117.411	117.772	117.098	117.229	46486	0	51
2021.02.23	117.158	117.383	116.206	116.206	44295	0	51
2021.02.24	116.260	116.826	116.146	116.716	56643	0	51
2021.02.25	116.657	117.627	116.625	117.385	65365	0	51
2021.02.26	117.300	117.759	117.003	117.204	76439	0	51
2021.03.01	117.236	117.417	116.356	116.664	46770	0	51
2021.03.02	116.450	116.780	116.239	116.631	42669	0	51
2021.03.03	116.506	116.833	116.309	116.440	37206	0	51
