<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.16	2226.2	2252.0	2205.4	2248.1	2129	0	48
2020.04.17	2246.2	2348.5	2239.3	2336.6	2423	0	48
2020.04.20	2331.2	2341.1	2306.4	2328.7	1948	0	48
2020.04.21	2316.0	2328.8	2275.2	2300.0	2391	0	48
2020.04.22	2319.5	2367.2	2301.7	2345.9	2214	0	48
2020.04.23	2346.5	2367.4	2333.2	2339.7	2746	0	48
2020.04.24	2337.8	2338.3	2291.2	2314.1	2391	0	48
2020.04.27	2323.5	2335.4	2292.7	2299.7	2155	0	48
2020.04.28	2307.3	2364.4	2302.3	2327.7	2287	0	48
2020.04.29	2338.8	2364.1	2332.8	2357.2	1727	0	48
2020.04.30	2360.8	2406.6	2342.4	2389.2	2683	0	48
2020.05.01	2393.3	2403.7	2369.0	2381.9	2806	0	48
2020.05.04	2371.5	2381.5	2325.3	2364.1	2573	0	48
2020.05.05	2367.7	2403.6	2346.9	2347.9	2083	0	48
2020.05.06	2351.0	2365.0	2316.3	2347.1	2267	0	48
2020.05.07	2358.2	2383.6	2334.4	2359.8	2107	0	48
2020.05.08	2378.8	2382.3	2374.4	2381.8	196	0	48
2020.05.11	2376.9	2457.5	2371.4	2457.5	2342	0	48
2020.05.12	2461.1	2466.1	2337.8	2383.6	2777	0	48
2020.05.13	2384.2	2449.9	2364.3	2441.5	2358	0	48
2020.05.14	2442.6	2454.1	2390.5	2391.5	2599	0	48
2020.05.15	2411.5	2418.0	2369.3	2369.3	2273	0	48
2020.05.18	2373.8	2401.2	2361.3	2383.3	1860	0	48
2020.05.19	2386.5	2430.2	2377.5	2408.4	1615	0	48
2020.05.20	2412.5	2446.3	2381.7	2388.7	1879	0	48
2020.05.21	2383.8	2396.8	2312.7	2325.2	2092	0	48
2020.05.22	2321.3	2392.0	2304.4	2371.1	2537	0	48
2020.05.26	2385.3	2435.6	2378.9	2399.3	2811	0	48
2020.05.27	2391.5	2399.9	2330.8	2332.3	2329	0	48
2020.05.28	2339.4	2422.1	2333.4	2419.6	1922	0	48
2020.05.29	2412.8	2450.2	2380.4	2424.8	2821	0	48
2020.06.01	2430.3	2496.6	2423.8	2495.6	2511	0	48
2020.06.02	2486.3	2490.8	2384.2	2405.2	2422	0	48
2020.06.03	2401.8	2421.2	2361.5	2393.4	2030	0	48
2020.06.04	2394.0	2419.5	2374.1	2409.0	2055	0	48
2020.06.05	2405.2	2414.7	2386.4	2408.4	2103	0	48
2020.06.08	2388.7	2403.7	2368.6	2391.2	2145	0	48
2020.06.09	2381.6	2442.8	2373.6	2426.2	2552	0	48
2020.06.10	2424.7	2429.7	2386.0	2389.0	2020	0	48
2020.06.11	2372.4	2388.0	2283.7	2299.7	2414	0	48
2020.06.12	2297.7	2350.8	2287.6	2318.2	2776	0	48
2020.06.15	2310.5	2310.5	2229.8	2278.9	2942	0	48
2020.06.16	2294.9	2324.4	2267.3	2276.3	2758	0	48
