<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	307.21	309.35	306.10	306.71	12002	0	28
2020.10.28	306.85	308.71	302.39	304.86	17515	0	28
2020.10.29	305.01	307.50	302.51	303.99	16777	0	28
2020.10.30	304.21	306.18	301.94	303.37	17933	0	28
2020.11.02	302.64	307.92	301.07	307.01	16680	0	28
2020.11.03	306.89	310.58	306.24	308.35	13733	0	28
2020.11.04	308.31	310.27	301.20	308.80	31924	0	28
2020.11.05	309.13	311.98	306.31	309.55	19638	0	28
2020.11.06	309.52	315.79	308.52	313.44	19105	0	28
2020.11.09	314.29	319.21	311.60	311.85	19826	0	28
2020.11.10	311.89	314.69	308.19	313.82	19029	0	28
2020.11.11	313.95	315.98	309.31	311.76	13640	0	28
2020.11.12	311.69	314.96	310.67	312.04	13486	0	28
2020.11.13	311.91	317.46	311.24	316.82	14127	0	28
2020.11.16	316.88	324.68	316.77	321.31	18948	0	28
2020.11.17	320.94	322.51	316.60	319.57	14735	0	28
2020.11.18	319.77	323.05	317.95	318.98	16359	0	28
2020.11.19	318.36	321.42	316.52	321.07	16587	0	28
2020.11.20	320.76	329.71	319.92	328.86	16730	0	28
2020.11.23	328.49	329.33	323.46	326.00	13737	0	28
2020.11.24	326.02	331.34	325.87	330.44	14749	0	28
2020.11.25	330.43	332.99	328.02	331.65	13175	0	28
2020.11.26	331.62	335.84	330.92	335.79	8490	0	28
2020.11.27	335.34	340.28	333.97	340.16	12559	0	28
2020.11.30	339.68	348.33	339.63	343.11	21980	0	28
2020.12.01	342.93	349.99	342.63	348.18	18398	0	28
2020.12.02	348.14	349.06	341.90	347.47	17979	0	28
2020.12.03	347.34	350.22	344.93	346.17	18020	0	28
2020.12.04	346.36	351.48	345.99	350.64	16632	0	28
2020.12.07	350.91	352.43	345.86	348.70	18350	0	28
2020.12.08	348.69	348.81	344.76	348.12	14382	0	28
2020.12.09	348.38	351.44	346.69	347.83	16654	0	28
2020.12.10	347.78	357.33	343.17	356.31	18124	0	28
2020.12.11	356.27	360.43	347.79	351.47	20907	0	28
2020.12.14	352.52	353.59	348.91	350.15	16100	0	28
2020.12.15	350.32	353.70	348.13	352.43	14595	0	28
2020.12.16	352.50	356.11	351.73	355.06	14823	0	28
2020.12.17	354.56	359.46	354.28	359.21	13346	0	28
2020.12.18	359.25	362.66	357.14	362.21	16932	0	28
2020.12.21	362.26	362.46	352.86	356.17	25524	0	28
2020.12.22	356.28	357.45	348.79	349.24	20180	0	28
2020.12.23	349.33	354.53	346.02	352.84	18528	0	28
2020.12.24	352.83	355.57	351.41	355.37	12438	0	28
2020.12.28	355.19	360.09	354.02	355.66	12257	0	28
2020.12.29	355.65	357.44	352.84	353.26	16856	0	28
2020.12.30	354.65	356.59	352.46	352.76	12782	0	28
2020.12.31	352.82	354.27	348.99	350.61	13281	0	28
2021.01.04	351.99	359.06	350.62	354.88	22856	0	28
2021.01.05	354.00	364.61	354.00	363.21	19068	0	28
2021.01.06	363.16	369.11	361.24	364.48	26867	0	28
2021.01.07	364.67	369.57	362.55	369.13	21695	0	28
2021.01.08	369.07	371.83	361.37	367.72	26593	0	28
2021.01.11	366.93	367.45	353.75	354.07	23167	0	28
2021.01.12	354.29	363.16	354.19	362.76	20377	0	28
2021.01.13	363.15	363.45	359.14	359.46	18188	0	28
2021.01.14	359.68	366.03	358.73	365.63	17678	0	28
2021.01.15	365.77	366.92	357.33	358.48	20577	0	28
2021.01.18	358.55	363.48	356.01	360.07	16051	0	28
2021.01.19	359.46	364.05	358.39	361.68	18006	0	28
2021.01.20	361.37	364.91	360.38	363.22	16141	0	28
2021.01.21	363.11	366.03	362.09	363.43	16392	0	28
2021.01.22	363.33	363.85	355.15	360.66	20043	0	28
2021.01.25	361.06	362.75	358.34	361.86	20553	0	28
2021.01.26	361.63	362.92	356.89	360.53	18509	0	28
2021.01.27	360.45	361.54	350.97	353.44	22991	0	28
2021.01.28	353.36	358.67	347.97	356.30	30211	0	28
2021.01.29	356.34	360.08	352.05	352.95	32781	0	28
2021.02.01	353.60	357.34	351.25	354.05	27079	0	28
2021.02.02	353.91	355.76	348.90	351.57	23330	0	28
2021.02.03	351.74	356.22	349.29	355.25	19884	0	28
2021.02.04	355.19	357.16	352.70	354.20	19139	0	28
2021.02.05	354.14	362.94	354.06	362.89	17683	0	28
2021.02.08	362.84	366.93	361.27	366.88	16239	0	28
2021.02.09	366.85	371.59	365.70	370.89	17838	0	28
2021.02.10	370.66	378.54	370.36	376.32	21623	0	28
2021.02.11	376.39	378.08	373.97	376.99	15582	0	28
2021.02.12	377.55	379.22	371.24	378.72	15352	0	28
2021.02.15	378.65	381.97	378.55	381.44	9087	0	28
2021.02.16	381.43	383.17	379.16	382.57	20613	0	28
2021.02.17	382.39	382.88	378.50	381.44	20678	0	28
2021.02.18	381.42	392.02	381.15	389.95	27393	0	28
2021.02.19	389.79	408.39	388.04	405.79	31533	0	28
2021.02.22	405.95	420.69	405.83	414.21	32126	0	28
2021.02.23	414.42	422.02	408.58	420.70	38348	0	28
2021.02.24	420.66	431.71	413.63	431.48	32184	0	28
2021.02.25	430.72	436.23	417.88	419.55	40715	0	28
2021.02.26	419.46	424.23	406.52	408.72	49125	0	28
2021.03.01	409.52	416.88	407.85	408.97	30197	0	28
2021.03.02	408.81	421.36	403.05	419.88	35020	0	28
2021.03.03	419.65	420.99	411.19	413.86	28276	0	28
