<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.29	61.485	61.971	61.319	61.810	3855	0	180
2020.07.30	61.849	63.354	60.945	63.344	5034	0	180
2020.07.31	63.438	63.458	62.053	62.885	4970	0	180
2020.08.03	62.896	64.265	62.810	63.918	4895	0	180
2020.08.04	63.943	64.419	63.692	64.092	3838	0	180
2020.08.05	64.096	64.617	63.885	64.542	3444	0	180
2020.08.06	64.506	65.188	64.506	64.986	3827	0	180
2020.08.07	64.901	65.010	62.290	62.360	5764	0	180
2020.08.10	62.291	63.238	62.181	63.002	4761	0	180
2020.08.11	62.912	63.864	62.881	63.703	3991	0	180
2020.08.12	63.577	64.068	62.236	62.392	4011	0	180
2020.08.13	62.481	63.589	62.440	63.137	3722	0	180
2020.08.14	63.262	63.577	62.764	63.050	3146	0	180
2020.08.17	63.322	63.863	63.131	63.371	3362	0	180
2020.08.18	63.310	63.881	62.787	63.053	3556	0	180
2020.08.19	63.073	63.959	62.946	63.899	3016	0	180
2020.08.20	63.833	64.830	63.121	64.670	3801	0	180
2020.08.21	64.569	64.658	64.126	64.357	4143	0	180
2020.08.24	64.357	66.127	64.357	65.856	4404	0	180
2020.08.25	65.940	66.557	65.468	65.492	4544	0	180
2020.08.26	65.673	66.253	65.190	65.641	3288	0	180
2020.08.27	65.601	65.811	64.861	65.559	3785	0	180
2020.08.28	65.408	65.422	64.655	65.075	4027	0	180
2020.08.31	65.187	66.054	65.065	65.306	3337	0	180
2020.09.01	65.220	66.533	65.155	65.438	3921	0	180
2020.09.02	65.438	66.040	64.855	65.016	3746	0	180
2020.09.03	65.071	65.230	64.227	64.358	4287	0	180
2020.09.04	64.327	65.173	64.006	65.173	4572	0	180
2020.09.08	65.137	65.572	63.682	64.153	4518	0	180
2020.09.09	64.022	64.392	63.495	64.310	4066	0	180
2020.09.10	64.321	65.322	64.241	64.745	4607	0	180
2020.09.11	64.825	65.686	64.688	64.849	3928	0	180
2020.09.14	65.020	66.939	65.020	66.728	4451	0	180
2020.09.15	66.858	67.003	65.689	66.440	4790	0	180
2020.09.16	66.490	66.945	66.199	66.554	3908	0	180
2020.09.17	66.398	66.608	65.720	65.880	3787	0	180
2020.09.18	65.850	66.180	65.267	65.698	3615	0	180
2020.09.21	65.609	66.285	64.781	65.392	4535	0	180
2020.09.22	65.376	65.997	65.063	65.590	4216	0	180
2020.09.23	65.408	65.530	64.873	65.283	4117	0	180
2020.09.24	65.227	65.561	64.705	65.501	4574	0	180
2020.09.25	65.385	66.226	65.239	66.046	4039	0	180
2020.09.28	65.936	66.641	65.238	65.859	4310	0	180
2020.09.29	65.684	65.714	64.745	65.306	4574	0	180
2020.09.30	65.291	66.277	65.151	65.851	4309	0	180
2020.10.01	65.835	66.185	65.543	65.949	4060	0	180
2020.10.02	65.863	66.042	64.900	65.857	4337	0	180
2020.10.05	65.817	67.159	65.686	65.996	4575	0	180
2020.10.06	65.781	66.976	65.720	66.906	4719	0	180
2020.10.07	66.685	67.856	66.470	67.646	4518	0	180
2020.10.08	67.790	68.315	67.143	67.453	4296	0	180
2020.10.09	67.748	68.704	67.582	67.917	4759	0	180
2020.10.12	68.138	69.489	68.138	68.653	5269	0	180
2020.10.13	68.667	69.263	68.275	68.816	5367	0	180
2020.10.14	68.830	69.400	68.574	68.869	4328	0	180
2020.10.15	69.059	69.283	68.432	69.253	4207	0	180
2020.10.16	69.022	70.052	69.022	70.007	4512	0	180
2020.10.19	70.247	71.228	70.177	71.182	5481	0	180
2020.10.20	70.976	71.656	70.309	70.925	5140	0	180
2020.10.21	70.859	72.145	70.583	71.103	4773	0	180
2020.10.22	70.952	72.098	70.837	71.982	4424	0	180
2020.10.23	71.656	71.877	71.109	71.314	4411	0	180
2020.10.26	71.370	72.374	71.284	72.104	4395	0	180
2020.10.27	71.993	72.528	71.772	72.157	4501	0	180
2020.10.28	72.016	72.592	70.048	70.093	5679	0	180
2020.10.29	70.127	70.446	69.580	69.810	5676	0	180
2020.10.30	69.735	70.029	68.362	68.947	5773	0	180
2020.11.02	68.552	69.062	68.051	68.721	5854	0	180
2020.11.03	68.720	70.306	68.720	70.231	5439	0	180
2020.11.04	69.905	70.647	69.614	70.274	4776	0	180
2020.11.05	70.187	70.926	70.014	70.227	4996	0	180
2020.11.06	70.293	70.421	69.098	69.133	4427	0	180
2020.11.09	69.371	71.049	69.371	70.794	5279	0	180
2020.11.10	70.628	70.952	69.936	70.727	5051	0	180
2020.11.11	70.813	71.209	70.344	70.428	3433	0	180
2020.11.12	70.332	70.731	69.606	69.640	3610	0	180
2020.11.13	69.647	69.796	69.262	69.425	4049	0	180
2020.11.16	69.629	71.062	69.472	70.722	4557	0	180
2020.11.17	70.753	70.988	70.151	70.358	4179	0	180
2020.11.18	70.247	71.022	70.232	70.840	3908	0	180
2020.11.19	70.876	71.167	70.525	70.792	4222	0	180
2020.11.20	70.814	72.129	70.794	72.050	5171	0	180
2020.11.23	72.122	73.348	71.894	72.819	5284	0	180
2020.11.24	72.826	72.975	71.016	72.040	5350	0	180
2020.11.25	71.904	72.260	71.444	71.583	3724	0	180
2020.11.27	71.874	72.626	71.558	72.404	2683	0	180
2020.11.30	72.392	72.639	71.224	71.412	4576	0	180
2020.12.01	71.474	72.211	71.320	71.370	4782	0	180
2020.12.02	71.248	71.630	70.546	70.803	4876	0	180
2020.12.03	70.771	71.157	70.276	70.399	3273	0	180
2020.12.04	70.323	71.436	70.323	70.758	4560	0	180
2020.12.07	70.939	71.731	70.602	71.691	4496	0	180
2020.12.08	71.565	71.699	70.936	71.278	3511	0	180
2020.12.09	71.186	72.439	71.097	72.301	4314	0	180
2020.12.10	72.259	73.814	71.961	73.378	5338	0	180
2020.12.11	73.425	73.970	73.237	73.262	5451	0	180
2020.12.14	73.607	74.439	73.602	73.983	4422	0	180
2020.12.15	73.867	74.918	73.813	74.680	3440	0	180
2020.12.16	74.757	75.312	74.613	74.752	3924	0	180
