<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	38.69	39.92	38.61	39.01	8891	0	2
2020.10.28	39.07	39.11	37.10	37.42	14254	0	2
2020.10.29	37.50	37.89	35.07	36.15	20326	0	2
2020.10.30	36.22	36.74	35.36	35.86	19279	0	2
2020.11.02	34.82	37.32	33.79	37.21	21720	0	2
2020.11.03	37.21	38.47	36.76	38.22	17393	0	2
2020.11.04	38.29	39.42	37.43	39.26	26855	0	2
2020.11.05	39.29	39.54	38.46	38.64	15118	0	2
2020.11.06	38.75	38.78	37.28	37.65	17317	0	2
2020.11.09	37.71	41.53	37.42	40.00	20732	0	2
2020.11.10	40.09	42.01	39.63	41.96	18028	0	2
2020.11.11	41.98	43.26	41.54	41.61	19889	0	2
2020.11.12	41.69	42.40	41.10	41.11	17292	0	2
2020.11.13	41.16	41.17	40.26	40.32	12056	0	2
2020.11.16	40.52	42.32	40.38	41.62	13609	0	2
2020.11.17	41.62	41.90	40.81	41.55	13660	0	2
2020.11.18	41.53	42.67	41.30	41.78	12445	0	2
2020.11.19	41.82	42.15	41.27	41.91	10897	0	2
2020.11.20	41.88	42.54	41.62	42.43	9113	0	2
2020.11.23	42.47	43.37	42.32	42.85	10852	0	2
2020.11.24	42.86	45.23	42.86	44.83	12647	0	2
2020.11.25	44.85	46.28	44.78	45.90	14903	0	2
2020.11.26	45.93	46.11	44.78	44.88	7193	0	2
2020.11.27	44.94	45.73	44.64	45.73	8910	0	2
2020.11.30	45.28	45.86	44.50	45.06	15623	0	2
2020.12.01	45.18	45.75	44.19	44.34	13351	0	2
2020.12.02	44.43	45.96	43.99	44.99	14336	0	2
2020.12.03	45.10	45.90	44.74	45.65	13704	0	2
2020.12.04	45.70	46.75	45.69	46.13	12902	0	2
2020.12.07	46.33	46.63	45.46	45.72	10518	0	2
2020.12.08	45.78	46.03	45.26	45.65	10472	0	2
2020.12.09	45.72	46.37	45.08	45.78	12151	0	2
2020.12.10	45.79	47.84	45.67	47.02	13326	0	2
2020.12.11	47.13	47.41	46.48	46.65	13154	0	2
2020.12.14	46.81	47.55	45.86	47.12	13911	0	2
2020.12.15	47.12	47.87	46.68	47.70	11091	0	2
2020.12.16	47.73	48.09	47.32	48.03	11334	0	2
2020.12.17	48.06	48.77	47.99	48.53	9571	0	2
2020.12.18	48.58	49.42	48.28	49.20	9569	0	2
2020.12.21	49.30	49.31	46.25	47.82	20104	0	2
2020.12.22	47.84	47.94	46.60	46.76	12557	0	2
2020.12.23	46.79	48.50	46.16	48.05	12369	0	2
2020.12.24	48.06	48.62	47.58	48.25	8393	0	2
2020.12.28	48.21	48.98	47.53	47.70	10555	0	2
2020.12.29	47.76	48.38	47.71	48.09	8614	0	2
2020.12.30	48.14	48.68	47.70	48.31	8707	0	2
2020.12.31	48.30	48.59	47.80	48.43	6352	0	2
2021.01.04	48.20	49.87	47.24	47.37	23959	0	2
2021.01.05	47.46	50.22	47.32	49.86	20726	0	2
2021.01.06	49.89	50.94	49.50	50.48	22025	0	2
2021.01.07	50.48	51.28	50.40	50.90	14839	0	2
2021.01.08	50.93	52.70	50.83	52.66	15398	0	2
2021.01.11	52.62	52.63	51.49	52.15	14829	0	2
2021.01.12	52.17	53.42	52.05	53.27	12617	0	2
2021.01.13	53.33	53.92	52.52	52.87	13446	0	2
2021.01.14	52.89	53.75	52.29	53.68	12107	0	2
2021.01.15	53.76	53.85	51.87	52.06	13971	0	2
2021.01.18	52.09	52.57	51.80	52.13	8112	0	2
2021.01.19	52.18	53.15	52.15	52.95	11040	0	2
2021.01.20	53.02	53.79	52.77	52.89	11154	0	2
2021.01.21	52.87	53.37	52.57	52.95	9814	0	2
2021.01.22	53.08	53.11	51.41	51.93	13227	0	2
2021.01.25	52.10	52.91	51.80	52.81	12819	0	2
2021.01.26	52.83	53.19	52.25	52.65	9872	0	2
2021.01.27	52.73	53.24	51.81	52.54	12712	0	2
2021.01.28	52.59	53.49	52.00	52.00	13018	0	2
2021.01.29	52.05	53.18	51.88	52.05	15455	0	2
2021.02.01	51.99	53.64	51.59	53.43	14239	0	2
2021.02.02	53.37	55.14	53.37	54.94	13854	0	2
2021.02.03	54.97	56.20	54.71	55.79	11943	0	2
2021.02.04	55.84	56.46	55.20	56.31	11373	0	2
2021.02.05	56.34	57.15	56.34	56.91	10654	0	2
2021.02.08	56.94	58.02	56.88	57.95	9423	0	2
2021.02.09	57.98	58.50	57.18	58.32	11662	0	2
2021.02.10	58.32	58.78	57.98	58.19	10774	0	2
2021.02.11	58.26	58.57	57.71	57.76	8330	0	2
2021.02.12	57.81	59.71	57.30	59.57	11195	0	2
2021.02.15	60.20	60.77	59.93	60.04	9681	0	2
2021.02.16	60.14	60.28	59.34	60.13	12301	0	2
2021.02.17	60.24	61.68	59.54	61.62	17486	0	2
2021.02.18	61.62	62.23	59.78	60.21	18347	0	2
2021.02.19	60.10	60.28	58.56	58.98	19703	0	2
2021.02.22	58.88	62.12	58.88	62.09	18920	0	2
2021.02.23	62.02	62.92	60.61	61.12	24596	0	2
2021.02.24	61.19	63.42	60.90	63.35	19443	0	2
2021.02.25	63.34	63.70	62.57	63.33	21164	0	2
2021.02.26	63.26	63.43	61.24	61.46	26663	0	2
2021.03.01	61.95	62.81	59.90	60.03	18214	0	2
2021.03.02	60.17	61.10	59.26	59.32	23496	0	2
2021.03.03	59.43	61.86	59.16	61.59	18546	0	2
