<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	1.65816	1.66049	1.65383	1.65435	79495	0	23
2020.10.28	1.65425	1.66845	1.64597	1.66597	104224	0	23
2020.10.29	1.66644	1.66851	1.65805	1.66047	110637	0	23
2020.10.30	1.66014	1.66402	1.65284	1.65680	140369	0	23
2020.11.02	1.65763	1.66399	1.64855	1.64918	111608	0	23
2020.11.03	1.64908	1.65741	1.63347	1.63576	92808	0	23
2020.11.04	1.63502	1.65031	1.62865	1.63304	180617	0	23
2020.11.05	1.63271	1.63915	1.62290	1.62348	142774	0	23
2020.11.06	1.62316	1.63732	1.62310	1.63509	129564	0	23
2020.11.09	1.63288	1.63504	1.62048	1.62257	149034	0	23
2020.11.10	1.62197	1.62820	1.61874	1.62178	145730	0	23
2020.11.11	1.62203	1.62424	1.61434	1.61779	107335	0	23
2020.11.12	1.61743	1.63343	1.61575	1.63191	105365	0	23
2020.11.13	1.63123	1.63426	1.62640	1.62769	86673	0	23
2020.11.16	1.62812	1.62913	1.61576	1.61898	94872	0	23
2020.11.17	1.61901	1.62795	1.61759	1.62454	87124	0	23
2020.11.18	1.62450	1.63040	1.61883	1.62213	90811	0	23
2020.11.19	1.62094	1.63076	1.62094	1.62981	91896	0	23
2020.11.20	1.62980	1.63333	1.62043	1.62334	85309	0	23
2020.11.23	1.62266	1.62677	1.61906	1.62492	84820	0	23
2020.11.24	1.62412	1.62504	1.61213	1.61548	83467	0	23
2020.11.25	1.61517	1.62440	1.61392	1.61718	88631	0	23
2020.11.26	1.61745	1.62117	1.61541	1.61756	63113	0	23
2020.11.27	1.61829	1.62010	1.61441	1.61858	69039	0	23
2020.11.30	1.61881	1.62778	1.61622	1.62373	104964	0	23
2020.12.01	1.62362	1.63850	1.62140	1.63716	99213	0	23
2020.12.02	1.63716	1.64185	1.63186	1.63350	96600	0	23
2020.12.03	1.63323	1.63704	1.62990	1.63215	88511	0	23
2020.12.04	1.63177	1.64093	1.63036	1.63193	95079	0	23
2020.12.07	1.63045	1.63988	1.62809	1.63195	94408	0	23
2020.12.08	1.63116	1.63643	1.63023	1.63362	85889	0	23
2020.12.09	1.63301	1.63469	1.61775	1.62315	91110	0	23
2020.12.10	1.62295	1.62614	1.60897	1.61107	100850	0	23
2020.12.11	1.61061	1.61407	1.60395	1.60706	95730	0	23
2020.12.14	1.60612	1.61274	1.60441	1.61177	86970	0	23
2020.12.15	1.61173	1.61792	1.60652	1.60788	76120	0	23
2020.12.16	1.60758	1.61441	1.60610	1.60973	88105	0	23
2020.12.17	1.60926	1.61207	1.60054	1.60835	81227	0	23
2020.12.18	1.60766	1.61442	1.60581	1.60730	76424	0	23
2020.12.21	1.61013	1.62555	1.60760	1.61373	119266	0	23
2020.12.22	1.61331	1.62317	1.61166	1.61670	100830	0	23
2020.12.23	1.61646	1.61772	1.60620	1.60788	96436	0	23
2020.12.24	1.60921	1.61011	1.60222	1.60375	60093	0	23
2020.12.28	1.60231	1.61519	1.60150	1.61089	76179	0	23
2020.12.29	1.60998	1.61329	1.60633	1.60976	73593	0	23
2020.12.30	1.60841	1.61129	1.59824	1.60013	77449	0	23
2020.12.31	1.59886	1.60081	1.58270	1.58433	73790	0	23
2021.01.04	1.58699	1.60283	1.58614	1.59786	115378	0	23
2021.01.05	1.59689	1.59874	1.58147	1.58444	111659	0	23
2021.01.06	1.58351	1.58785	1.57687	1.57867	149095	0	23
2021.01.07	1.57819	1.58636	1.57817	1.57949	120496	0	23
2021.01.08	1.57859	1.58128	1.57227	1.57288	130575	0	23
2021.01.11	1.57361	1.58306	1.57306	1.57863	117137	0	23
2021.01.12	1.57780	1.57918	1.56923	1.57003	111114	0	23
2021.01.13	1.57005	1.57455	1.56835	1.57179	103091	0	23
2021.01.14	1.57175	1.57229	1.55919	1.56214	106856	0	23
2021.01.15	1.56132	1.57324	1.56089	1.56731	108327	0	23
2021.01.18	1.56607	1.57504	1.56598	1.57131	92272	0	23
2021.01.19	1.57129	1.57686	1.56704	1.57549	97819	0	23
2021.01.20	1.57494	1.57633	1.56010	1.56254	98955	0	23
2021.01.21	1.56140	1.56835	1.55956	1.56679	99984	0	23
2021.01.22	1.56527	1.58032	1.56449	1.57730	97265	0	23
2021.01.25	1.57544	1.57875	1.57068	1.57395	100538	0	23
2021.01.26	1.57340	1.57932	1.56895	1.56927	87472	0	23
2021.01.27	1.56871	1.58243	1.56726	1.58024	121409	0	23
2021.01.28	1.57824	1.59458	1.57606	1.57880	135530	0	23
2021.01.29	1.57687	1.58907	1.57639	1.58762	147244	0	23
2021.02.01	1.58974	1.59345	1.57863	1.58211	117150	0	23
2021.02.02	1.58158	1.58954	1.57696	1.58261	105149	0	23
2021.02.03	1.58268	1.58362	1.57642	1.57899	92030	0	23
2021.02.04	1.57779	1.57963	1.57050	1.57355	102021	0	23
2021.02.05	1.57303	1.57624	1.56868	1.56897	96278	0	23
2021.02.08	1.56885	1.57157	1.56157	1.56385	69663	0	23
2021.02.09	1.56312	1.56873	1.56213	1.56594	71510	0	23
2021.02.10	1.56585	1.57036	1.56460	1.56913	78107	0	23
2021.02.11	1.56897	1.57062	1.56238	1.56427	53841	0	23
2021.02.12	1.56153	1.56817	1.56103	1.56135	54238	0	23
2021.02.15	1.56012	1.56199	1.55744	1.55823	43145	0	23
2021.02.16	1.55857	1.56306	1.55583	1.56073	72681	0	23
2021.02.17	1.55997	1.56345	1.55284	1.55339	78349	0	23
2021.02.18	1.55229	1.56038	1.55049	1.55621	73891	0	23
