<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	1.55897	1.56005	1.55302	1.55362	67878	0	32
2020.10.28	1.55398	1.56551	1.55210	1.56446	95608	0	32
2020.10.29	1.56426	1.56681	1.55363	1.55501	93318	0	32
2020.10.30	1.55500	1.55863	1.54997	1.55114	110652	0	32
2020.11.02	1.55052	1.55634	1.53806	1.53818	101197	0	32
2020.11.03	1.53766	1.54284	1.53610	1.53977	89993	0	32
2020.11.04	1.53876	1.54875	1.53532	1.53950	166409	0	32
2020.11.05	1.53886	1.55055	1.53844	1.54256	140537	0	32
2020.11.06	1.54204	1.55255	1.54164	1.55084	129955	0	32
2020.11.09	1.55053	1.55144	1.53115	1.53644	144351	0	32
2020.11.10	1.53618	1.54121	1.53353	1.53993	130823	0	32
2020.11.11	1.53863	1.54141	1.53303	1.53836	95746	0	32
2020.11.12	1.53718	1.55178	1.53706	1.55140	94661	0	32
2020.11.13	1.55037	1.55747	1.55035	1.55391	75515	0	32
2020.11.16	1.55468	1.55520	1.54626	1.54961	78614	0	32
2020.11.17	1.54906	1.55828	1.54902	1.55406	79060	0	32
2020.11.18	1.55381	1.55535	1.54653	1.55115	79848	0	32
2020.11.19	1.55030	1.55234	1.54753	1.55205	83863	0	32
2020.11.20	1.55166	1.55364	1.54732	1.55211	73769	0	32
2020.11.23	1.55083	1.55462	1.54628	1.54929	77461	0	32
2020.11.24	1.54837	1.55197	1.54480	1.54557	84107	0	32
2020.11.25	1.54485	1.55070	1.54483	1.54932	85264	0	32
2020.11.26	1.54882	1.55174	1.54637	1.55039	67713	0	32
2020.11.27	1.55024	1.55483	1.54796	1.55309	69885	0	32
2020.11.30	1.55462	1.55522	1.54728	1.55128	88882	0	32
2020.12.01	1.55068	1.56215	1.54954	1.56112	89866	0	32
2020.12.02	1.56070	1.56598	1.55736	1.56492	89831	0	32
2020.12.03	1.56441	1.57092	1.55990	1.56230	81098	0	32
2020.12.04	1.56120	1.56603	1.54783	1.54940	85029	0	32
2020.12.07	1.54911	1.55637	1.54808	1.54977	81642	0	32
