<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	1.07210	1.07471	1.07059	1.07149	33528	0	15
2020.10.28	1.07155	1.07188	1.06758	1.06932	43202	0	15
2020.10.29	1.06935	1.07020	1.06759	1.06885	45695	0	15
2020.10.30	1.06883	1.07015	1.06709	1.06791	46478	0	15
2020.11.02	1.06732	1.07047	1.06676	1.06986	38190	0	15
2020.11.03	1.06875	1.07180	1.06808	1.06893	40249	0	15
2020.11.04	1.06826	1.07131	1.06596	1.06922	88350	0	15
2020.11.05	1.06834	1.07264	1.06685	1.06922	62284	0	15
2020.11.06	1.06954	1.07000	1.06753	1.06887	55479	0	15
2020.11.09	1.06873	1.08073	1.06701	1.07935	73946	0	15
2020.11.10	1.07830	1.08217	1.07764	1.08124	57179	0	15
2020.11.11	1.08115	1.08237	1.07816	1.07995	45258	0	15
2020.11.12	1.07946	1.08077	1.07807	1.08030	38443	0	15
2020.11.13	1.07925	1.08159	1.07891	1.07995	37986	0	15
2020.11.16	1.08024	1.08268	1.07878	1.08152	46756	0	15
2020.11.17	1.08140	1.08206	1.08023	1.08098	36047	0	15
2020.11.18	1.08074	1.08240	1.07893	1.07983	34113	0	15
2020.11.19	1.07956	1.08182	1.07895	1.08110	41101	0	15
2020.11.20	1.08112	1.08226	1.07942	1.08005	35622	0	15
2020.11.23	1.08006	1.08172	1.07939	1.08037	41293	0	15
2020.11.24	1.08030	1.08491	1.07991	1.08352	41812	0	15
2020.11.25	1.08291	1.08708	1.08182	1.08212	46649	0	15
2020.11.26	1.08180	1.08314	1.07914	1.07952	35614	0	15
2020.11.27	1.07940	1.08266	1.07932	1.08222	39067	0	15
2020.11.30	1.08152	1.08585	1.08027	1.08378	48503	0	15
2020.12.01	1.08224	1.08644	1.08145	1.08618	45579	0	15
2020.12.02	1.08522	1.08711	1.08125	1.08386	47645	0	15
2020.12.03	1.08359	1.08402	1.08162	1.08186	42273	0	15
2020.12.04	1.08218	1.08481	1.07971	1.08085	45205	0	15
2020.12.07	1.08022	1.08135	1.07803	1.07881	44368	0	15
2020.12.08	1.07803	1.07985	1.07590	1.07600	37437	0	15
2020.12.09	1.07596	1.07832	1.07413	1.07450	39839	0	15
2020.12.10	1.07405	1.07688	1.07348	1.07559	46088	0	15
2020.12.11	1.07529	1.07888	1.07487	1.07736	42773	0	15
2020.12.14	1.07815	1.07915	1.07623	1.07696	38939	0	15
2020.12.15	1.07610	1.07849	1.07582	1.07620	41837	0	15
2020.12.16	1.07610	1.08067	1.07585	1.07952	38652	0	15
2020.12.17	1.07905	1.08576	1.07895	1.08454	41887	0	15
2020.12.18	1.08450	1.08591	1.08163	1.08225	40121	0	15
2020.12.21	1.08163	1.08466	1.07976	1.08427	56049	0	15
2020.12.22	1.08405	1.08477	1.08142	1.08159	41448	0	15
2020.12.23	1.08146	1.08573	1.08105	1.08230	43385	0	15
2020.12.24	1.08196	1.08639	1.08159	1.08513	25928	0	15
