<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	27.4595	27.6629	27.3368	27.4851	12797	0	244
2020.04.03	27.4938	27.8166	27.4221	27.7409	14316	0	242
2020.04.06	27.6780	27.7167	27.4731	27.5328	17989	0	243
2020.04.07	27.5318	27.5801	27.0918	27.0952	28488	0	241
2020.04.08	27.0910	27.2695	27.0104	27.0826	12262	0	240
2020.04.09	27.0954	27.1134	26.8187	26.9757	18753	0	247
2020.04.10	26.9713	27.0139	26.8872	26.9364	3935	0	268
2020.04.13	26.9307	26.9904	26.8324	26.8502	8152	0	245
2020.04.14	26.8108	26.9304	26.7331	26.7947	30968	0	262
2020.04.15	26.7842	27.0874	26.7750	26.9781	24131	0	241
2020.04.16	26.9399	27.2704	26.9399	27.1671	18519	0	240
2020.04.17	27.1392	27.3199	27.0139	27.1674	21701	0	240
2020.04.20	27.1582	27.4327	27.1469	27.3815	23883	0	245
2020.04.21	27.4014	27.5335	27.3121	27.4880	22974	0	243
2020.04.22	27.4924	27.6650	27.3398	27.5549	26538	0	245
2020.04.23	27.5604	27.6554	27.4365	27.4737	24380	0	242
2020.04.24	27.4814	27.5076	27.0730	27.1192	19081	0	245
2020.04.27	27.1375	27.3438	27.0764	27.2407	26127	0	240
2020.04.28	27.2263	27.3154	27.1144	27.1503	16654	0	245
2020.04.29	27.1443	27.1759	27.0669	27.0714	9136	0	240
2020.04.30	27.0678	27.1864	26.9628	27.0653	20359	0	240
2020.05.01	27.0654	27.2552	27.0341	27.1574	12683	0	283
2020.05.04	27.1435	27.2299	27.0378	27.0381	13361	0	241
2020.05.05	27.0264	27.0587	26.9219	27.0043	18549	0	240
2020.05.06	26.9580	27.1285	26.9496	27.0656	10573	0	253
2020.05.07	27.0721	27.3190	27.0339	27.2066	12802	0	241
2020.05.08	27.2014	27.3109	27.1770	27.1786	7248	0	279
2020.05.11	27.1937	27.5962	27.1100	27.4813	16505	0	240
2020.05.12	27.4490	27.5788	27.3406	27.4271	13065	0	248
2020.05.13	27.4267	27.5184	27.3568	27.4306	14156	0	241
2020.05.14	27.4199	27.6842	27.3981	27.5664	8544	0	247
2020.05.15	27.5432	27.7357	27.4109	27.6511	12522	0	247
2020.05.18	27.5994	27.6608	27.5687	27.5927	14117	0	242
2020.05.19	27.6126	27.6260	27.4051	27.4524	17994	0	260
2020.05.20	27.4460	27.4778	27.2629	27.2894	11703	0	240
2020.05.21	27.2764	27.3169	27.0629	27.0670	13244	0	243
2020.05.22	27.0644	27.3379	27.0513	27.2400	10130	0	257
2020.05.25	27.2571	27.3099	27.1897	27.2011	3917	0	244
2020.05.26	27.2005	27.2239	26.9950	27.0006	10736	0	241
2020.05.27	27.0049	27.1949	26.9635	27.0934	18169	0	242
2020.05.28	27.0811	27.1239	26.9082	26.9786	17641	0	241
2020.05.29	26.9849	27.0175	26.8353	26.8353	12917	0	256
2020.06.01	26.8757	26.9079	26.7079	26.7157	14413	0	241
2020.06.02	26.7183	26.8069	26.5009	26.5573	18651	0	241
2020.06.03	26.5189	26.6449	26.4559	26.5928	20145	0	243
2020.06.04	26.5968	26.7943	26.4979	26.6296	20858	0	241
2020.06.05	26.6409	26.6579	26.4659	26.5655	31252	0	242
2020.06.08	26.5604	26.6679	26.5069	26.5551	20632	0	251
2020.06.09	26.5432	26.6981	26.4946	26.5214	23782	0	262
2020.06.10	26.4998	26.6651	26.4996	26.5277	30759	0	256
2020.06.11	26.5069	26.7590	26.4997	26.6977	28406	0	243
2020.06.12	26.6686	26.7850	26.6009	26.6678	34754	0	247
2020.06.15	26.7122	26.8612	26.5749	26.5981	53050	0	242
2020.06.16	26.6134	26.6859	26.5087	26.5837	37813	0	245
2020.06.17	26.5618	26.6219	26.5079	26.5683	29287	0	255
2020.06.18	26.5186	26.6921	26.5163	26.6488	23469	0	243
2020.06.19	26.6358	26.6799	26.6109	26.6161	18751	0	242
2020.06.22	26.5873	26.6869	26.5719	26.6421	23307	0	240
2020.06.23	26.6218	26.6861	26.5602	26.5804	15041	0	242
2020.06.24	26.5578	26.7370	26.5565	26.7078	11922	0	249
2020.06.25	26.6748	26.8439	26.6664	26.6686	21583	0	254
2020.06.26	26.7136	26.8285	26.6497	26.7175	24331	0	241
2020.06.29	26.7295	26.8879	26.7059	26.7435	10481	0	242
2020.06.30	26.7248	26.8399	26.5909	26.6363	12704	0	242
2020.07.01	26.5973	26.6677	26.5629	26.5630	13429	0	259
2020.07.02	26.5638	26.6359	26.5579	26.5721	9872	0	250
2020.07.03	26.5582	26.6748	26.5514	26.6180	3774	0	247
2020.07.06	26.6208	26.6987	26.6169	26.6413	17525	0	241
2020.07.07	26.6318	26.7379	26.6309	26.6944	14040	0	241
2020.07.08	26.6383	26.7963	26.6071	26.6181	13851	0	243
2020.07.09	26.6131	26.7029	26.6017	26.6266	12425	0	242
2020.07.10	26.6153	26.7119	26.6112	26.6343	13639	0	240
2020.07.13	26.6154	26.7049	26.5877	26.6360	8291	0	242
2020.07.14	26.6057	26.6923	26.5909	26.6281	16383	0	250
2020.07.15	26.6098	26.6709	26.5529	26.6499	7705	0	249
2020.07.16	26.6320	26.6979	26.6320	26.6576	11183	0	257
2020.07.17	26.6381	26.6899	26.5880	26.5979	9630	0	262
2020.07.20	26.6114	26.6539	26.5709	26.5948	9515	0	243
2020.07.21	26.5929	26.5989	26.3042	26.3046	10223	0	250
2020.07.22	26.3017	26.3999	26.2887	26.3380	11128	0	241
2020.07.23	26.3196	26.3581	26.2285	26.2798	12339	0	242
2020.07.24	26.2662	26.3519	26.1788	26.1845	17608	0	248
2020.07.27	26.1930	26.3227	26.1460	26.1460	16135	0	246
2020.07.28	26.1364	26.2734	26.1261	26.2577	14279	0	245
2020.07.29	26.2207	26.2885	26.1451	26.1647	11700	0	241
2020.07.30	26.1517	26.2682	26.1298	26.1944	21187	0	251
2020.07.31	26.1893	26.2831	26.1400	26.1912	17276	0	240
2020.08.03	26.2041	26.3149	26.1870	26.2412	22641	0	261
2020.08.04	26.2288	26.2739	26.0890	26.0946	18564	0	240
2020.08.05	26.0942	26.1189	26.0586	26.0664	5674	0	253
2020.08.06	26.0468	26.3241	26.0468	26.2589	20007	0	240
2020.08.07	26.2381	26.3983	26.2279	26.2443	25238	0	242
2020.08.10	26.2605	26.3020	26.1559	26.1612	23711	0	242
2020.08.11	26.1796	26.2279	26.0909	26.1391	20608	0	241
2020.08.12	26.0967	26.1904	26.0869	26.1151	9547	0	241
2020.08.13	26.0983	26.1590	26.0600	26.1121	17731	0	262
2020.08.14	26.0712	26.1779	26.0293	26.0441	8753	0	257
2020.08.17	26.0691	26.1679	26.0181	26.0813	17005	0	242
2020.08.18	26.0683	26.1461	26.0667	26.0860	13117	0	263
2020.08.19	26.0644	26.1209	26.0372	26.0461	17758	0	257
2020.08.20	26.0421	26.0897	26.0067	26.0190	15540	0	245
2020.08.21	26.0058	26.0929	25.9989	26.0051	7398	0	251
2020.08.24	26.0231	26.0958	25.9997	26.0728	16984	0	252
2020.08.25	26.0354	26.1854	26.0266	26.1338	15827	0	242
2020.08.26	26.1224	26.2655	26.1207	26.2410	9479	0	245
2020.08.27	26.2264	26.3097	26.1679	26.2628	22080	0	254
2020.08.28	26.2487	26.2744	26.0532	26.0727	16551	0	253
2020.08.31	26.0673	26.2707	26.0673	26.2371	10298	0	257
2020.09.01	26.2175	26.2449	26.1568	26.2165	25102	0	243
2020.09.02	26.2033	26.3486	26.2033	26.3013	8109	0	240
2020.09.03	26.2898	26.4110	26.2416	26.3818	8981	0	240
2020.09.04	26.3279	26.4846	26.3245	26.4315	18030	0	262
2020.09.07	26.4308	26.5509	26.4175	26.4375	6013	0	242
2020.09.08	26.4233	26.5269	26.4233	26.4899	16326	0	242
2020.09.09	26.4688	26.5449	26.3903	26.4567	12688	0	242
2020.09.10	26.4585	26.5789	26.4521	26.5708	11129	0	240
2020.09.11	26.5498	26.5799	26.4982	26.5329	8070	0	253
2020.09.14	26.5396	26.6709	26.5197	26.6342	8589	0	262
2020.09.15	26.5854	26.8309	26.5854	26.7408	7603	0	244
2020.09.16	26.7158	26.7684	26.6541	26.6713	11139	0	252
2020.09.17	26.6909	26.7549	26.6587	26.6882	11989	0	243
2020.09.18	26.6748	26.7429	26.6465	26.6967	11740	0	243
2020.09.21	26.6891	27.2119	26.6733	27.0979	18431	0	246
2020.09.22	27.1050	27.1919	26.8739	26.8881	18597	0	241
2020.09.23	26.8809	26.9925	26.8414	26.9099	15587	0	242
2020.09.24	26.9410	27.1469	26.8987	27.0767	20408	0	247
2020.09.25	27.0512	27.1564	26.9472	27.0685	12631	0	240
2020.09.28	27.1000	27.2122	26.9779	27.1782	14968	0	240
2020.09.29	27.1230	27.2245	27.0376	27.1625	13113	0	241
2020.09.30	27.1186	27.2417	27.0033	27.0247	13848	0	244
2020.10.01	27.0021	27.0306	26.8140	26.8209	12462	0	246
2020.10.02	26.8007	27.1394	26.8007	27.0895	12224	0	243
2020.10.05	27.0715	27.1229	27.0419	27.0695	11022	0	260
2020.10.06	27.0467	27.0909	26.9329	27.0109	9391	0	253
2020.10.07	26.9847	27.1059	26.9349	27.0553	8077	0	253
2020.10.08	27.0316	27.1938	27.0268	27.1629	9498	0	268
2020.10.09	27.1266	27.1760	26.9670	26.9680	7056	0	262
2020.10.12	27.0241	27.1900	26.9833	27.1499	8938	0	265
2020.10.13	27.1188	27.3840	27.1188	27.3282	13177	0	240
2020.10.14	27.3096	27.4440	27.1723	27.2434	11035	0	247
2020.10.15	27.2479	27.3676	27.2176	27.3055	14399	0	249
2020.10.16	27.2522	27.3685	27.1705	27.2326	11517	0	240
2020.10.19	27.2428	27.3460	27.1419	27.1894	13407	0	240
2020.10.20	27.1906	27.2968	27.1303	27.1310	14120	0	241
2020.10.21	27.1147	27.2271	27.0169	27.1952	11049	0	254
2020.10.22	27.1671	27.2898	27.1384	27.1840	13060	0	243
2020.10.23	27.1551	27.2729	27.1139	27.1563	12218	0	246
2020.10.26	27.1613	27.3039	27.1608	27.2481	9991	0	245
2020.10.27	27.2476	27.3552	27.2109	27.2552	12585	0	246
2020.10.28	27.2566	27.4747	27.2337	27.3549	17544	0	246
2020.10.29	27.3578	27.4523	27.2887	27.3311	11160	0	242
2020.10.30	27.3311	27.3879	27.1584	27.1879	9785	0	241
2020.11.02	27.2348	27.2566	27.0547	27.0727	7840	0	267
2020.11.03	27.0525	27.1039	26.7009	26.7918	9180	0	242
2020.11.04	26.8693	27.0409	26.7182	26.8219	13368	0	242
2020.11.05	26.7881	26.8326	26.5897	26.6123	11591	0	247
2020.11.06	26.6086	26.6999	26.5097	26.5252	12737	0	248
