<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	0.90696	0.90842	0.90346	0.90357	73340	0	8
2020.10.28	0.90367	0.90755	0.90139	0.90429	89805	0	8
2020.10.29	0.90407	0.90590	0.90062	0.90309	92605	0	8
2020.10.30	0.90288	0.90523	0.89836	0.89917	98403	0	8
2020.11.02	0.90088	0.90483	0.89949	0.90097	92628	0	8
2020.11.03	0.90077	0.90237	0.89678	0.89704	83521	0	8
2020.11.04	0.89676	0.90331	0.89449	0.90251	150994	0	8
2020.11.05	0.90226	0.90684	0.89924	0.89937	118403	0	8
2020.11.06	0.89939	0.90541	0.89882	0.90294	115936	0	8
2020.11.09	0.90311	0.90480	0.89724	0.89735	127375	0	8
2020.11.10	0.89693	0.89805	0.88835	0.89024	118734	0	8
2020.11.11	0.89028	0.89180	0.88607	0.89060	94851	0	8
2020.11.12	0.89056	0.90042	0.89028	0.89953	99042	0	8
2020.11.13	0.89907	0.90032	0.89629	0.89644	81143	0	8
2020.11.16	0.89776	0.89947	0.89546	0.89793	88408	0	8
2020.11.17	0.89806	0.89860	0.89471	0.89516	82075	0	8
2020.11.18	0.89528	0.89579	0.89148	0.89341	79418	0	8
2020.11.19	0.89279	0.89633	0.89236	0.89516	84598	0	8
2020.11.20	0.89510	0.89598	0.89177	0.89223	72654	0	8
2020.11.23	0.89160	0.89256	0.88661	0.88869	74224	0	8
2020.11.24	0.88838	0.89130	0.88741	0.88995	77463	0	8
2020.11.25	0.89031	0.89380	0.88895	0.88982	80851	0	8
2020.11.26	0.89014	0.89343	0.88980	0.89166	57495	0	8
2020.11.27	0.89135	0.90002	0.89135	0.89740	71301	0	8
2020.11.30	0.89721	0.90005	0.89449	0.89499	81449	0	8
2020.12.01	0.89474	0.90070	0.89294	0.89920	82644	0	8
2020.12.02	0.89870	0.90837	0.89821	0.90617	91434	0	8
2020.12.03	0.90617	0.90674	0.89982	0.90286	86290	0	8
2020.12.04	0.90214	0.90667	0.89824	0.90208	86638	0	8
2020.12.07	0.90393	0.91414	0.90280	0.90497	91808	0	8
2020.12.08	0.90488	0.91158	0.90427	0.90619	95140	0	8
2020.12.09	0.90599	0.90800	0.89830	0.90100	84077	0	8
2020.12.10	0.90117	0.91416	0.90069	0.91334	90916	0	8
2020.12.11	0.91255	0.92294	0.91148	0.91544	84996	0	8
2020.12.14	0.90846	0.91210	0.90448	0.91084	78704	0	8
2020.12.15	0.91083	0.91484	0.90213	0.90243	79245	0	8
2020.12.16	0.90247	0.90555	0.89916	0.90293	85293	0	8
2020.12.17	0.90265	0.90503	0.89820	0.90300	74436	0	8
2020.12.18	0.90263	0.90843	0.90227	0.90593	71826	0	8
2020.12.21	0.91124	0.92167	0.90706	0.90913	103353	0	8
2020.12.22	0.90872	0.91563	0.90834	0.90984	83593	0	8
2020.12.23	0.90988	0.91054	0.90005	0.90261	81099	0	8
2020.12.24	0.90252	0.90328	0.89529	0.89984	51075	0	8
2020.12.28	0.89884	0.90916	0.89848	0.90742	63978	0	8
2020.12.29	0.90723	0.90930	0.90564	0.90711	75152	0	8
2020.12.30	0.90631	0.90854	0.90126	0.90266	76135	0	8
2020.12.31	0.90262	0.90324	0.89320	0.89334	64221	0	8
2021.01.04	0.89572	0.90482	0.89432	0.90263	89677	0	8
2021.01.05	0.90165	0.90540	0.90133	0.90249	82325	0	8
2021.01.06	0.90229	0.90846	0.90167	0.90566	97557	0	8
2021.01.07	0.90567	0.90765	0.90148	0.90436	84199	0	8
2021.01.08	0.90374	0.90475	0.89927	0.90099	93463	0	8
2021.01.11	0.90064	0.90364	0.89882	0.89919	82331	0	8
2021.01.12	0.89820	0.89952	0.89200	0.89325	81380	0	8
2021.01.13	0.89246	0.89342	0.88832	0.89135	78457	0	8
2021.01.14	0.89084	0.89158	0.88688	0.88777	82715	0	8
2021.01.15	0.88777	0.89067	0.88654	0.88860	77984	0	8
2021.01.18	0.88757	0.89243	0.88747	0.88866	59882	0	8
2021.01.19	0.88855	0.89183	0.88832	0.88934	70325	0	8
2021.01.20	0.88913	0.89035	0.88371	0.88612	73766	0	8
2021.01.21	0.88585	0.88698	0.88294	0.88585	72637	0	8
2021.01.22	0.88587	0.89180	0.88531	0.88945	68330	0	8
