<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	364.814	365.656	363.896	364.869	21952	0	70
2020.10.28	364.589	368.790	363.372	367.851	39776	0	70
2020.10.29	368.066	369.169	366.443	367.873	35269	0	70
2020.10.30	367.876	368.763	366.167	366.271	36819	0	71
2020.11.02	366.146	367.135	365.622	366.156	29775	0	72
2020.11.03	366.355	366.596	361.458	362.876	33515	0	72
2020.11.04	363.202	366.583	361.592	362.304	65068	0	70
2020.11.05	362.406	362.672	357.553	358.140	51855	0	70
2020.11.06	358.581	359.818	357.843	358.602	53257	0	71
2020.11.09	358.217	360.155	356.349	358.669	57023	0	71
2020.11.10	358.666	359.889	355.301	355.340	45516	0	70
2020.11.11	355.586	356.130	354.443	354.940	31878	0	84
2020.11.12	354.937	355.815	353.785	354.770	28952	0	74
2020.11.13	354.296	357.422	354.271	357.056	26525	0	70
2020.11.16	357.145	359.710	356.625	358.608	39518	0	72
2020.11.17	358.641	361.905	358.580	361.185	31655	0	70
2020.11.18	361.068	362.565	359.925	360.118	22737	0	70
2020.11.19	360.094	361.655	357.834	358.742	25550	0	70
2020.11.20	358.443	360.377	358.385	360.109	34189	0	72
2020.11.23	359.584	361.535	359.551	360.765	28239	0	70
2020.11.24	360.765	361.455	360.290	360.292	18399	0	70
2020.11.25	360.290	361.475	360.290	360.753	22127	0	70
2020.11.26	360.559	361.305	360.436	360.467	12544	0	73
2020.11.27	360.437	362.565	360.412	361.575	26156	0	70
2020.11.30	361.181	361.825	358.050	358.069	31864	0	70
2020.12.01	358.123	358.938	355.441	356.070	30943	0	70
2020.12.02	355.982	359.778	355.576	358.887	44936	0	70
2020.12.03	359.038	360.276	356.225	356.666	43174	0	71
2020.12.04	356.595	358.995	356.548	358.764	28146	0	75
2020.12.07	358.230	360.244	358.198	359.700	42283	0	73
2020.12.08	359.769	361.635	358.622	358.792	35200	0	79
2020.12.09	358.496	358.975	355.123	356.230	43392	0	83
2020.12.10	356.432	356.637	353.416	353.440	38574	0	71
2020.12.11	353.378	355.205	353.378	354.074	31928	0	72
2020.12.14	354.128	354.906	353.027	353.678	37822	0	70
2020.12.15	353.520	356.730	353.367	355.640	31816	0	72
2020.12.16	355.819	356.445	354.638	354.712	37096	0	70
2020.12.17	354.961	355.922	353.945	355.030	31530	0	75
2020.12.18	354.952	357.992	354.937	357.424	35798	0	74
2020.12.21	357.245	361.535	357.216	360.127	40941	0	70
2020.12.22	359.936	362.362	359.936	361.933	26174	0	71
2020.12.23	361.813	363.095	361.485	361.790	28826	0	70
2020.12.24	361.917	363.061	361.281	362.875	19538	0	102
2020.12.28	361.935	364.729	361.935	363.540	30603	0	74
2020.12.29	363.451	364.980	362.938	364.460	31742	0	87
2020.12.30	364.398	365.157	363.665	364.898	8698	0	70
2020.12.31	364.925	365.105	361.955	362.305	6262	0	76
2021.01.04	362.205	362.505	360.515	360.850	14560	0	75
2021.01.05	361.085	362.010	358.740	359.015	18072	0	99
2021.01.06	358.999	359.083	357.040	358.565	50161	0	72
2021.01.07	358.565	359.875	356.425	359.142	16414	0	70
2021.01.08	359.385	360.532	358.299	358.902	26947	0	95
2021.01.11	359.055	361.834	359.035	360.970	30309	0	72
2021.01.12	360.862	361.305	358.757	358.900	16439	0	105
2021.01.13	358.895	360.626	358.565	360.122	16256	0	107
2021.01.14	360.235	360.745	358.822	358.884	19567	0	77
2021.01.15	359.095	360.855	358.948	359.950	22406	0	73
2021.01.18	359.919	360.985	358.995	359.255	14737	0	72
2021.01.19	359.190	359.814	357.404	357.540	10238	0	74
2021.01.20	357.718	357.718	356.755	356.880	15762	0	72
2021.01.21	357.045	357.751	356.450	356.450	28609	0	81
2021.01.22	356.399	357.748	356.395	357.250	13319	0	78
2021.01.25	357.143	357.877	356.145	357.300	27655	0	88
2021.01.26	357.293	359.445	357.293	358.895	29341	0	86
2021.01.27	359.024	360.930	358.904	360.320	29516	0	70
2021.01.28	360.475	361.092	358.235	358.490	25224	0	71
2021.01.29	358.321	359.042	356.681	357.050	24374	0	73
2021.02.01	356.968	357.445	355.690	355.708	16722	0	85
2021.02.02	355.825	356.145	354.790	355.053	12770	0	77
2021.02.03	355.258	355.965	354.781	354.870	21383	0	101
2021.02.04	355.045	356.165	354.835	355.441	15523	0	73
2021.02.05	355.555	356.874	355.241	356.190	18948	0	75
2021.02.08	356.148	359.135	355.970	358.150	13424	0	74
2021.02.09	358.225	359.595	357.740	357.740	13698	0	83
2021.02.10	357.884	358.165	355.940	356.569	26166	0	74
2021.02.11	356.515	358.235	356.285	357.571	16800	0	75
2021.02.12	357.795	359.370	357.475	358.240	12668	0	78
2021.02.15	358.389	359.144	357.069	357.135	9654	0	70
2021.02.16	357.326	359.345	357.047	358.476	13809	0	75
2021.02.17	358.475	359.360	358.233	358.233	12978	0	87
2021.02.18	358.235	359.575	357.834	358.440	12000	0	70
2021.02.19	358.425	358.805	357.816	358.155	11015	0	80
2021.02.22	358.181	359.651	358.139	358.770	9136	0	72
2021.02.23	358.641	359.685	358.022	358.320	9458	0	83
2021.02.24	358.445	360.085	358.204	359.340	15005	0	100
2021.02.25	359.311	362.204	359.176	361.370	20760	0	70
2021.02.26	361.404	362.561	360.425	362.070	26830	0	77
2021.03.01	362.070	364.254	361.503	363.550	21984	0	73
2021.03.02	363.855	364.740	363.160	364.070	18951	0	75
2021.03.03	363.546	364.440	363.407	363.985	22326	0	77
