<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	123.824	123.988	123.054	123.134	71330	0	13
2020.10.28	123.125	123.181	122.180	122.516	95078	0	13
2020.10.29	122.512	122.878	121.889	122.121	93867	0	13
2020.10.30	122.091	122.457	121.611	121.906	102004	0	13
2020.11.02	121.803	122.146	121.697	121.926	87414	0	13
2020.11.03	121.885	122.748	121.803	122.475	90305	0	13
2020.11.04	122.354	123.068	121.955	122.525	174024	0	13
2020.11.05	122.486	123.175	122.205	122.427	127933	0	13
2020.11.06	122.319	122.986	122.214	122.725	122112	0	13
2020.11.09	122.830	125.126	122.665	124.490	146199	0	13
2020.11.10	124.400	124.596	123.984	124.366	131595	0	13
2020.11.11	124.377	124.669	123.914	124.174	97093	0	13
2020.11.12	124.078	124.497	123.678	124.098	94380	0	13
2020.11.13	124.039	124.294	123.654	123.800	86614	0	13
2020.11.16	123.958	124.432	123.621	123.947	86447	0	13
2020.11.17	123.937	124.018	123.510	123.561	79541	0	13
2020.11.18	123.592	123.614	123.012	123.036	76994	0	13
2020.11.19	123.009	123.313	122.839	123.174	91329	0	13
2020.11.20	123.171	123.474	123.005	123.129	73496	0	13
2020.11.23	123.038	123.821	123.020	123.789	76325	0	13
2020.11.24	123.682	124.343	123.635	124.199	82801	0	13
2020.11.25	124.180	124.505	124.138	124.448	83611	0	13
2020.11.26	124.439	124.562	123.904	124.181	61822	0	13
2020.11.27	124.159	124.527	123.895	124.476	66531	0	13
2020.11.30	124.431	125.119	124.299	124.397	85254	0	13
2020.12.01	124.364	125.949	124.364	125.919	80369	0	13
2020.12.02	125.862	126.544	125.773	126.490	90106	0	13
2020.12.03	126.453	126.649	126.026	126.141	87309	0	13
2020.12.04	126.058	126.675	126.026	126.279	84751	0	13
2020.12.07	126.240	126.480	125.953	125.981	84894	0	13
2020.12.08	125.860	126.250	125.855	126.084	78301	0	13
2020.12.09	126.015	126.510	125.779	125.917	79250	0	13
2020.12.10	125.848	126.735	125.793	126.523	94766	0	13
2020.12.11	126.492	126.607	125.779	126.005	85765	0	13
2020.12.14	126.139	126.507	125.913	126.320	82281	0	13
2020.12.15	126.323	126.584	125.937	125.958	77852	0	13
2020.12.16	125.953	126.339	125.700	126.155	80182	0	13
2020.12.17	126.145	126.514	126.008	126.458	83172	0	13
2020.12.18	126.370	127.007	126.370	126.599	79335	0	13
2020.12.21	126.483	126.651	125.905	126.453	112538	0	13
2020.12.22	126.425	126.651	125.985	126.017	88276	0	13
2020.12.23	126.001	126.374	125.933	126.170	83281	0	13
2020.12.24	126.130	126.494	126.103	126.230	51987	0	13
2020.12.28	126.200	126.951	126.041	126.755	72897	0	13
2020.12.29	126.714	127.226	126.652	126.861	95163	0	13
2020.12.30	126.811	127.128	126.458	126.931	77601	0	13
2020.12.31	126.773	126.974	126.072	126.081	67081	0	13
2021.01.04	126.187	126.781	126.089	126.342	104577	0	13
2021.01.05	126.215	126.549	126.044	126.315	98056	0	13
2021.01.06	126.213	127.240	126.132	127.028	135429	0	13
2021.01.07	126.935	127.486	126.906	127.383	108823	0	13
2021.01.08	127.265	127.456	126.810	127.031	116986	0	13
2021.01.11	126.818	127.086	126.552	126.654	91896	0	13
2021.01.12	126.541	126.858	126.531	126.650	91148	0	13
2021.01.13	126.662	126.704	126.213	126.275	84476	0	13
2021.01.14	126.245	126.520	125.919	126.147	94339	0	13
2021.01.15	126.027	126.190	125.398	125.413	82634	0	13
2021.01.18	125.372	125.511	125.084	125.190	70528	0	13
2021.01.19	125.130	126.203	125.125	126.011	76499	0	13
2021.01.20	125.948	126.180	125.262	125.327	75036	0	13
2021.01.21	125.250	125.962	125.250	125.920	79797	0	13
2021.01.22	125.839	126.393	125.832	126.278	69111	0	13
2021.01.25	126.195	126.362	125.802	125.971	59918	0	13
2021.01.26	125.899	126.152	125.685	125.989	58383	0	13
2021.01.27	125.968	126.183	125.591	126.090	83596	0	13
2021.01.28	125.997	126.657	125.983	126.385	88906	0	13
2021.01.29	126.264	127.336	126.209	127.089	97585	0	13
2021.02.01	127.082	127.121	126.515	126.554	75341	0	13
2021.02.02	126.480	126.816	126.262	126.420	72313	0	13
2021.02.03	126.413	126.521	126.138	126.397	62947	0	13
2021.02.04	126.320	126.457	126.094	126.254	73401	0	13
2021.02.05	126.179	126.986	126.119	126.950	71094	0	13
2021.02.08	126.744	127.117	126.642	126.801	58240	0	13
2021.02.09	126.753	126.842	126.429	126.718	63988	0	13
2021.02.10	126.742	127.070	126.576	126.743	60955	0	13
2021.02.11	126.729	127.154	126.690	127.055	42346	0	13
2021.02.12	126.977	127.299	126.973	127.152	47041	0	13
2021.02.15	127.177	127.968	127.084	127.752	40909	0	13
2021.02.16	127.792	128.376	127.650	128.339	53243	0	13
2021.02.17	128.310	128.448	127.303	127.474	60192	0	13
2021.02.18	127.434	127.801	127.321	127.777	53681	0	13
2021.02.19	127.784	128.177	127.645	127.744	52161	0	13
2021.02.22	127.701	128.237	127.496	127.744	58812	0	13
2021.02.23	127.705	128.046	127.647	127.865	61661	0	13
2021.02.24	127.777	128.869	127.703	128.788	68702	0	13
2021.02.25	128.712	129.968	128.712	129.355	81972	0	13
2021.02.26	129.308	129.517	128.454	128.569	96045	0	13
2021.03.01	128.483	128.931	128.213	128.626	61064	0	13
2021.03.02	128.472	129.071	128.177	128.978	57691	0	13
2021.03.03	128.959	129.448	128.734	129.145	52896	0	13
