<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	1.76921	1.76921	1.75615	1.75659	61090	0	36
2020.10.28	1.75667	1.77018	1.75221	1.76744	87638	0	36
2020.10.29	1.76731	1.76989	1.75922	1.76058	89004	0	36
2020.10.30	1.76008	1.76652	1.75274	1.76058	96674	0	36
2020.11.02	1.76219	1.76611	1.75371	1.75407	90435	0	36
2020.11.03	1.75401	1.75911	1.74541	1.74880	77635	0	36
2020.11.04	1.74946	1.76152	1.74389	1.75041	154364	0	36
2020.11.05	1.75000	1.75635	1.74475	1.74615	127677	0	36
2020.11.06	1.74627	1.75557	1.74026	1.75291	113616	0	36
2020.11.09	1.75036	1.75163	1.72957	1.73228	136717	0	36
2020.11.10	1.73222	1.73651	1.72507	1.72954	127131	0	36
2020.11.11	1.72967	1.73549	1.70833	1.71106	98667	0	36
2020.11.12	1.71067	1.72679	1.70446	1.72536	95330	0	36
2020.11.13	1.72329	1.73405	1.72329	1.72803	79531	0	36
2020.11.16	1.72846	1.72880	1.71535	1.71640	81848	0	36
2020.11.17	1.71617	1.72714	1.71433	1.72076	77949	0	36
2020.11.18	1.72108	1.72416	1.70865	1.71184	82450	0	36
2020.11.19	1.71187	1.71865	1.71112	1.71563	82102	0	36
2020.11.20	1.71590	1.71889	1.70572	1.71066	75691	0	36
2020.11.23	1.71045	1.71222	1.70529	1.70994	75336	0	36
2020.11.24	1.70987	1.71093	1.69456	1.70375	80678	0	36
2020.11.25	1.70387	1.70942	1.69829	1.69990	81406	0	36
2020.11.26	1.70000	1.70470	1.69817	1.70040	59679	0	36
2020.11.27	1.69945	1.70286	1.69635	1.70176	68521	0	36
2020.11.30	1.70030	1.70557	1.69890	1.70026	93952	0	36
2020.12.01	1.69991	1.70898	1.69811	1.70802	86991	0	36
2020.12.02	1.70743	1.71795	1.70393	1.71392	89796	0	36
2020.12.03	1.71301	1.71778	1.71126	1.71601	81979	0	36
2020.12.04	1.71567	1.72794	1.71493	1.72115	82706	0	36
2020.12.07	1.72062	1.72568	1.71772	1.71936	80808	0	36
2020.12.08	1.71889	1.72489	1.71728	1.71809	74029	0	36
2020.12.09	1.71811	1.72148	1.70924	1.71946	82359	0	36
2020.12.10	1.71923	1.72228	1.70957	1.70986	93310	0	36
2020.12.11	1.70967	1.71339	1.70792	1.70895	85434	0	36
2020.12.14	1.70790	1.71564	1.70713	1.71446	70763	0	36
2020.12.15	1.71437	1.72183	1.71232	1.71348	73159	0	36
2020.12.16	1.71392	1.72394	1.71006	1.71427	86490	0	36
2020.12.17	1.71457	1.71680	1.70610	1.71468	74110	0	36
2020.12.18	1.71457	1.72241	1.71332	1.71589	78689	0	36
2020.12.21	1.71738	1.73441	1.71614	1.72374	117095	0	36
2020.12.22	1.72185	1.73460	1.71995	1.72678	88946	0	36
2020.12.23	1.72685	1.73020	1.71510	1.71694	84084	0	36
2020.12.24	1.71657	1.72112	1.71088	1.71204	49278	0	36
2020.12.28	1.71247	1.72347	1.71192	1.71932	76561	0	36
2020.12.29	1.71963	1.72086	1.70900	1.71390	78203	0	36
