<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	4.57458	4.59106	4.57290	4.58476	33761	0	91
2020.10.28	4.58563	4.63423	4.57920	4.62854	51014	0	90
2020.10.29	4.62719	4.64489	4.60622	4.61981	42774	0	90
2020.10.30	4.62050	4.63046	4.60111	4.60390	44091	0	90
2020.11.02	4.60484	4.61615	4.59004	4.59887	45380	0	90
2020.11.03	4.59731	4.60275	4.53010	4.54042	41121	0	90
2020.11.04	4.53786	4.60379	4.52466	4.53908	67323	0	90
2020.11.05	4.53786	4.54675	4.50428	4.52659	54295	0	90
2020.11.06	4.52925	4.54080	4.49990	4.49995	53262	0	90
2020.11.09	4.50057	4.50262	4.45889	4.48197	59024	0	90
2020.11.10	4.48307	4.50985	4.47480	4.49519	51668	0	90
2020.11.11	4.49608	4.50685	4.47594	4.47942	44903	0	90
2020.11.12	4.48063	4.49354	4.47584	4.48864	48359	0	90
2020.11.13	4.48775	4.50021	4.47824	4.48045	45024	0	90
2020.11.16	4.48011	4.49171	4.46037	4.46954	43617	0	90
2020.11.17	4.47029	4.50175	4.46334	4.48593	36762	0	90
2020.11.18	4.48475	4.49108	4.46292	4.46320	34603	0	90
2020.11.19	4.46292	4.48146	4.45989	4.46203	40367	0	92
2020.11.20	4.46347	4.47413	4.45727	4.46964	35288	0	91
2020.11.23	4.46649	4.47827	4.45924	4.46994	33386	0	91
2020.11.24	4.46872	4.47337	4.45826	4.45985	29273	0	90
2020.11.25	4.45900	4.47467	4.45846	4.46215	43520	0	90
2020.11.26	4.46167	4.47831	4.45981	4.47238	30079	0	90
2020.11.27	4.47364	4.49267	4.47006	4.48323	26678	0	90
2020.11.30	4.48354	4.48882	4.46686	4.47517	41412	0	90
2020.12.01	4.47401	4.48277	4.44257	4.44366	35842	0	90
2020.12.02	4.44447	4.49077	4.44243	4.47222	33355	0	90
2020.12.03	4.47337	4.48447	4.46244	4.46730	35431	0	90
2020.12.04	4.46478	4.48017	4.46287	4.46905	42544	0	90
2020.12.07	4.46657	4.48122	4.45967	4.46966	36070	0	96
2020.12.08	4.46945	4.48718	4.44406	4.44455	34696	0	90
2020.12.09	4.44585	4.45007	4.41631	4.43149	36041	0	90
2020.12.10	4.43212	4.43367	4.41720	4.42411	36142	0	90
2020.12.11	4.42358	4.45117	4.41990	4.44575	37579	0	90
2020.12.14	4.43658	4.46259	4.42785	4.43470	38227	0	90
2020.12.15	4.43527	4.44946	4.43091	4.43981	41745	0	93
2020.12.16	4.44037	4.44633	4.42689	4.43277	39342	0	91
2020.12.17	4.43283	4.44317	4.42722	4.43666	32363	0	90
2020.12.18	4.43775	4.51697	4.43442	4.46832	37957	0	90
2020.12.21	4.47515	4.52427	4.47367	4.48959	65566	0	90
2020.12.22	4.49037	4.51522	4.48756	4.50088	57397	0	95
2020.12.23	4.50105	4.50980	4.48877	4.50058	55866	0	91
2020.12.24	4.50016	4.50848	4.49401	4.49577	37821	0	90
2020.12.28	4.49676	4.51574	4.47942	4.49502	48324	0	92
2020.12.29	4.49185	4.56959	4.47571	4.53276	40536	0	90
2020.12.30	4.53296	4.60490	4.51135	4.57636	26869	0	90
2020.12.31	4.57516	4.62100	4.54216	4.55811	13669	0	90
2021.01.04	4.55836	4.56092	4.52279	4.55116	33365	0	105
2021.01.05	4.55116	4.56086	4.52470	4.52470	19841	0	91
2021.01.06	4.52775	4.53873	4.50550	4.52046	31062	0	94
2021.01.07	4.52322	4.52563	4.49289	4.51524	27545	0	91
2021.01.08	4.51465	4.52822	4.50575	4.50629	33332	0	140
2021.01.11	4.50996	4.53225	4.50565	4.52245	30883	0	94
2021.01.12	4.52596	4.52976	4.51529	4.51529	27375	0	104
2021.01.13	4.51652	4.54470	4.51640	4.53388	22977	0	92
2021.01.14	4.53571	4.55064	4.53195	4.53719	22792	0	95
2021.01.15	4.54035	4.54909	4.53229	4.53229	33928	0	94
2021.01.18	4.53223	4.54779	4.52526	4.53079	24341	0	93
2021.01.19	4.53096	4.53756	4.52294	4.52939	27377	0	107
2021.01.20	4.53090	4.54729	4.52181	4.52899	29690	0	90
2021.01.21	4.52958	4.53520	4.52487	4.52749	29917	0	104
2021.01.22	4.52826	4.54352	4.52648	4.53560	18018	0	127
2021.01.25	4.53380	4.54315	4.53110	4.53549	32592	0	99
2021.01.26	4.53449	4.55325	4.53428	4.54100	22699	0	104
2021.01.27	4.54038	4.55425	4.54016	4.54474	32253	0	95
2021.01.28	4.54557	4.56066	4.53610	4.53640	26155	0	112
2021.01.29	4.53590	4.54276	4.51476	4.51719	25997	0	94
2021.02.01	4.51460	4.52418	4.49810	4.50560	18350	0	104
2021.02.02	4.50696	4.51060	4.47264	4.47835	20808	0	90
2021.02.03	4.47790	4.49487	4.47196	4.48279	14519	0	92
2021.02.04	4.48447	4.50356	4.47879	4.49650	15329	0	90
2021.02.05	4.49640	4.50366	4.47835	4.47835	17538	0	91
2021.02.08	4.48287	4.48922	4.47098	4.47165	14289	0	90
2021.02.09	4.47119	4.48226	4.47119	4.47254	14224	0	125
2021.02.10	4.47040	4.49382	4.46957	4.48738	23650	0	95
2021.02.11	4.48827	4.50666	4.48507	4.49806	27565	0	114
2021.02.12	4.49710	4.50783	4.49167	4.49167	18823	0	123
2021.02.15	4.49329	4.49596	4.47877	4.47929	13230	0	122
2021.02.16	4.47949	4.49858	4.47949	4.49102	25803	0	99
2021.02.17	4.48829	4.50456	4.48609	4.48639	35313	0	93
2021.02.18	4.48449	4.49627	4.47743	4.48459	39996	0	90
2021.02.19	4.48392	4.49100	4.47809	4.48069	21518	0	102
2021.02.22	4.47973	4.49852	4.47930	4.49129	23438	0	125
2021.02.23	4.48679	4.50886	4.48599	4.50530	21971	0	119
2021.02.24	4.50297	4.52393	4.50180	4.50181	34726	0	91
2021.02.25	4.50280	4.52357	4.50176	4.51730	25881	0	94
2021.02.26	4.51389	4.52590	4.50686	4.51590	41896	0	90
2021.03.01	4.51651	4.53563	4.50886	4.52858	55900	0	101
2021.03.02	4.52959	4.54281	4.52784	4.53910	36418	0	107
2021.03.03	4.53259	4.55182	4.53005	4.54548	31884	0	95
