<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.30	85.90325	86.94518	85.81950	86.72550	88815	0	2889
2020.07.31	87.34375	88.01037	87.12517	87.35550	87133	0	3395
2020.08.03	87.34234	87.66407	85.91350	86.04550	77034	0	2873
2020.08.04	85.85546	87.24814	85.74350	86.73529	79318	0	2878
2020.08.05	86.59392	86.80057	86.18550	86.30870	83625	0	2893
2020.08.06	86.55644	87.27625	86.25235	87.05550	86025	0	2897
2020.08.07	87.01527	87.33990	86.55950	86.78050	86460	0	3300
2020.08.10	86.88099	87.07550	86.11276	86.23050	65168	0	3284
2020.08.11	86.21241	86.27348	85.57350	85.76050	87637	0	2871
2020.08.12	85.77149	87.03759	85.69550	86.73550	79450	0	3295
2020.08.13	86.78292	87.22398	86.08350	86.20550	78792	0	3268
2020.08.14	86.07361	86.79233	85.98150	86.18550	68109	0	3015
2020.08.17	86.49960	87.49050	86.21059	87.38550	69485	0	3306
2020.08.18	87.33396	87.58840	86.66150	87.25050	78427	0	980
2020.08.19	87.13857	87.79439	86.63447	86.75050	78411	0	2892
2020.08.20	86.85627	87.83587	86.72950	87.40550	87563	0	3336
2020.08.21	87.54786	88.28463	87.30750	88.07550	84079	0	3360
2020.08.24	87.91211	88.10736	87.57950	87.90832	67000	0	3264
2020.08.25	87.92284	89.40520	87.68150	89.08050	76678	0	3288
2020.08.26	89.09088	89.77576	88.83750	89.25550	78012	0	2854
2020.08.27	89.20737	89.31544	88.33457	88.50550	104864	0	3404
2020.08.28	88.41182	88.88486	87.88550	88.02050	88720	0	1198
2020.08.31	88.19314	88.99950	87.56538	88.32550	76529	0	3444
2020.09.01	88.13432	88.31550	87.54550	87.77050	86896	0	2909
2020.09.02	87.79133	89.61407	87.54550	89.10550	91946	0	3437
2020.09.03	89.05691	89.51896	88.53150	89.13050	100809	0	3404
2020.09.04	89.08550	89.41896	88.70150	89.15050	98643	0	3369
2020.09.07	89.33610	90.07270	89.17750	89.25606	62141	0	1768
2020.09.08	89.69986	90.24386	89.35281	89.81550	98167	0	2774
2020.09.09	89.80900	89.92619	88.83591	88.89550	83093	0	2962
2020.09.10	88.96430	89.45595	88.73550	88.89550	97833	0	3378
2020.09.11	88.77434	88.97159	88.36150	88.82550	78108	0	3394
2020.09.14	88.59122	89.64207	88.37050	89.19050	65692	0	3388
2020.09.15	88.97588	89.53175	88.59950	88.75550	63860	0	2968
2020.09.16	88.75550	89.04912	88.25950	88.50148	81017	0	2965
2020.09.17	88.52173	89.12605	88.22550	89.00050	79762	0	1785
2020.09.18	88.91248	89.72923	88.70150	89.67050	70112	0	3469
2020.09.21	89.64421	90.38373	89.52296	89.70050	93137	0	3568
2020.09.22	89.64440	89.69070	88.87150	88.99050	87000	0	1160
2020.09.23	89.10055	89.98545	88.97350	89.81550	84868	0	3520
2020.09.24	89.90050	90.21256	89.44950	89.94050	92706	0	3679
2020.09.25	89.61684	91.23299	89.51638	90.91550	93394	0	1260
2020.09.28	90.69296	92.39562	90.69296	92.19050	85407	0	4127
2020.09.29	92.52293	93.29897	91.86750	92.62050	109458	0	1043
2020.09.30	92.99561	93.12468	90.82350	91.01537	102009	0	4135
2020.10.01	90.51029	91.11847	90.42750	90.77550	95831	0	4139
2020.10.02	91.19871	92.21914	91.11150	91.52050	99651	0	3182
2020.10.05	91.37757	92.73404	91.20686	92.04050	72608	0	4486
2020.10.06	92.08263	92.66277	91.55352	92.01825	86407	0	4264
2020.10.07	91.75052	92.32282	91.54350	91.69050	72848	0	4244
2020.10.08	91.54406	91.84150	90.71550	90.86686	66249	0	4255
2020.10.09	90.80668	91.17273	90.39150	90.76550	64961	0	4265
