<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	1.09627	1.09675	1.08205	1.08555	107000	0	6
2020.04.03	1.08525	1.08631	1.07725	1.08071	95400	0	6
2020.04.06	1.08102	1.08352	1.07681	1.07926	95641	0	6
2020.04.07	1.07921	1.09255	1.07820	1.08912	84072	0	6
2020.04.08	1.08911	1.09019	1.08298	1.08542	78581	0	6
2020.04.09	1.08506	1.09515	1.08407	1.09290	80690	0	6
2020.04.10	1.09291	1.09527	1.09187	1.09329	39139	0	6
2020.04.13	1.09433	1.09676	1.08924	1.09088	54553	0	6
2020.04.14	1.09083	1.09870	1.09007	1.09817	71766	0	6
2020.04.15	1.09780	1.09905	1.08561	1.09112	69974	0	6
2020.04.16	1.09075	1.09112	1.08163	1.08387	78398	0	6
2020.04.17	1.08365	1.08922	1.08118	1.08707	77998	0	6
2020.04.20	1.08677	1.08965	1.08414	1.08621	64114	0	6
2020.04.21	1.08597	1.08800	1.08163	1.08566	75825	0	6
2020.04.22	1.08543	1.08850	1.08030	1.08227	61900	0	6
2020.04.23	1.08197	1.08464	1.07559	1.07748	80727	0	6
2020.04.24	1.07729	1.08291	1.07268	1.08214	73561	0	6
2020.04.27	1.08173	1.08597	1.08111	1.08291	65958	0	6
2020.04.28	1.08270	1.08882	1.08095	1.08194	64114	0	6
2020.04.29	1.08178	1.08856	1.08175	1.08750	63170	0	6
2020.04.30	1.08712	1.09726	1.08327	1.09512	84747	0	6
2020.05.01	1.09519	1.10164	1.09343	1.09792	61041	0	6
2020.05.04	1.09787	1.09793	1.08951	1.09034	66163	0	6
2020.05.05	1.09043	1.09256	1.08257	1.08372	65755	0	6
2020.05.06	1.08404	1.08455	1.07817	1.07953	63218	0	6
2020.05.07	1.07916	1.08338	1.07662	1.08312	66089	0	6
2020.05.08	1.08322	1.08753	1.08148	1.08367	57429	0	6
2020.05.11	1.08230	1.08502	1.08001	1.08058	57694	0	6
2020.05.12	1.08045	1.08853	1.07841	1.08481	66694	0	6
2020.05.13	1.08473	1.08962	1.08114	1.08185	70437	0	6
2020.05.14	1.08169	1.08237	1.07745	1.08040	63042	0	6
2020.05.15	1.08036	1.08510	1.07885	1.08173	61955	0	6
2020.05.18	1.08085	1.09268	1.07995	1.09136	58145	0	6
2020.05.19	1.09175	1.09758	1.09019	1.09230	61098	0	6
2020.05.20	1.09200	1.09988	1.09183	1.09780	55241	0	6
2020.05.21	1.09813	1.10081	1.09369	1.09490	55512	0	6
2020.05.22	1.09476	1.09535	1.08851	1.08995	50238	0	6
2020.05.25	1.08997	1.09142	1.08703	1.08959	34022	0	6
2020.05.26	1.08959	1.09956	1.08909	1.09821	55138	0	6
2020.05.27	1.09810	1.10305	1.09337	1.10088	88125	0	6
2020.05.28	1.10017	1.10932	1.09914	1.10769	80809	0	6
2020.05.29	1.10695	1.11449	1.10695	1.11041	93202	0	6
2020.06.01	1.11159	1.11536	1.11002	1.11337	74708	0	6
2020.06.02	1.11351	1.11957	1.11149	1.11686	83154	0	6
2020.06.03	1.11681	1.12575	1.11664	1.12331	90714	0	6
2020.06.04	1.12325	1.13619	1.11946	1.13351	96663	0	6
2020.06.05	1.13368	1.13835	1.12782	1.12918	93662	0	6
2020.06.08	1.12973	1.13196	1.12681	1.12937	75032	0	6
2020.06.09	1.12913	1.13635	1.12408	1.13379	91911	0	6
2020.06.10	1.13379	1.14221	1.13217	1.13752	91167	0	6
2020.06.11	1.13734	1.14034	1.12884	1.12976	117164	0	6
2020.06.12	1.12913	1.13401	1.12122	1.12558	110796	0	6
2020.06.15	1.12375	1.13323	1.12263	1.13223	106345	0	6
2020.06.16	1.13147	1.13531	1.12276	1.12634	96541	0	6
2020.06.17	1.12603	1.12937	1.12071	1.12427	89301	0	6
2020.06.18	1.12418	1.12610	1.11854	1.12044	84702	0	6
2020.06.19	1.12036	1.12542	1.11678	1.11771	84501	0	6
2020.06.22	1.11815	1.12695	1.11683	1.12612	70521	0	6
2020.06.23	1.12590	1.13483	1.12329	1.13084	85966	0	6
2020.06.24	1.13083	1.13254	1.12481	1.12497	76319	0	6
2020.06.25	1.12504	1.12593	1.11901	1.12179	78919	0	6
2020.06.26	1.12137	1.12391	1.11949	1.12176	59472	0	6
2020.06.29	1.12158	1.12874	1.12153	1.12422	62600	0	6
2020.06.30	1.12345	1.12618	1.11907	1.12331	70043	0	6
2020.07.01	1.12335	1.12749	1.11845	1.12507	69439	0	6
2020.07.02	1.12505	1.13024	1.12230	1.12391	65939	0	6
2020.07.03	1.12330	1.12522	1.12190	1.12471	53781	0	6
2020.07.06	1.12423	1.13453	1.12418	1.13084	61168	0	6
2020.07.07	1.13071	1.13323	1.12586	1.12739	65743	0	6
2020.07.08	1.12725	1.13513	1.12620	1.13293	64904	0	6
2020.07.09	1.13291	1.13705	1.12800	1.12844	75207	0	6
2020.07.10	1.12817	1.13246	1.12547	1.12988	61536	0	6
2020.07.13	1.13035	1.13747	1.13007	1.13423	68439	0	6
2020.07.14	1.13419	1.14084	1.13249	1.13996	79080	0	6
2020.07.15	1.14002	1.14517	1.13909	1.14113	69641	0	6
2020.07.16	1.14090	1.14415	1.13701	1.13819	71094	0	6
2020.07.17	1.13835	1.14435	1.13722	1.14264	56220	0	6
2020.07.20	1.14175	1.14674	1.14024	1.14472	71421	0	6
2020.07.21	1.14442	1.15396	1.14227	1.15283	73901	0	6
2020.07.22	1.15270	1.16010	1.15066	1.15698	86878	0	6
2020.07.23	1.15683	1.16265	1.15400	1.15969	80819	0	6
2020.07.24	1.15909	1.16580	1.15810	1.16541	79121	0	6
2020.07.27	1.16435	1.17811	1.16415	1.17511	85816	0	6
2020.07.28	1.17464	1.17734	1.16986	1.17164	87276	0	6
2020.07.29	1.17136	1.18058	1.17120	1.17897	84187	0	6
2020.07.30	1.17843	1.18480	1.17306	1.18465	86212	0	6
2020.07.31	1.18455	1.19085	1.17613	1.17762	105013	0	6
2020.08.03	1.17707	1.17965	1.16955	1.17623	80022	0	6
2020.08.04	1.17626	1.18057	1.17211	1.18022	76174	0	6
2020.08.05	1.17965	1.19046	1.17928	1.18639	74332	0	6
2020.08.06	1.18611	1.19158	1.18177	1.18765	87380	0	6
2020.08.07	1.18687	1.18828	1.17550	1.17847	84340	0	6
2020.08.10	1.17857	1.18004	1.17358	1.17362	56224	0	6
2020.08.11	1.17364	1.18077	1.17219	1.17391	80155	0	6
2020.08.12	1.17389	1.18158	1.17109	1.17848	84772	0	6
2020.08.13	1.17845	1.18639	1.17801	1.18141	73644	0	6
2020.08.14	1.18137	1.18502	1.17815	1.18413	57002	0	6
2020.08.17	1.18394	1.18807	1.18285	1.18697	54809	0	6
2020.08.18	1.18691	1.19653	1.18615	1.19307	70976	0	6
2020.08.19	1.19297	1.19524	1.18300	1.18386	76582	0	6
2020.08.20	1.18375	1.18685	1.18018	1.18609	79815	0	6
2020.08.21	1.18599	1.18826	1.17540	1.17951	75076	0	6
2020.08.24	1.17908	1.18494	1.17840	1.17869	59233	0	6
2020.08.25	1.17908	1.18433	1.17840	1.18335	69274	0	6
2020.08.26	1.18338	1.18390	1.17721	1.18297	66674	0	6
2020.08.27	1.18294	1.19015	1.17623	1.18215	98826	0	6
2020.08.28	1.18191	1.19195	1.18107	1.19043	94308	0	6
2020.08.31	1.19011	1.19658	1.18838	1.19357	72512	0	6
2020.09.01	1.19307	1.20111	1.19012	1.19113	88404	0	6
2020.09.02	1.19129	1.19285	1.18219	1.18540	80001	0	6
2020.09.03	1.18524	1.18702	1.17886	1.18510	85340	0	6
2020.09.04	1.18492	1.18651	1.17808	1.18375	88566	0	6
2020.09.07	1.18457	1.18484	1.18111	1.18118	45580	0	6
2020.09.08	1.18125	1.18272	1.17653	1.17734	85920	0	6
2020.09.09	1.17731	1.18335	1.17526	1.18026	77701	0	6
2020.09.10	1.18008	1.19172	1.17967	1.18143	90559	0	6
2020.09.11	1.18107	1.18738	1.18107	1.18448	70984	0	6
2020.09.14	1.18363	1.18877	1.18317	1.18631	56223	0	6
2020.09.15	1.18585	1.19002	1.18394	1.18460	60712	0	6
2020.09.16	1.18482	1.18822	1.17872	1.18160	79912	0	6
2020.09.17	1.18144	1.18521	1.17370	1.18477	80740	0	6
2020.09.18	1.18449	1.18701	1.18260	1.18398	65850	0	6
2020.09.21	1.18418	1.18714	1.17313	1.17714	86120	0	6
2020.09.22	1.17660	1.17742	1.16914	1.17050	84543	0	6
2020.09.23	1.17067	1.17188	1.16511	1.16595	80975	0	6
2020.09.24	1.16614	1.16867	1.16262	1.16676	84427	0	6
2020.09.25	1.16738	1.16848	1.16120	1.16307	73094	0	6
2020.09.28	1.16201	1.16798	1.16149	1.16663	59443	0	6
2020.09.29	1.16606	1.17452	1.16587	1.17428	61803	0	6
2020.09.30	1.17429	1.17545	1.16845	1.17206	82832	0	6
2020.10.01	1.17197	1.17694	1.17170	1.17453	80242	0	6
2020.10.02	1.17391	1.17510	1.16955	1.17158	88067	0	6
2020.10.05	1.17119	1.17972	1.17050	1.17840	57876	0	6
2020.10.06	1.17772	1.18075	1.17314	1.17331	72560	0	6
2020.10.07	1.17331	1.17815	1.17247	1.17635	66027	0	6
2020.10.08	1.17601	1.17815	1.17329	1.17599	58655	0	6
2020.10.09	1.17597	1.18307	1.17498	1.18299	57228	0	6
