<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	1.82779	1.83323	1.82411	1.83055	108798	0	42
2020.10.28	1.83008	1.84387	1.82144	1.84120	114740	0	42
2020.10.29	1.84200	1.84919	1.83449	1.83706	133005	0	42
2020.10.30	1.83777	1.84533	1.83256	1.84191	155862	0	42
2020.11.02	1.83923	1.84677	1.82908	1.83021	142851	0	42
2020.11.03	1.82996	1.83751	1.81851	1.82307	117905	0	42
2020.11.04	1.82271	1.83610	1.80615	1.80865	177134	0	42
2020.11.05	1.80840	1.81363	1.80006	1.80504	175852	0	42
2020.11.06	1.80454	1.81246	1.80392	1.81039	156961	0	42
2020.11.09	1.80743	1.81241	1.79352	1.80784	188292	0	42
2020.11.10	1.80743	1.82650	1.80701	1.82139	174091	0	42
2020.11.11	1.82016	1.82352	1.81363	1.81617	134267	0	42
2020.11.12	1.81562	1.81779	1.80677	1.81380	125116	0	42
2020.11.13	1.81171	1.81905	1.81171	1.81517	101335	0	42
2020.11.16	1.81224	1.81529	1.79873	1.80268	112140	0	42
2020.11.17	1.80166	1.81777	1.80078	1.81459	111254	0	42
2020.11.18	1.81360	1.82167	1.81193	1.81529	109761	0	42
2020.11.19	1.81614	1.82398	1.81300	1.82032	116819	0	42
2020.11.20	1.81991	1.82289	1.81401	1.81884	107208	0	42
2020.11.23	1.81941	1.83151	1.81732	1.82810	112550	0	42
2020.11.24	1.82731	1.82845	1.81407	1.81494	113430	0	42
2020.11.25	1.81372	1.82184	1.81170	1.81714	114846	0	42
2020.11.26	1.81659	1.81987	1.80993	1.81358	68190	0	42
2020.11.27	1.81442	1.81600	1.79810	1.80014	82226	0	42
2020.11.30	1.80393	1.81637	1.79878	1.81377	122760	0	42
2020.12.01	1.81264	1.82462	1.81089	1.82026	108835	0	42
2020.12.02	1.82045	1.82193	1.80159	1.80203	111001	0	42
2020.12.03	1.80093	1.81435	1.80082	1.80742	105897	0	42
2020.12.04	1.80654	1.82146	1.80561	1.80841	113291	0	42
2020.12.07	1.80346	1.80821	1.78618	1.80288	99873	0	42
2020.12.08	1.80168	1.80455	1.79135	1.80245	104079	0	42
2020.12.09	1.80195	1.80452	1.79369	1.80095	95547	0	42
2020.12.10	1.79855	1.80401	1.76198	1.76332	100824	0	42
2020.12.11	1.76371	1.76823	1.74248	1.75471	98970	0	42
2020.12.14	1.76682	1.77631	1.76320	1.76929	99488	0	42
2020.12.15	1.76832	1.78262	1.76644	1.78105	93022	0	42
2020.12.16	1.78013	1.79062	1.77812	1.78248	98903	0	42
2020.12.17	1.78210	1.78625	1.77760	1.78077	87518	0	42
2020.12.18	1.78025	1.78349	1.76928	1.77387	82247	0	42
2020.12.21	1.76642	1.77685	1.75894	1.77433	104944	0	42
2020.12.22	1.77336	1.78361	1.76870	1.77619	93079	0	42
2020.12.23	1.77564	1.78787	1.77194	1.78090	85300	0	42
2020.12.24	1.78182	1.79253	1.78009	1.78213	60075	0	42
2020.12.28	1.78077	1.78467	1.77249	1.77477	81891	0	42
