<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	1.71857	1.72089	1.71488	1.71865	93209	0	44
2020.10.28	1.71911	1.73204	1.71520	1.72933	112838	0	44
2020.10.29	1.72939	1.73487	1.71891	1.72079	120697	0	44
2020.10.30	1.72149	1.72821	1.71852	1.72456	131148	0	44
2020.11.02	1.72049	1.72793	1.70638	1.70704	115279	0	44
2020.11.03	1.70672	1.71830	1.70567	1.71596	110215	0	44
2020.11.04	1.71385	1.72234	1.70241	1.70526	196700	0	44
2020.11.05	1.70389	1.71652	1.69751	1.71502	167388	0	44
2020.11.06	1.71604	1.71946	1.71081	1.71698	157024	0	44
2020.11.09	1.71631	1.71730	1.70238	1.71185	157881	0	44
2020.11.10	1.71131	1.73050	1.71043	1.72929	160345	0	44
2020.11.11	1.72616	1.73443	1.72223	1.72697	120728	0	44
2020.11.12	1.72629	1.73008	1.71878	1.72417	129827	0	44
2020.11.13	1.72199	1.73583	1.72156	1.73263	107833	0	44
2020.11.16	1.72966	1.73488	1.72102	1.72536	90597	0	44
2020.11.17	1.72353	1.73835	1.72327	1.73575	117884	0	44
2020.11.18	1.73472	1.74119	1.73114	1.73578	115665	0	44
2020.11.19	1.73487	1.73778	1.72831	1.73325	117698	0	44
2020.11.20	1.73276	1.74019	1.73045	1.73890	104657	0	44
2020.11.23	1.73874	1.74951	1.73775	1.74295	103874	0	44
2020.11.24	1.74209	1.74326	1.73558	1.73642	121365	0	44
2020.11.25	1.73419	1.74136	1.73177	1.74069	119534	0	44
2020.11.26	1.73980	1.74134	1.73287	1.73824	91029	0	44
2020.11.27	1.73774	1.74028	1.72525	1.72787	107018	0	44
2020.11.30	1.73170	1.73466	1.72551	1.73277	113632	0	44
2020.12.01	1.73162	1.74073	1.72686	1.73573	118424	0	44
2020.12.02	1.73519	1.73723	1.71973	1.72642	122097	0	44
2020.12.03	1.72464	1.73988	1.72464	1.73002	109095	0	44
2020.12.04	1.72812	1.73519	1.71447	1.71674	108365	0	44
2020.12.07	1.71336	1.71720	1.69637	1.71201	97446	0	44
2020.12.08	1.71138	1.71432	1.70077	1.71184	108041	0	44
2020.12.09	1.71109	1.72208	1.70932	1.71804	104365	0	44
2020.12.10	1.71614	1.71880	1.68689	1.69292	121653	0	44
2020.12.11	1.69149	1.69614	1.67670	1.68764	110695	0	44
