<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	1.18162	1.18567	1.18027	1.18541	59772	0	44
2020.10.28	1.18527	1.18814	1.17817	1.18183	70722	0	44
2020.10.29	1.18180	1.18693	1.17881	1.18258	80713	0	44
2020.10.30	1.18309	1.19004	1.17959	1.18698	84881	0	44
2020.11.02	1.18389	1.18868	1.18007	1.18719	71307	0	44
2020.11.03	1.18580	1.19261	1.18527	1.19129	65545	0	44
2020.11.04	1.19115	1.19579	1.18159	1.18427	110394	0	44
2020.11.05	1.18267	1.18943	1.17904	1.18850	100287	0	44
2020.11.06	1.18881	1.18953	1.17959	1.18327	95744	0	44
2020.11.09	1.18294	1.20327	1.18051	1.20246	116443	0	44
2020.11.10	1.20151	1.21576	1.20081	1.21437	111864	0	44
2020.11.11	1.21189	1.21963	1.21070	1.21220	86645	0	44
2020.11.12	1.21101	1.21250	1.19902	1.20061	75786	0	44
2020.11.13	1.19952	1.20561	1.19876	1.20420	70212	0	44
2020.11.16	1.20200	1.20753	1.19949	1.20420	70619	0	44
2020.11.17	1.20375	1.20803	1.20290	1.20735	71288	0	44
2020.11.18	1.20683	1.21217	1.20647	1.20834	71803	0	44
2020.11.19	1.20912	1.20983	1.20372	1.20741	72398	0	44
2020.11.20	1.20707	1.21183	1.20522	1.21006	67199	0	44
2020.11.23	1.21052	1.21836	1.21051	1.21528	79344	0	44
2020.11.24	1.21386	1.21913	1.21352	1.21722	80106	0	44
2020.11.25	1.21651	1.21841	1.21356	1.21569	81353	0	44
2020.11.26	1.21437	1.21575	1.20806	1.21027	57280	0	44
2020.11.27	1.21019	1.21293	1.20166	1.20365	65743	0	44
2020.11.30	1.20477	1.21134	1.20088	1.21054	79963	0	44
2020.12.01	1.20870	1.21485	1.20318	1.20758	75995	0	44
2020.12.02	1.20604	1.20834	1.19094	1.19559	81869	0	44
2020.12.03	1.19440	1.20274	1.19439	1.19795	71890	0	44
2020.12.04	1.19861	1.20359	1.19473	1.19756	76109	0	44
