<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	136.491	136.583	136.094	136.251	68511	0	19
2020.10.28	136.258	136.275	134.878	135.411	103706	0	19
2020.10.29	135.418	135.942	134.639	135.133	98454	0	19
2020.10.30	135.172	135.796	134.396	135.533	107608	0	19
2020.11.02	135.106	135.429	134.868	135.312	83235	0	19
2020.11.03	135.257	136.684	135.142	136.499	89886	0	19
2020.11.04	136.551	137.374	135.361	135.728	167872	0	19
2020.11.05	135.683	136.303	135.072	136.115	123860	0	19
2020.11.06	135.984	136.231	135.457	135.931	113530	0	19
2020.11.09	135.932	138.905	135.737	138.704	142346	0	19
2020.11.10	138.596	139.765	138.157	139.694	128126	0	19
2020.11.11	139.630	140.257	139.196	139.403	98997	0	19
2020.11.12	139.345	139.427	137.737	137.936	99029	0	19
2020.11.13	137.837	138.505	137.536	138.072	88521	0	19
2020.11.16	137.897	138.857	137.659	138.026	87097	0	19
2020.11.17	137.894	138.350	137.809	138.014	79410	0	19
2020.11.18	137.969	138.187	137.692	137.699	76699	0	19
2020.11.19	137.761	137.992	137.187	137.570	86337	0	19
2020.11.20	137.561	138.050	137.410	137.955	69931	0	19
2020.11.23	137.954	139.337	137.841	139.263	80711	0	19
2020.11.24	139.156	139.834	139.110	139.542	88538	0	19
2020.11.25	139.447	139.853	138.993	139.829	83358	0	19
2020.11.26	139.738	139.830	138.918	139.192	61153	0	19
2020.11.27	139.204	139.273	138.269	138.456	71067	0	19
2020.11.30	138.624	139.459	138.306	138.955	89815	0	19
2020.12.01	138.923	140.295	138.886	140.000	91061	0	19
2020.12.02	139.954	140.441	138.884	139.540	94741	0	19
2020.12.03	139.440	140.278	139.406	139.688	91653	0	19
2020.12.04	139.587	140.697	139.458	139.934	92227	0	19
2020.12.07	139.648	139.874	137.897	139.194	93866	0	19
2020.12.08	139.152	139.357	138.399	139.108	97412	0	19
2020.12.09	139.079	140.324	139.013	139.723	82013	0	19
2020.12.10	139.447	139.780	138.380	138.496	98263	0	19
2020.12.11	138.533	138.728	136.786	137.545	95383	0	19
2020.12.14	138.742	139.435	138.260	138.669	90528	0	19
2020.12.15	138.584	139.601	138.271	139.536	84406	0	19
2020.12.16	139.481	140.063	139.140	139.703	93593	0	19
2020.12.17	139.641	140.439	139.571	140.011	83589	0	19
2020.12.18	140.007	140.314	139.308	139.720	82197	0	19
2020.12.21	138.999	139.500	136.961	139.039	122018	0	19
2020.12.22	139.069	139.157	137.991	138.453	100718	0	19
2020.12.23	138.361	140.308	138.357	139.732	103814	0	19
2020.12.24	139.699	141.210	139.645	140.295	70815	0	19
2020.12.28	140.227	140.564	139.472	139.647	77055	0	19
2020.12.29	139.553	140.161	139.478	139.802	112575	0	19
2020.12.30	139.726	140.665	139.661	140.604	91016	0	19
2020.12.31	140.358	141.220	140.302	141.123	81600	0	19
2021.01.04	140.825	141.300	139.682	139.955	108705	0	19
2021.01.05	139.917	140.144	139.508	139.954	98479	0	19
2021.01.06	139.826	140.567	139.780	140.216	126135	0	19
2021.01.07	140.120	140.987	140.017	140.818	104730	0	19
2021.01.08	140.658	141.369	140.658	140.920	104739	0	19
2021.01.11	140.844	141.029	140.330	140.791	85000	0	19
2021.01.12	140.706	142.020	140.609	141.757	90920	0	19
2021.01.13	141.734	142.249	141.519	141.619	81683	0	19
2021.01.14	141.584	142.230	141.518	142.038	89976	0	19
2021.01.15	141.927	142.128	140.949	141.076	75942	0	19
2021.01.18	141.012	141.208	140.351	140.859	73999	0	19
2021.01.19	140.825	141.731	140.738	141.665	74190	0	19
2021.01.20	141.524	142.323	141.075	141.417	77885	0	19
2021.01.21	141.362	142.212	141.278	142.119	80088	0	19
2021.01.22	142.041	142.198	141.506	141.933	66051	0	19
2021.01.25	141.963	142.317	141.649	141.887	64946	0	19
2021.01.26	141.830	142.448	141.277	142.309	66436	0	19
2021.01.27	142.330	142.848	142.192	142.510	75303	0	19
2021.01.28	142.357	143.261	142.183	143.084	81575	0	19
2021.01.29	142.923	143.946	142.856	143.401	96073	0	19
2021.02.01	143.577	144.091	143.312	143.373	70609	0	19
2021.02.02	143.265	143.769	143.125	143.464	60670	0	19
2021.02.03	143.382	143.680	143.105	143.283	62208	0	19
2021.02.04	143.189	144.354	142.831	144.298	73374	0	19
2021.02.05	144.121	144.882	144.004	144.694	68434	0	19
2021.02.08	144.414	144.924	144.399	144.599	73021	0	19
2021.02.09	144.494	144.660	144.027	144.423	92022	0	19
2021.02.10	144.455	145.057	144.205	144.688	64108	0	19
2021.02.11	144.632	144.899	144.520	144.701	45970	0	19
2021.02.12	144.632	145.471	144.489	145.341	47852	0	19
2021.02.15	145.281	146.629	145.235	146.445	43766	0	19
2021.02.16	146.496	147.456	146.303	147.410	64661	0	19
2021.02.17	147.324	147.559	146.408	146.763	65985	0	19
2021.02.18	146.628	147.778	146.542	147.629	57629	0	19
2021.02.19	147.546	148.151	147.275	147.577	61206	0	19
2021.02.22	147.616	148.284	147.535	147.747	66147	0	19
2021.02.23	147.696	148.599	147.650	148.554	59941	0	19
2021.02.24	148.308	150.057	148.297	149.651	73899	0	19
2021.02.25	149.576	150.435	148.469	148.829	92588	0	19
2021.02.26	148.756	149.167	147.397	148.264	105567	0	19
2021.03.01	148.411	149.289	148.328	148.659	69563	0	19
2021.03.02	148.458	149.185	148.103	148.909	70439	0	19
2021.03.03	148.837	149.690	148.749	149.421	61894	0	19
