<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	1.95031	1.95040	1.93998	1.94372	102071	0	54
2020.10.28	1.94335	1.95787	1.93979	1.95369	121720	0	54
2020.10.29	1.95406	1.96116	1.94664	1.94824	131187	0	54
2020.10.30	1.94919	1.96193	1.94483	1.95739	130640	0	54
2020.11.02	1.95533	1.96018	1.94558	1.94657	119273	0	54
2020.11.03	1.94676	1.95133	1.94356	1.94899	96632	0	54
2020.11.04	1.94988	1.95681	1.93429	1.93860	167084	0	54
2020.11.05	1.93875	1.94288	1.93200	1.94112	160891	0	54
2020.11.06	1.94127	1.94560	1.93150	1.94099	150093	0	54
2020.11.09	1.93762	1.93987	1.92173	1.93007	167266	0	54
2020.11.10	1.92990	1.94824	1.92747	1.94212	158476	0	54
2020.11.11	1.94230	1.94613	1.91848	1.92072	127257	0	54
2020.11.12	1.92032	1.92235	1.90961	1.91762	124583	0	54
2020.11.13	1.91550	1.93140	1.91496	1.92697	117803	0	54
2020.11.16	1.92408	1.92681	1.90910	1.91123	105069	0	54
2020.11.17	1.90978	1.92733	1.90976	1.92196	113823	0	54
2020.11.18	1.92133	1.92652	1.91242	1.91562	113798	0	54
2020.11.19	1.91656	1.92391	1.91277	1.91616	105554	0	54
2020.11.20	1.91622	1.91834	1.90923	1.91663	108758	0	54
2020.11.23	1.91763	1.92781	1.91213	1.92374	108686	0	54
2020.11.24	1.92367	1.92525	1.90718	1.91403	116138	0	54
2020.11.25	1.91249	1.91944	1.90701	1.90995	114112	0	54
2020.11.26	1.90896	1.91324	1.90299	1.90597	79253	0	54
2020.11.27	1.90558	1.90726	1.88955	1.89389	96710	0	54
2020.11.30	1.89498	1.90346	1.89076	1.89922	120144	0	54
2020.12.01	1.89759	1.90294	1.89131	1.89895	114825	0	54
2020.12.02	1.89868	1.90173	1.88700	1.89075	114854	0	54
2020.12.03	1.88917	1.90731	1.88799	1.90015	100210	0	54
2020.12.04	1.90002	1.91843	1.89967	1.90720	111032	0	54
2020.12.07	1.90298	1.90882	1.88453	1.89940	112535	0	54
2020.12.08	1.89840	1.90084	1.88818	1.89552	93917	0	54
2020.12.09	1.89570	1.90810	1.89044	1.90782	101655	0	54
2020.12.10	1.90667	1.91092	1.87149	1.87149	112320	0	54
2020.12.11	1.87227	1.87627	1.85207	1.86560	107313	0	54
2020.12.14	1.87902	1.88992	1.87526	1.88203	110183	0	54
2020.12.15	1.88082	1.89972	1.87931	1.89831	114066	0	54
2020.12.16	1.89815	1.90901	1.89095	1.89821	116734	0	54
2020.12.17	1.89793	1.90455	1.89182	1.89845	107051	0	54
2020.12.18	1.89866	1.90046	1.88822	1.89373	104785	0	54
2020.12.21	1.88576	1.89921	1.87785	1.89538	137533	0	54
2020.12.22	1.89460	1.90669	1.89122	1.89718	116536	0	54
2020.12.23	1.89654	1.91015	1.89280	1.90146	115022	0	54
2020.12.24	1.90080	1.91468	1.90058	1.90218	76024	0	54
2020.12.28	1.90416	1.90747	1.89175	1.89425	93037	0	54
2020.12.29	1.89301	1.89709	1.88369	1.88851	108069	0	54
2020.12.30	1.88592	1.89240	1.88333	1.89019	99234	0	54
