<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	1.23837	1.24750	1.23472	1.23945	105057	0	8
2020.04.03	1.24017	1.24031	1.22047	1.22650	96735	0	8
2020.04.06	1.22390	1.23269	1.22096	1.22318	85161	0	8
2020.04.07	1.22279	1.23838	1.21645	1.23372	88072	0	8
2020.04.08	1.23264	1.24194	1.22874	1.23813	71598	0	8
2020.04.09	1.23719	1.24831	1.23604	1.24636	82021	0	8
2020.04.10	1.24638	1.24862	1.24324	1.24457	23949	0	8
2020.04.13	1.24553	1.25364	1.24525	1.25039	48153	0	8
2020.04.14	1.25014	1.26472	1.24934	1.26241	72401	0	8
2020.04.15	1.26183	1.26302	1.24364	1.25221	74167	0	8
2020.04.16	1.25111	1.25270	1.24077	1.24557	79111	0	8
2020.04.17	1.24555	1.25221	1.24067	1.24966	74493	0	8
2020.04.20	1.24963	1.24990	1.24160	1.24322	73046	0	8
2020.04.21	1.24291	1.24453	1.22470	1.22933	81617	0	8
2020.04.22	1.22882	1.23853	1.22743	1.23333	68645	0	8
2020.04.23	1.23287	1.24145	1.23075	1.23443	81248	0	8
2020.04.24	1.23477	1.23766	1.22977	1.23628	70340	0	8
2020.04.27	1.23631	1.24542	1.23594	1.24304	64551	0	8
2020.04.28	1.24116	1.25178	1.24034	1.24230	65781	0	8
2020.04.29	1.24172	1.24848	1.23887	1.24702	68221	0	8
2020.04.30	1.24667	1.26426	1.24292	1.25921	81312	0	8
2020.05.01	1.25907	1.26002	1.24826	1.24916	68430	0	8
2020.05.04	1.24836	1.24861	1.24048	1.24414	67414	0	8
2020.05.05	1.24392	1.24835	1.24200	1.24338	65439	0	8
2020.05.06	1.24356	1.24497	1.23350	1.23411	57986	0	8
2020.05.07	1.23394	1.24170	1.22657	1.23610	69294	0	8
2020.05.08	1.23603	1.24669	1.23472	1.24048	52482	0	8
2020.05.11	1.23987	1.24372	1.22828	1.23331	67187	0	8
2020.05.12	1.23318	1.23754	1.22550	1.22592	78711	0	8
2020.05.13	1.22597	1.23396	1.22098	1.22360	85648	0	8
2020.05.14	1.22331	1.22414	1.21655	1.22308	76989	0	8
2020.05.15	1.22249	1.22384	1.21003	1.21003	74203	0	8
2020.05.18	1.20867	1.22271	1.20749	1.21952	71389	0	8
2020.05.19	1.21946	1.22958	1.21838	1.22468	74014	0	8
2020.05.20	1.22425	1.22873	1.22208	1.22367	66527	0	8
2020.05.21	1.22305	1.22494	1.21853	1.22224	66750	0	8
2020.05.22	1.22150	1.22333	1.21611	1.21641	60293	0	8
2020.05.25	1.21709	1.22033	1.21566	1.21808	50024	0	8
2020.05.26	1.21836	1.23626	1.21760	1.23374	70393	0	8
2020.05.27	1.23333	1.23539	1.22041	1.22601	89175	0	8
2020.05.28	1.22589	1.23441	1.22335	1.23221	79526	0	8
2020.05.29	1.23169	1.23936	1.22900	1.23457	106283	0	8
2020.06.01	1.23304	1.25064	1.23252	1.24881	85289	0	8
2020.06.02	1.24929	1.25753	1.24780	1.25515	95189	0	8
2020.06.03	1.25487	1.26149	1.25440	1.25748	96846	0	8
2020.06.04	1.25749	1.26329	1.25002	1.25951	98052	0	8
2020.06.05	1.25965	1.27312	1.25824	1.26661	101194	0	8
2020.06.08	1.26793	1.27356	1.26277	1.27234	81434	0	8
2020.06.09	1.27231	1.27553	1.26181	1.27264	90302	0	8
2020.06.10	1.27253	1.28125	1.27058	1.27454	106385	0	8
2020.06.11	1.27460	1.27541	1.25860	1.26010	125604	0	8
2020.06.12	1.25983	1.26529	1.24732	1.25401	122779	0	8
2020.06.15	1.25151	1.26056	1.24538	1.26051	119260	0	8
2020.06.16	1.26041	1.26871	1.25524	1.25719	116244	0	8
2020.06.17	1.25717	1.25883	1.25108	1.25546	96282	0	8
2020.06.18	1.25345	1.25668	1.24014	1.24207	95672	0	8
2020.06.19	1.24233	1.24558	1.23438	1.23474	80992	0	8
2020.06.22	1.23441	1.24766	1.23349	1.24691	70092	0	8
2020.06.23	1.24611	1.25316	1.24316	1.25209	88884	0	8
2020.06.24	1.25136	1.25422	1.24139	1.24199	92456	0	8
2020.06.25	1.24169	1.24641	1.23888	1.24180	83282	0	8
2020.06.26	1.24169	1.24367	1.23141	1.23340	71984	0	8
2020.06.29	1.23316	1.23892	1.22512	1.22977	68168	0	8
2020.06.30	1.22904	1.24014	1.22574	1.24003	71322	0	8
2020.07.01	1.23949	1.24900	1.23592	1.24742	72863	0	8
2020.07.02	1.24654	1.25295	1.24560	1.24680	63946	0	8
2020.07.03	1.24617	1.24978	1.24377	1.24838	56196	0	8
2020.07.06	1.24715	1.25196	1.24635	1.24916	62780	0	8
2020.07.07	1.24894	1.25918	1.24621	1.25429	77535	0	8
2020.07.08	1.25349	1.26227	1.25082	1.26095	76337	0	8
2020.07.09	1.26090	1.26693	1.25999	1.26054	77003	0	8
2020.07.10	1.25985	1.26634	1.25664	1.26197	64335	0	8
2020.07.13	1.26243	1.26658	1.25499	1.25531	66132	0	8
2020.07.14	1.25553	1.25633	1.24797	1.25542	75430	0	8
2020.07.15	1.25551	1.26492	1.25489	1.25878	69679	0	8
2020.07.16	1.25789	1.26241	1.25195	1.25539	64774	0	8
2020.07.17	1.25506	1.25742	1.25114	1.25660	54518	0	8
2020.07.20	1.25533	1.26650	1.25180	1.26607	67427	0	8
2020.07.21	1.26563	1.27674	1.26498	1.27329	75410	0	8
2020.07.22	1.27256	1.27432	1.26437	1.27346	77946	0	8
2020.07.23	1.27135	1.27598	1.26728	1.27403	75289	0	8
2020.07.24	1.27304	1.28033	1.27169	1.27927	66295	0	8
2020.07.27	1.27936	1.29024	1.27739	1.28790	73215	0	8
2020.07.28	1.28826	1.29524	1.28378	1.29315	72257	0	8
2020.07.29	1.29229	1.30129	1.29115	1.29951	73311	0	8
2020.07.30	1.29830	1.31025	1.29442	1.30937	83292	0	8
2020.07.31	1.30867	1.31698	1.30700	1.30840	111276	0	8
2020.08.03	1.30661	1.31122	1.30044	1.30752	82200	0	8
2020.08.04	1.30730	1.31074	1.29808	1.30706	72602	0	8
2020.08.05	1.30575	1.31612	1.30535	1.31129	80421	0	8
2020.08.06	1.31120	1.31854	1.31101	1.31417	101150	0	8
2020.08.07	1.31424	1.31521	1.30090	1.30505	88645	0	8
2020.08.10	1.30607	1.31030	1.30186	1.30724	58996	0	8
2020.08.11	1.30612	1.31315	1.30413	1.30473	81240	0	8
2020.08.12	1.30498	1.30673	1.30047	1.30315	80730	0	8
2020.08.13	1.30304	1.31248	1.30283	1.30671	69697	0	8
2020.08.14	1.30571	1.31421	1.30463	1.30843	62013	0	8
2020.08.17	1.30854	1.31213	1.30735	1.31040	59009	0	8
2020.08.18	1.31044	1.32495	1.30936	1.32378	80802	0	8
2020.08.19	1.32288	1.32668	1.30935	1.30985	94948	0	8
2020.08.20	1.30925	1.32244	1.30642	1.32131	95173	0	8
2020.08.21	1.32137	1.32545	1.30586	1.30876	98392	0	8
2020.08.24	1.30847	1.31486	1.30534	1.30627	68612	0	8
2020.08.25	1.30637	1.31702	1.30540	1.31504	81068	0	8
2020.08.26	1.31427	1.32187	1.31168	1.32103	74896	0	8
2020.08.27	1.32016	1.32841	1.31609	1.31984	105945	0	8
2020.08.28	1.31935	1.33561	1.31860	1.33498	99436	0	8
2020.08.31	1.33426	1.33954	1.33009	1.33653	80193	0	8
2020.09.01	1.33651	1.34821	1.33559	1.33833	99100	0	8
2020.09.02	1.33699	1.34023	1.32831	1.33509	95652	0	8
2020.09.03	1.33482	1.33598	1.32421	1.32800	100551	0	8
2020.09.04	1.32687	1.33186	1.31756	1.32798	103052	0	8
