<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	1588.680	1620.270	1582.334	1612.910	107906	0	160
2020.04.03	1610.620	1625.740	1605.940	1615.920	84286	0	160
2020.04.06	1616.510	1668.930	1608.673	1660.160	92431	0	160
2020.04.07	1660.620	1673.150	1642.380	1648.430	90726	0	160
2020.04.08	1644.080	1657.080	1639.930	1644.720	68951	0	160
2020.04.09	1642.680	1690.200	1642.680	1682.430	98578	0	160
2020.04.13	1687.720	1723.030	1674.220	1711.370	94157	0	160
2020.04.14	1708.963	1747.645	1700.745	1726.220	136770	0	160
2020.04.15	1727.020	1730.735	1707.095	1714.510	115477	0	160
2020.04.16	1713.660	1738.680	1707.890	1717.220	131994	0	160
2020.04.17	1715.240	1718.450	1679.204	1681.480	136441	0	160
2020.04.20	1678.670	1702.380	1670.030	1695.300	123185	0	160
2020.04.21	1694.440	1697.670	1659.820	1685.110	130189	0	160
2020.04.22	1684.560	1718.680	1679.660	1713.730	136660	0	160
2020.04.23	1711.290	1738.990	1707.200	1730.170	147752	0	160
2020.04.24	1728.610	1736.320	1706.920	1727.500	124462	0	160
2020.04.27	1725.930	1727.540	1706.000	1714.020	130394	0	160
2020.04.28	1713.010	1715.580	1687.930	1708.340	159206	0	160
2020.04.29	1706.970	1717.840	1697.766	1711.610	132852	0	160
2020.04.30	1711.505	1721.970	1681.362	1686.240	137106	0	160
2020.05.01	1685.860	1705.900	1670.380	1699.870	173404	0	160
2020.05.04	1700.310	1714.480	1691.490	1700.560	89794	0	160
2020.05.05	1699.315	1711.762	1689.808	1704.962	91709	0	160
2020.05.06	1703.822	1708.130	1681.692	1684.820	90648	0	160
2020.05.07	1682.195	1721.960	1680.195	1715.610	95409	0	160
2020.05.08	1714.900	1723.500	1700.551	1703.693	104360	0	160
2020.05.11	1700.770	1712.090	1692.100	1697.390	100449	0	160
2020.05.12	1695.860	1710.900	1693.640	1701.860	96968	0	160
2020.05.13	1701.760	1718.460	1698.990	1716.310	123666	0	160
2020.05.14	1715.460	1736.300	1710.860	1730.040	108837	0	160
2020.05.15	1728.620	1751.600	1728.600	1744.215	121056	0	160
2020.05.18	1744.610	1765.339	1727.440	1732.090	128016	0	160
2020.05.19	1729.862	1747.920	1726.200	1744.380	113789	0	160
2020.05.20	1744.906	1753.830	1742.150	1747.300	111374	0	160
2020.05.21	1747.000	1748.710	1717.180	1726.830	115804	0	160
2020.05.22	1726.000	1740.700	1724.346	1735.700	89898	0	160
2020.05.25	1732.365	1734.730	1720.940	1728.746	48488	0	160
2020.05.26	1727.410	1735.330	1708.856	1710.350	101694	0	160
2020.05.27	1708.150	1715.940	1693.600	1709.030	96967	0	160
2020.05.28	1709.050	1727.510	1705.010	1718.030	98419	0	160
2020.05.29	1717.760	1737.750	1712.550	1728.560	92639	0	160
2020.06.01	1734.850	1744.990	1727.070	1739.270	100280	0	160
2020.06.02	1736.050	1745.170	1721.590	1727.770	93567	0	160
2020.06.03	1724.780	1731.910	1689.380	1697.660	103159	0	160
2020.06.04	1698.580	1721.886	1696.850	1713.850	98481	0	160
2020.06.05	1713.000	1716.300	1670.683	1684.890	118065	0	160
2020.06.08	1682.710	1700.590	1677.280	1697.880	101592	0	160
2020.06.09	1696.760	1720.780	1692.260	1714.080	108663	0	160
2020.06.10	1713.090	1739.760	1708.377	1738.110	102781	0	160
2020.06.11	1737.320	1744.740	1721.480	1726.860	118147	0	160
2020.06.12	1726.920	1743.040	1722.150	1730.970	100897	0	160
2020.06.15	1734.560	1734.560	1704.097	1724.650	117446	0	160
2020.06.16	1724.780	1732.770	1716.730	1726.860	107278	0	160
2020.06.17	1725.300	1730.220	1712.357	1726.370	82328	0	160
2020.06.18	1725.030	1737.690	1717.400	1722.110	85214	0	160
2020.06.19	1720.970	1745.200	1720.970	1743.567	77411	0	160
2020.06.22	1746.618	1763.090	1742.780	1754.690	99540	0	160
2020.06.23	1753.650	1770.945	1747.320	1767.490	95121	0	160
2020.06.24	1767.440	1779.310	1760.690	1761.330	98132	0	160
