<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	3.261	3.355	3.202	3.322	7526	0	4
2020.10.28	3.329	3.348	3.291	3.303	7165	0	4
2020.10.29	3.313	3.377	3.187	3.346	9170	0	4
2020.10.30	3.350	3.431	3.295	3.420	7726	0	4
2020.11.02	3.426	3.426	3.245	3.284	7517	0	4
2020.11.03	3.288	3.292	3.099	3.118	7000	0	4
2020.11.04	3.124	3.154	3.071	3.121	6311	0	4
2020.11.05	3.130	3.182	3.004	3.010	7727	0	4
2020.11.06	3.015	3.053	2.950	2.979	6916	0	4
2020.11.09	2.947	3.016	2.923	2.949	7159	0	4
2020.11.10	2.957	3.092	2.947	3.043	7202	0	4
2020.11.11	3.034	3.137	3.010	3.123	7471	0	4
2020.11.12	3.120	3.152	3.044	3.050	7117	0	4
2020.11.13	3.055	3.184	3.050	3.087	7003	0	4
2020.11.16	2.989	3.003	2.824	2.828	6931	0	4
2020.11.17	2.832	2.878	2.794	2.829	5701	0	4
2020.11.18	2.838	2.910	2.819	2.830	5734	0	4
2020.11.19	2.840	2.859	2.651	2.726	9349	0	4
2020.11.20	2.721	2.803	2.710	2.771	5895	0	4
2020.11.23	2.811	2.833	2.752	2.814	4494	0	4
2020.11.24	2.807	2.901	2.793	2.882	4670	0	4
2020.11.25	2.880	2.993	2.830	2.939	6410	0	4
2020.11.26	2.933	2.942	2.899	2.923	2704	0	4
2020.11.27	2.914	2.950	2.823	2.835	4787	0	4
2020.11.30	2.819	2.987	2.818	2.923	7498	0	4
2020.12.01	2.926	2.958	2.826	2.870	7470	0	4
2020.12.02	2.870	2.924	2.739	2.746	7205	0	4
2020.12.03	2.753	2.761	2.483	2.513	9777	0	4
2020.12.04	2.516	2.625	2.464	2.567	7346	0	4
2020.12.07	2.458	2.485	2.392	2.434	7487	0	4
2020.12.08	2.437	2.488	2.380	2.450	6178	0	4
2020.12.09	2.455	2.530	2.429	2.439	6518	0	4
2020.12.10	2.436	2.599	2.393	2.576	7847	0	4
2020.12.11	2.582	2.630	2.532	2.598	5878	0	4
2020.12.14	2.651	2.707	2.610	2.652	6182	0	4
2020.12.15	2.662	2.690	2.592	2.660	6277	0	4
2020.12.16	2.662	2.692	2.614	2.675	5907	0	4
2020.12.17	2.683	2.719	2.604	2.657	6391	0	4
2020.12.18	2.649	2.708	2.640	2.687	4931	0	4
2020.12.21	2.702	2.704	2.622	2.682	6021	0	4
2020.12.22	2.680	2.770	2.665	2.726	5842	0	4
2020.12.23	2.727	2.757	2.548	2.587	7255	0	4
2020.12.24	2.575	2.610	2.501	2.505	5601	0	4
2020.12.28	2.315	2.363	2.266	2.346	5807	0	4
2020.12.29	2.340	2.479	2.300	2.442	5185	0	4
2020.12.30	2.433	2.467	2.384	2.426	4772	0	4
2020.12.31	2.424	2.534	2.422	2.525	4795	0	4
2021.01.04	2.611	2.655	2.558	2.598	5894	0	4
2021.01.05	2.582	2.713	2.576	2.686	6107	0	4
2021.01.06	2.672	2.746	2.590	2.691	7150	0	4
2021.01.07	2.697	2.730	2.644	2.653	6904	0	4
2021.01.08	2.651	2.700	2.609	2.665	6022	0	4
2021.01.11	2.596	2.770	2.567	2.749	6110	0	4
2021.01.12	2.751	2.848	2.681	2.705	7447	0	4
2021.01.13	2.692	2.781	2.674	2.707	7118	0	4
2021.01.14	2.696	2.744	2.630	2.641	6850	0	4
2021.01.15	2.636	2.750	2.604	2.710	7370	0	4
2021.01.18	2.621	2.626	2.561	2.597	3927	0	4
2021.01.19	2.610	2.640	2.505	2.523	5871	0	4
2021.01.20	2.522	2.550	2.456	2.532	5709	0	4
2021.01.21	2.522	2.536	2.461	2.501	5737	0	4
2021.01.22	2.502	2.507	2.429	2.459	4821	0	4
2021.01.25	2.522	2.611	2.502	2.605	5097	0	4
2021.01.26	2.601	2.661	2.593	2.640	5135	0	4
2021.01.27	2.632	2.741	2.621	2.685	5370	0	4
2021.01.28	2.673	2.702	2.599	2.686	6838	0	4
2021.01.29	2.684	2.707	2.565	2.578	5881	0	4
2021.02.01	2.730	2.852	2.712	2.800	7358	0	4
2021.02.02	2.815	2.967	2.794	2.821	9299	0	4
2021.02.03	2.806	2.861	2.740	2.760	7289	0	4
2021.02.04	2.762	2.939	2.726	2.921	7413	0	4
2021.02.05	2.920	3.004	2.831	2.853	8997	0	4
2021.02.08	2.894	2.952	2.825	2.865	7005	0	4
2021.02.09	2.858	2.897	2.777	2.806	6211	0	4
2021.02.10	2.802	2.921	2.744	2.912	7338	0	4
2021.02.11	2.913	2.967	2.812	2.817	8541	0	4
2021.02.12	2.831	2.923	2.801	2.878	7249	0	4
2021.02.15	2.957	2.967	2.907	2.942	3892	0	4
2021.02.16	2.972	3.024	2.908	2.968	9276	0	4
2021.02.17	2.955	3.040	2.935	3.020	8848	0	4
2021.02.18	3.023	3.045	2.930	2.933	9281	0	4
2021.02.19	2.936	3.022	2.900	2.981	6938	0	4
2021.02.22	2.957	2.958	2.867	2.923	6018	0	4
2021.02.23	2.918	2.931	2.846	2.864	5226	0	4
2021.02.24	2.865	2.867	2.794	2.806	4805	0	4
2021.02.25	2.807	2.860	2.767	2.768	5401	0	4
2021.02.26	2.773	2.794	2.705	2.771	5285	0	4
2021.03.01	2.796	2.814	2.735	2.782	4215	0	7
2021.03.02	2.792	2.865	2.766	2.854	4363	0	4
2021.03.03	2.853	2.893	2.831	2.844	3566	0	4
