<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	0.88063	0.88497	0.88048	0.88412	50446	0	26
2020.10.28	0.88410	0.88703	0.88190	0.88460	70744	0	26
2020.10.29	0.88466	0.88595	0.88164	0.88279	73076	0	26
2020.10.30	0.88286	0.88621	0.87957	0.88077	68042	0	26
2020.11.02	0.87955	0.88198	0.87630	0.87669	63254	0	26
2020.11.03	0.87697	0.88231	0.87587	0.88013	64102	0	26
2020.11.04	0.87884	0.88311	0.87624	0.87901	124889	0	26
2020.11.05	0.87874	0.88397	0.87799	0.88312	96882	0	26
2020.11.06	0.88282	0.88822	0.88147	0.88429	86251	0	26
2020.11.09	0.88513	0.88842	0.88277	0.88665	97500	0	26
2020.11.10	0.88627	0.89051	0.88547	0.89003	87378	0	26
2020.11.11	0.88864	0.89980	0.88777	0.89885	74544	0	26
2020.11.12	0.89843	0.90297	0.89765	0.89887	65643	0	26
2020.11.13	0.89905	0.90051	0.89477	0.89877	57702	0	26
2020.11.16	0.89881	0.90407	0.89794	0.90254	56224	0	26
2020.11.17	0.90219	0.90401	0.90004	0.90284	60030	0	26
2020.11.18	0.90245	0.90666	0.90155	0.90586	62957	0	26
2020.11.19	0.90500	0.90574	0.90192	0.90421	61577	0	26
2020.11.20	0.90352	0.90915	0.90287	0.90705	63664	0	26
2020.11.23	0.90637	0.90987	0.90388	0.90570	58714	0	26
2020.11.24	0.90505	0.91213	0.90462	0.90679	65915	0	26
2020.11.25	0.90581	0.91165	0.90564	0.91114	63593	0	26
2020.11.26	0.91042	0.91279	0.90932	0.91128	48262	0	26
2020.11.27	0.91144	0.91373	0.91111	0.91205	54073	0	26
2020.11.30	0.91274	0.91479	0.90956	0.91207	66464	0	26
2020.12.01	0.91182	0.91543	0.91089	0.91368	63542	0	26
2020.12.02	0.91378	0.91521	0.91043	0.91281	65165	0	26
2020.12.03	0.91307	0.91617	0.90934	0.91008	57629	0	26
2020.12.04	0.90962	0.91055	0.89862	0.89976	63231	0	26
2020.12.07	0.89982	0.90437	0.89854	0.90103	57859	0	26
2020.12.08	0.90112	0.90382	0.89882	0.90277	57620	0	26
2020.12.09	0.90196	0.90651	0.89922	0.90024	59466	0	26
2020.12.10	0.89974	0.90451	0.89835	0.90430	68956	0	26
2020.12.11	0.90356	0.90601	0.90236	0.90430	62706	0	26
2020.12.14	0.90543	0.90747	0.90328	0.90369	55200	0	26
2020.12.15	0.90335	0.90459	0.89989	0.89989	58345	0	26
2020.12.16	0.89922	0.90720	0.89922	0.90610	63091	0	26
2020.12.17	0.90565	0.91095	0.90517	0.90972	51963	0	26
2020.12.18	0.90822	0.91278	0.90725	0.91254	55706	0	26
2020.12.21	0.91074	0.91300	0.90535	0.91285	82031	0	26
2020.12.22	0.91086	0.91356	0.90711	0.90855	65942	0	26
2020.12.23	0.90840	0.91297	0.90734	0.91105	65264	0	26
2020.12.24	0.91117	0.91376	0.90861	0.91344	50855	0	26
2020.12.28	0.91373	0.91573	0.91155	0.91213	51609	0	26
2020.12.29	0.91196	0.91699	0.91063	0.91600	54860	0	26
2020.12.30	0.91599	0.92086	0.91496	0.91835	58214	0	26
2020.12.31	0.91790	0.92221	0.91601	0.91611	56114	0	26
2021.01.04	0.91504	0.91761	0.91301	0.91661	79484	0	26
2021.01.05	0.91607	0.92131	0.91575	0.91850	87885	0	26
2021.01.06	0.91730	0.92558	0.91730	0.92457	115785	0	26
2021.01.07	0.92434	0.92518	0.91898	0.92041	90894	0	26
2021.01.08	0.91990	0.92271	0.91676	0.91807	96524	0	26
2021.01.11	0.91829	0.92003	0.91510	0.91525	81340	0	26
2021.01.12	0.91332	0.91935	0.91332	0.91850	83011	0	26
2021.01.13	0.91780	0.91964	0.91098	0.91133	73646	0	26
