<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	0.60535	0.60954	0.60527	0.60936	27547	0	46
2020.10.28	0.60931	0.61092	0.60352	0.60444	39818	0	46
2020.10.29	0.60440	0.60725	0.60359	0.60642	41902	0	46
2020.10.30	0.60654	0.60988	0.60339	0.60606	42882	0	46
2020.11.02	0.60501	0.60977	0.60435	0.60957	33559	0	46
2020.11.03	0.60857	0.61264	0.60805	0.61083	31197	0	46
2020.11.04	0.60972	0.61305	0.60601	0.61023	73589	0	46
2020.11.05	0.60883	0.61328	0.60883	0.61174	52805	0	46
2020.11.06	0.61079	0.61374	0.60867	0.60923	45734	0	46
2020.11.09	0.60957	0.62420	0.60957	0.62260	62915	0	46
2020.11.10	0.62101	0.62665	0.62101	0.62477	50840	0	46
2020.11.11	0.62288	0.63247	0.62260	0.63069	41263	0	46
2020.11.12	0.63002	0.63308	0.62536	0.62560	35923	0	46
2020.11.13	0.62563	0.62565	0.62282	0.62446	33158	0	46
2020.11.16	0.62419	0.62994	0.62381	0.62979	33827	0	46
2020.11.17	0.62937	0.63070	0.62528	0.62769	31212	0	46
2020.11.18	0.62751	0.63169	0.62653	0.63026	35965	0	46
2020.11.19	0.63021	0.63104	0.62762	0.62967	35209	0	46
2020.11.20	0.62863	0.63338	0.62860	0.63093	35917	0	46
2020.11.23	0.63076	0.63337	0.63043	0.63125	38479	0	46
2020.11.24	0.63106	0.63804	0.63082	0.63545	41163	0	46
2020.11.25	0.63392	0.63701	0.63392	0.63603	39475	0	46
2020.11.26	0.63548	0.63647	0.63290	0.63421	25814	0	46
2020.11.27	0.63416	0.63741	0.63337	0.63384	32810	0	46
2020.11.30	0.63434	0.63735	0.63340	0.63689	42159	0	46
2020.12.01	0.63506	0.63865	0.63477	0.63551	39849	0	46
2020.12.02	0.63489	0.63681	0.63009	0.63182	41014	0	46
2020.12.03	0.63163	0.63265	0.62955	0.62991	35444	0	46
2020.12.04	0.62919	0.63034	0.62608	0.62752	38224	0	46
2020.12.07	0.62662	0.62798	0.62520	0.62697	36896	0	46
2020.12.08	0.62543	0.62728	0.62410	0.62582	32559	0	46
2020.12.09	0.62497	0.62994	0.62415	0.62438	34532	0	46
2020.12.10	0.62438	0.62935	0.62336	0.62859	41644	0	46
2020.12.11	0.62753	0.63114	0.62746	0.63009	35422	0	46
2020.12.14	0.63068	0.63091	0.62751	0.62757	29942	0	46
2020.12.15	0.62660	0.62862	0.62482	0.62733	32685	0	46
2020.12.16	0.62733	0.62940	0.62555	0.62913	36563	0	46
2020.12.17	0.62784	0.63370	0.62784	0.63195	32550	0	46
2020.12.18	0.63048	0.63269	0.62872	0.63016	32577	0	46
2020.12.21	0.62915	0.62999	0.62318	0.62859	51609	0	46
2020.12.22	0.62806	0.62957	0.62386	0.62579	37275	0	46
2020.12.23	0.62474	0.63124	0.62460	0.62991	34950	0	46
2020.12.24	0.62893	0.63459	0.62846	0.63355	24521	0	46
2020.12.28	0.63082	0.63481	0.63008	0.63075	30736	0	46
2020.12.29	0.62950	0.63399	0.62926	0.63125	30411	0	46
2020.12.30	0.63085	0.63663	0.62892	0.63453	30679	0	46
2020.12.31	0.63326	0.63777	0.63326	0.63702	28853	0	46
2021.01.04	0.63487	0.63704	0.63016	0.63177	48235	0	46
2021.01.05	0.63052	0.63734	0.63007	0.63651	47480	0	46
2021.01.06	0.63581	0.64221	0.63581	0.64041	61456	0	46
2021.01.07	0.63931	0.64302	0.63857	0.64209	52524	0	46
2021.01.08	0.64090	0.64382	0.63909	0.64019	58151	0	46
2021.01.11	0.63892	0.64082	0.63697	0.63704	50018	0	46
2021.01.12	0.63633	0.64062	0.63633	0.64017	46488	0	46
2021.01.13	0.63843	0.64106	0.63597	0.63681	41539	0	46
2021.01.14	0.63597	0.64178	0.63587	0.64119	45607	0	46
2021.01.15	0.63914	0.64148	0.63309	0.63513	45808	0	46
2021.01.18	0.63429	0.63580	0.63234	0.63299	35289	0	46
2021.01.19	0.63209	0.63567	0.63062	0.63201	41519	0	46
2021.01.20	0.63177	0.63797	0.63126	0.63759	40709	0	46
2021.01.21	0.63640	0.64051	0.63537	0.63855	41600	0	46
2021.01.22	0.63637	0.63902	0.63409	0.63507	39283	0	46
2021.01.25	0.63428	0.63975	0.63415	0.63879	43749	0	46
2021.01.26	0.63821	0.64301	0.63719	0.64155	32195	0	46
2021.01.27	0.64103	0.64209	0.63502	0.63567	48953	0	46
2021.01.28	0.63499	0.63831	0.63177	0.63711	49382	0	46
2021.01.29	0.63616	0.64187	0.63591	0.63914	56083	0	46
2021.02.01	0.63641	0.64303	0.63629	0.64167	47178	0	46
2021.02.02	0.64075	0.64562	0.64075	0.64502	39731	0	46
2021.02.03	0.64412	0.64839	0.64412	0.64776	40057	0	46
2021.02.04	0.64652	0.64964	0.64581	0.64696	39070	0	46
2021.02.05	0.64580	0.64807	0.64451	0.64707	38652	0	46
2021.02.08	0.64556	0.64965	0.64499	0.64857	30763	0	46
2021.02.09	0.64630	0.65002	0.64492	0.64565	34752	0	46
2021.02.10	0.64475	0.64619	0.64090	0.64168	34804	0	46
2021.02.11	0.64021	0.64487	0.64021	0.64275	23387	0	46
2021.02.12	0.64230	0.64408	0.64050	0.64341	22174	0	46
2021.02.15	0.64143	0.64563	0.64114	0.64253	19522	0	46
2021.02.16	0.64251	0.64553	0.64225	0.64311	32908	0	48
2021.02.17	0.64258	0.64597	0.64162	0.64575	36047	0	46
2021.02.18	0.64457	0.64707	0.64336	0.64653	34628	0	46
2021.02.19	0.64601	0.65451	0.64562	0.65379	33301	0	46
2021.02.22	0.65206	0.65758	0.65156	0.65623	41350	0	46
2021.02.23	0.65517	0.66478	0.65441	0.66443	40575	0	46
2021.02.24	0.66181	0.67558	0.66122	0.67417	49962	0	46
2021.02.25	0.67384	0.67640	0.66637	0.66653	60268	0	46
2021.02.26	0.66595	0.66782	0.65460	0.65672	68600	0	46
2021.03.01	0.65621	0.66608	0.65584	0.66427	45356	0	46
2021.03.02	0.66374	0.66747	0.66109	0.66656	47518	0	46
2021.03.03	0.66419	0.66858	0.66404	0.66663	40108	0	46
