<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	69.929	70.216	69.851	70.056	44126	0	28
2020.10.28	70.049	70.060	69.137	69.265	58531	0	28
2020.10.29	69.270	69.509	68.958	69.322	64342	0	28
2020.10.30	69.334	69.685	68.857	69.208	73724	0	28
2020.11.02	69.049	69.512	68.923	69.479	63983	0	28
2020.11.03	69.425	70.233	69.344	70.012	69893	0	28
2020.11.04	69.892	70.465	69.419	69.957	137672	0	28
2020.11.05	69.946	70.244	69.687	70.075	92335	0	28
2020.11.06	70.018	70.376	69.878	69.983	86658	0	28
2020.11.09	70.112	72.071	70.008	71.833	109135	0	28
2020.11.10	71.768	72.052	71.542	71.888	92314	0	28
2020.11.11	71.848	72.713	71.599	72.542	74918	0	28
2020.11.12	72.529	72.776	71.821	71.894	66472	0	28
2020.11.13	71.925	71.943	71.466	71.599	59172	0	28
2020.11.16	71.652	72.292	71.551	72.178	60143	0	28
2020.11.17	72.177	72.260	71.588	71.776	57782	0	28
2020.11.18	71.785	72.102	71.559	71.839	61154	0	28
2020.11.19	71.816	71.903	71.507	71.755	62691	0	28
2020.11.20	71.712	72.153	71.663	71.942	61161	0	28
2020.11.23	71.872	72.398	71.855	72.349	62020	0	28
2020.11.24	72.282	73.071	72.251	72.858	65825	0	28
2020.11.25	72.824	73.229	72.722	73.170	63433	0	28
2020.11.26	73.134	73.255	72.895	72.982	49721	0	28
2020.11.27	72.995	73.221	72.875	73.079	49507	0	28
2020.11.30	72.999	73.449	72.943	73.123	66686	0	28
2020.12.01	73.108	73.817	73.074	73.685	62699	0	28
2020.12.02	73.665	74.025	73.523	73.769	65791	0	28
2020.12.03	73.776	73.879	73.370	73.468	63441	0	28
2020.12.04	73.431	73.522	73.131	73.338	61919	0	28
2020.12.07	73.312	73.454	73.062	73.242	61875	0	28
2020.12.08	73.206	73.408	73.079	73.351	59861	0	28
2020.12.09	73.296	73.832	73.108	73.197	60108	0	28
2020.12.10	73.149	73.975	73.035	73.965	68713	0	28
2020.12.11	73.933	73.993	73.513	73.686	61979	0	28
2020.12.14	73.784	73.880	73.619	73.646	56356	0	28
2020.12.15	73.651	73.763	73.314	73.470	54471	0	28
2020.12.16	73.460	73.620	73.199	73.559	64546	0	28
2020.12.17	73.549	73.889	73.449	73.710	58537	0	28
2020.12.18	73.677	73.867	73.524	73.714	58855	0	28
2020.12.21	73.615	73.646	72.705	73.318	84396	0	28
2020.12.22	73.368	73.429	72.795	72.928	66933	0	28
2020.12.23	72.932	73.548	72.828	73.445	63240	0	28
2020.12.24	73.416	73.774	73.394	73.718	40504	0	28
2020.12.28	73.580	73.847	73.511	73.663	51634	0	28
2020.12.29	73.590	74.229	73.522	73.994	55174	0	28
2020.12.30	74.020	74.457	73.941	74.339	53839	0	28
2020.12.31	74.272	74.614	74.172	74.276	50147	0	28
2021.01.04	74.178	74.338	73.785	73.986	80624	0	28
2021.01.05	73.905	74.515	73.874	74.456	76414	0	28
2021.01.06	74.407	75.275	74.333	75.162	101307	0	28
2021.01.07	75.117	75.401	74.962	75.309	86195	0	28
2021.01.08	75.235	75.564	74.920	75.196	90687	0	28
2021.01.11	75.072	75.159	74.586	74.625	74600	0	28
2021.01.12	74.605	75.015	74.490	74.956	72782	0	28
2021.01.13	74.904	75.002	74.474	74.570	65062	0	28
2021.01.14	74.442	75.029	74.442	74.967	71858	0	28
2021.01.15	74.855	74.980	73.867	74.041	65152	0	28
2021.01.18	74.027	74.133	73.637	73.649	59031	0	28
2021.01.19	73.688	74.280	73.635	73.930	64577	0	28
2021.01.20	73.942	74.253	73.781	74.225	62575	0	28
2021.01.21	74.208	74.719	74.175	74.681	65960	0	28
2021.01.22	74.634	74.781	74.326	74.478	72094	0	28
2021.01.25	74.413	74.893	74.411	74.659	67492	0	28
2021.01.26	74.651	75.109	74.361	74.994	60378	0	28
2021.01.27	75.003	75.073	74.431	74.502	87882	0	28
2021.01.28	74.518	74.969	74.111	74.782	88155	0	28
2021.01.29	74.698	75.635	74.643	75.161	104705	0	28
2021.02.01	75.075	75.390	74.901	75.092	82809	0	28
2021.02.02	75.049	75.542	74.979	75.467	73032	0	28
2021.02.03	75.434	75.849	75.360	75.696	61806	0	28
2021.02.04	75.591	75.844	75.373	75.529	57921	0	28
2021.02.05	75.421	75.931	75.310	75.866	58915	0	28
2021.02.08	75.677	76.112	75.673	75.952	57213	0	28
2021.02.09	75.914	76.123	75.521	75.679	71614	0	28
2021.02.10	75.686	75.746	75.353	75.436	63814	0	28
2021.02.11	75.337	75.898	75.333	75.678	39463	0	28
2021.02.12	75.723	75.856	75.399	75.716	43653	0	28
2021.02.15	75.589	76.281	75.570	76.111	30952	0	28
2021.02.16	76.116	76.709	76.057	76.420	52230	0	28
2021.02.17	76.436	76.448	75.779	76.091	56441	0	28
2021.02.18	76.080	76.326	75.972	76.283	54166	0	28
2021.02.19	76.225	77.209	76.121	76.892	50331	0	28
2021.02.22	76.822	77.403	76.808	76.983	55919	0	28
2021.02.23	76.864	77.338	76.776	77.273	55853	0	28
2021.02.24	77.143	78.894	77.055	78.735	66498	0	28
2021.02.25	78.690	79.197	78.141	78.269	78217	0	28
2021.02.26	78.229	78.476	76.928	77.012	90323	0	28
2021.03.01	77.067	77.710	77.040	77.540	58570	0	28
2021.03.02	77.515	77.955	77.047	77.778	57346	0	28
2021.03.03	77.580	78.054	77.486	77.670	48732	0	28
