<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	0.66729	0.67235	0.66711	0.67063	36568	0	17
2020.10.28	0.67061	0.67189	0.66278	0.66423	46906	0	17
2020.10.29	0.66423	0.66592	0.65960	0.66281	49111	0	17
2020.10.30	0.66286	0.66704	0.65971	0.66128	54955	0	17
2020.11.02	0.66070	0.66347	0.65885	0.66337	46984	0	17
2020.11.03	0.66293	0.67172	0.66209	0.66993	42597	0	17
2020.11.04	0.66904	0.67428	0.66130	0.66935	95755	0	17
2020.11.05	0.66844	0.67772	0.66780	0.67706	62750	0	17
2020.11.06	0.67689	0.68012	0.67505	0.67714	53249	0	17
2020.11.09	0.67866	0.68543	0.67825	0.68170	73363	0	17
2020.11.10	0.68093	0.68393	0.68026	0.68309	56613	0	17
2020.11.11	0.68197	0.69033	0.68083	0.68815	47111	0	17
2020.11.12	0.68804	0.69137	0.68342	0.68401	37465	0	17
2020.11.13	0.68343	0.68479	0.68098	0.68453	33908	0	17
2020.11.16	0.68425	0.69060	0.68411	0.69039	36277	0	17
2020.11.17	0.69006	0.69181	0.68746	0.68898	36952	0	17
2020.11.18	0.68895	0.69444	0.68749	0.69222	35550	0	17
2020.11.19	0.69185	0.69280	0.68779	0.69182	42085	0	17
2020.11.20	0.69137	0.69499	0.69035	0.69276	43862	0	17
2020.11.23	0.69266	0.69670	0.68962	0.69218	38830	0	17
2020.11.24	0.69160	0.70041	0.69160	0.69766	42148	0	17
2020.11.25	0.69697	0.70142	0.69594	0.70062	41135	0	17
2020.11.26	0.70031	0.70133	0.69921	0.70010	26889	0	17
2020.11.27	0.70014	0.70388	0.70000	0.70221	31146	0	17
2020.11.30	0.70253	0.70501	0.70091	0.70112	40629	0	17
2020.12.01	0.70066	0.70671	0.70062	0.70651	38219	0	17
2020.12.02	0.70576	0.70835	0.70308	0.70660	40357	0	17
