<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	117.33	117.63	109.78	113.52	764	0	120
2020.04.03	112.51	112.56	108.79	109.91	609	0	120
2020.04.06	109.69	109.97	106.44	106.64	578	0	120
2020.04.07	106.42	106.42	103.68	103.93	564	0	120
2020.04.08	104.26	105.57	100.33	104.34	1011	0	120
2020.04.09	103.53	108.56	102.22	108.46	803	0	120
2020.04.13	108.43	108.53	102.62	104.03	704	0	120
2020.04.14	104.76	106.47	104.21	105.31	644	0	120
2020.04.15	103.73	107.53	103.33	107.53	437	0	120
2020.04.16	107.76	108.23	107.06	107.74	423	0	120
2020.04.17	107.42	107.78	104.33	104.53	329	0	120
2020.04.20	104.88	105.67	103.70	105.60	339	0	120
2020.04.21	105.15	105.34	103.89	104.76	371	0	120
2020.04.22	105.14	106.37	105.07	105.37	352	0	120
2020.04.23	105.80	107.25	104.69	105.41	469	0	120
2020.04.24	105.52	107.25	105.52	106.88	375	0	120
2020.04.27	107.30	110.54	107.30	110.09	530	0	120
2020.04.28	110.28	112.33	110.18	111.99	402	0	120
2020.04.29	112.27	113.09	110.87	111.84	456	0	120
2020.04.30	112.17	112.62	108.67	109.21	601	0	120
2020.05.01	108.98	112.07	108.86	111.18	671	0	120
2020.05.04	111.51	114.87	111.31	114.28	502	0	120
2020.05.05	114.44	115.46	113.65	115.39	556	0	120
2020.05.06	115.25	117.75	115.25	117.63	497	0	120
2020.05.07	117.67	117.74	116.58	117.33	474	0	120
2020.05.08	117.27	118.48	115.62	115.87	520	0	120
2020.05.11	113.72	114.91	112.46	113.53	734	0	120
2020.05.12	113.39	115.52	113.27	113.62	486	0	120
2020.05.13	113.61	116.26	113.61	115.87	473	0	120
2020.05.14	115.83	118.01	115.64	117.37	483	0	120
2020.05.15	117.81	122.73	116.52	121.75	774	0	120
2020.05.18	121.01	125.08	120.91	125.03	568	0	120
2020.05.19	125.00	125.89	124.87	125.08	424	0	120
2020.05.20	125.61	125.61	121.63	123.56	713	0	120
2020.05.21	122.96	125.44	122.71	125.27	693	0	120
2020.05.22	124.74	125.66	122.86	125.44	566	0	120
2020.05.26	126.83	128.17	126.59	127.36	714	0	120
2020.05.27	127.35	128.84	126.61	127.73	479	0	120
2020.05.28	127.37	127.75	126.06	126.14	824	0	120
2020.05.29	126.16	126.16	120.13	121.05	1060	0	120
2020.06.01	120.76	123.69	120.27	122.95	737	0	120
2020.06.02	123.31	125.21	123.31	124.78	601	0	120
2020.06.03	125.12	126.94	125.07	126.27	829	0	120
2020.06.04	126.49	127.11	123.04	124.16	729	0	120
2020.06.05	124.02	126.22	124.02	126.14	505	0	120
2020.06.08	126.28	126.90	123.70	125.04	874	0	120
2020.06.09	124.68	125.25	122.70	124.64	543	0	120
2020.06.10	124.68	125.60	124.48	124.98	998	0	120
2020.06.11	124.45	130.37	123.88	127.19	699	0	120
2020.06.12	127.38	127.48	120.80	121.45	795	0	120
2020.06.15	121.31	121.85	116.86	116.86	729	0	120
2020.06.16	116.70	116.92	113.92	114.84	780	0	120
2020.06.17	115.25	119.51	114.61	119.16	761	0	120
2020.06.18	118.93	119.68	116.05	116.42	523	0	120
2020.06.19	116.54	119.43	116.54	117.34	485	0	120
2020.06.22	117.87	120.21	115.90	119.57	415	0	120
2020.06.23	119.53	120.95	117.84	118.79	936	0	120
2020.06.24	119.03	119.31	117.36	118.71	795	0	120
2020.06.25	118.40	119.96	116.34	119.91	618	0	120
2020.06.26	120.65	121.98	120.65	121.22	675	0	120
2020.06.29	122.13	122.79	121.56	122.00	702	0	120
2020.06.30	121.84	124.30	119.44	124.09	743	0	120
