<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	2357.23	2382.60	2314.17	2331.31	10609	0	59
2020.10.28	2331.08	2354.16	2205.49	2243.41	14551	0	214
2020.10.29	2241.30	2278.12	2184.04	2194.35	16894	0	264
2020.10.30	2195.40	2248.94	2179.17	2207.17	18258	0	118
2020.11.02	2203.36	2262.60	2193.66	2213.53	28464	0	56
2020.11.03	2213.05	2306.26	2213.05	2285.85	23874	0	444
2020.11.04	2288.69	2315.38	2227.60	2288.62	37005	0	183
2020.11.05	2286.59	2427.12	2269.68	2379.51	30530	0	194
2020.11.06	2368.32	2500.33	2365.23	2487.06	33546	0	34
2020.11.09	2485.36	2514.27	2431.19	2479.86	21606	0	37
2020.11.10	2482.26	2496.79	2448.74	2457.69	13428	0	534
2020.11.11	2458.30	2469.21	2304.70	2318.30	14261	0	50
2020.11.12	2318.17	2365.78	2308.39	2335.22	12939	0	75
2020.11.13	2335.78	2352.54	2313.27	2315.76	11837	0	175
2020.11.16	2323.48	2365.30	2301.57	2331.24	16673	0	163
2020.11.17	2326.44	2345.34	2305.45	2319.67	14319	0	87
2020.11.18	2315.96	2379.85	2312.87	2335.55	23311	0	159
2020.11.19	2330.98	2346.15	2276.22	2322.37	20791	0	31
2020.11.20	2317.86	2341.43	2310.21	2320.71	29738	0	363
2020.11.23	2323.27	2356.25	2319.11	2346.78	6107	0	338
2020.11.24	2344.65	2357.67	2313.29	2344.42	8959	0	298
2020.11.25	2341.73	2349.79	2322.09	2327.09	9229	0	333
2020.11.26	2335.45	2398.80	2324.45	2389.16	4416	0	233
2020.11.27	2389.40	2430.44	2341.88	2418.38	4594	0	443
2020.11.30	2425.56	2428.36	2365.94	2376.39	5544	0	150
2020.12.01	2376.39	2432.63	2368.80	2410.57	3984	0	256
2020.12.02	2405.55	2426.94	2378.12	2404.86	6758	0	361
2020.12.03	2404.81	2417.77	2227.46	2307.30	9349	0	34
2020.12.04	2309.61	2386.48	2308.86	2341.80	9471	0	472
2020.12.07	2343.39	2377.13	2310.39	2331.07	12541	0	82
2020.12.08	2331.32	2349.81	2295.54	2312.65	7242	0	67
2020.12.09	2314.40	2326.42	2257.98	2263.28	5999	0	287
2020.12.10	2257.03	2370.90	2255.90	2330.91	9787	0	60
2020.12.11	2334.98	2358.77	2310.44	2313.53	8109	0	497
2020.12.14	2324.33	2333.15	2293.83	2296.73	5558	0	139
2020.12.15	2295.69	2361.94	2294.25	2306.67	10094	0	426
2020.12.16	2312.86	2349.00	2307.64	2328.02	10156	0	348
2020.12.17	2325.91	2358.46	2318.17	2335.64	8382	0	245
2020.12.18	2332.62	2385.89	2325.03	2350.35	10704	0	366
2020.12.21	2349.38	2388.54	2291.01	2306.69	7950	0	596
2020.12.22	2307.76	2351.44	2301.92	2308.78	12551	0	366
2020.12.23	2309.69	2341.89	2304.27	2324.44	5166	0	768
2020.12.24	2324.44	2343.52	2310.58	2338.56	6101	0	486
2020.12.28	2330.80	2463.56	2328.53	2330.57	13981	0	180
2020.12.29	2337.56	2363.99	2312.11	2326.48	9239	0	820
2020.12.30	2326.48	2372.14	2323.57	2354.92	8011	0	984
2020.12.31	2350.67	2451.12	2350.67	2429.85	9807	0	655
2021.01.04	2446.10	2473.87	2356.99	2377.96	21344	0	508
2021.01.05	2378.22	2521.43	2358.00	2466.11	17106	0	486
2021.01.06	2465.61	2484.23	2392.27	2432.84	15147	0	466
2021.01.07	2432.95	2452.26	2396.91	2422.35	12304	0	255
2021.01.08	2422.35	2438.27	2336.85	2357.95	12608	0	467
2021.01.11	2367.41	2395.26	2337.62	2367.18	17080	0	439
2021.01.12	2370.80	2396.12	2358.86	2389.95	15581	0	900
2021.01.13	2388.21	2403.82	2367.82	2386.33	32969	0	869
2021.01.14	2389.98	2419.73	2369.25	2407.44	45979	0	577
2021.01.15	2405.79	2455.46	2367.44	2376.17	46498	0	753
2021.01.18	2383.94	2397.28	2351.24	2364.14	43262	0	1041
2021.01.19	2363.27	2384.15	2347.34	2354.41	51702	0	845
2021.01.20	2353.86	2399.75	2338.05	2368.81	52285	0	164
