<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	874.51	888.42	871.80	882.30	79625	0	75
2020.10.28	882.22	888.07	857.40	869.29	97928	0	14
2020.10.29	869.24	877.22	845.93	848.69	89997	0	16
2020.10.30	851.59	862.08	843.54	846.83	94739	0	18
2020.11.02	846.31	865.34	837.48	860.84	47866	0	18
2020.11.03	860.76	884.99	857.25	870.08	48543	0	12
2020.11.04	871.76	880.09	849.49	871.42	57763	0	16
2020.11.05	870.32	907.48	868.72	895.23	41294	0	15
2020.11.06	894.20	914.09	888.43	893.95	44221	0	48
2020.11.09	902.89	906.70	850.40	869.04	73746	0	12
2020.11.10	868.95	894.16	866.29	885.24	45861	0	12
2020.11.11	885.46	892.04	859.79	867.71	41336	0	13
2020.11.12	867.86	886.14	864.13	882.73	42601	0	23
2020.11.13	881.38	897.93	880.14	890.81	32471	0	56
2020.11.16	893.16	929.09	889.99	928.23	48662	0	14
2020.11.17	928.17	937.50	919.38	929.33	28569	0	12
2020.11.18	928.95	955.78	911.62	944.44	25470	0	12
2020.11.19	944.19	954.34	931.22	952.40	26615	0	12
2020.11.20	949.28	964.56	946.14	947.33	21904	0	16
2020.11.23	949.94	952.71	918.33	930.14	28259	0	12
2020.11.24	931.15	964.06	923.89	962.22	36474	0	36
2020.11.25	958.83	970.42	948.83	966.34	27874	0	87
2020.11.26	966.26	970.71	952.43	966.81	12894	0	126
2020.11.27	962.58	971.57	946.50	961.59	23483	0	43
2020.11.30	970.43	979.98	953.16	965.54	47149	0	266
2020.12.01	966.68	1002.90	964.71	1000.47	37425	0	32
2020.12.02	1000.52	1018.16	981.02	1013.38	34804	0	225
2020.12.03	1012.01	1037.00	998.57	1030.90	35389	0	150
2020.12.04	1030.75	1080.04	1026.07	1056.04	39714	0	237
2020.12.07	1062.08	1065.29	1003.18	1020.60	44711	0	102
2020.12.08	1020.43	1033.35	1011.69	1025.57	34706	0	431
2020.12.09	1026.02	1030.98	991.12	1001.54	39004	0	385
2020.12.10	1002.75	1039.08	998.13	1027.23	35479	0	275
2020.12.11	1027.33	1034.91	1001.24	1008.71	37550	0	30
2020.12.14	1013.99	1026.78	997.42	1005.58	35178	0	380
2020.12.15	1005.55	1038.53	994.27	1036.92	38193	0	386
2020.12.16	1036.54	1050.47	1020.28	1035.33	38523	0	65
2020.12.17	1035.23	1059.15	1029.96	1044.65	28520	0	31
2020.12.18	1044.80	1052.57	1025.62	1036.36	36586	0	239
2020.12.21	1035.46	1054.52	944.53	1011.12	52716	0	217
2020.12.22	1011.51	1021.39	987.61	1004.21	49106	0	16
2020.12.23	1004.28	1021.41	1001.36	1015.28	42371	0	146
2020.12.24	1015.69	1029.24	1013.06	1026.35	27913	0	14
2020.12.28	1026.03	1050.51	1023.96	1026.80	38954	0	304
2020.12.29	1026.70	1062.26	1026.70	1049.41	25791	0	97
2020.12.30	1049.33	1070.64	1049.05	1068.43	29532	0	244
2020.12.31	1068.31	1081.24	1059.51	1066.10	23526	0	258
2021.01.04	1074.68	1130.56	1041.12	1071.55	43829	0	14
2021.01.05	1071.66	1116.35	1058.72	1111.67	40223	0	56
2021.01.06	1111.64	1115.79	1078.45	1102.24	53767	0	135
2021.01.07	1102.09	1122.94	1088.71	1116.87	30651	0	154
2021.01.08	1117.02	1129.24	1051.43	1065.92	37661	0	14
2021.01.11	1065.93	1066.43	1008.22	1033.74	42056	0	36
2021.01.12	1039.10	1077.76	1036.36	1076.18	35133	0	61
2021.01.13	1076.18	1107.59	1062.00	1098.40	39021	0	65
2021.01.14	1098.40	1122.02	1094.66	1118.38	37211	0	191
2021.01.15	1119.47	1122.47	1070.59	1072.42	44828	0	71
2021.01.18	1076.20	1088.80	1065.60	1080.20	31202	0	226
2021.01.19	1090.53	1102.81	1074.95	1084.47	42640	0	165
2021.01.20	1085.09	1117.44	1078.80	1110.66	52142	0	45
2021.01.21	1110.71	1154.11	1097.24	1126.45	43189	0	174
2021.01.22	1126.44	1129.51	1085.48	1099.19	43772	0	143
2021.01.25	1104.07	1118.18	1079.90	1098.87	37791	0	202
2021.01.26	1096.66	1107.11	1078.09	1099.12	37974	0	184
2021.01.27	1099.13	1100.55	1059.30	1066.83	46248	0	144
2021.01.28	1066.92	1099.18	1050.88	1069.45	55331	0	64
2021.01.29	1069.93	1113.62	1064.57	1073.29	56135	0	150
2021.02.01	1081.67	1132.67	1081.20	1129.26	69540	0	119
2021.02.02	1129.28	1129.28	1084.79	1093.84	49775	0	278
2021.02.03	1094.16	1109.04	1089.76	1103.24	54177	0	176
2021.02.04	1103.17	1104.22	1076.86	1099.81	49292	0	281
2021.02.05	1099.81	1127.53	1095.50	1124.63	38892	0	17
2021.02.08	1131.59	1173.93	1129.32	1160.33	41767	0	133
2021.02.09	1160.06	1191.76	1157.24	1179.14	50631	0	277
2021.02.10	1179.14	1251.40	1179.14	1243.06	54114	0	229
2021.02.11	1243.06	1271.09	1224.22	1236.11	40494	0	235
2021.02.12	1236.01	1254.54	1207.87	1251.73	41157	0	217
2021.02.15	1256.71	1305.77	1256.68	1303.36	25936	0	27
2021.02.16	1302.42	1337.45	1256.50	1264.18	60448	0	90
2021.02.17	1261.55	1263.50	1222.92	1253.26	66177	0	60
2021.02.18	1256.06	1286.78	1243.32	1272.03	57209	0	200
2021.02.19	1276.67	1299.73	1230.12	1270.25	66206	0	249
2021.02.22	1292.16	1300.82	1259.92	1273.70	51233	0	171
2021.02.23	1273.93	1277.20	1209.90	1238.50	59020	0	16
2021.02.24	1241.45	1271.28	1235.79	1268.80	51768	0	245
2021.02.25	1268.80	1269.92	1216.88	1216.88	51097	0	16
2021.02.26	1216.78	1233.74	1166.80	1186.90	61772	0	132
2021.03.01	1190.57	1228.43	1184.80	1186.74	49454	0	127
