<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	1155.0	1188.0	1155.0	1179.2	1029	0	36
2020.04.03	1180.4	1185.5	1162.9	1163.9	827	0	36
2020.04.06	1164.0	1181.8	1160.0	1172.5	999	0	36
2020.04.07	1177.6	1187.1	1174.2	1187.1	604	0	36
2020.04.08	1181.5	1186.4	1175.7	1178.2	555	0	36
2020.04.09	1183.4	1185.9	1164.9	1167.9	508	0	36
2020.04.14	1179.2	1179.2	1141.7	1146.0	750	0	36
2020.04.15	1144.8	1164.3	1111.6	1164.3	1215	0	36
2020.04.16	1159.7	1163.1	1149.1	1157.9	657	0	36
2020.04.17	1157.7	1159.7	1142.9	1148.2	614	0	36
2020.04.20	1144.9	1147.9	1131.5	1132.5	682	0	36
2020.04.21	1128.0	1128.0	1094.0	1098.9	981	0	36
2020.04.22	1096.8	1107.9	1070.8	1081.4	901	0	36
2020.04.23	1087.0	1112.8	1083.6	1109.9	914	0	36
2020.04.24	1108.7	1110.1	1087.7	1103.2	686	0	36
2020.04.27	1104.2	1117.7	1095.4	1111.4	866	0	36
2020.04.28	1111.7	1149.6	1107.8	1141.9	948	0	36
2020.04.29	1146.0	1149.1	1124.8	1144.2	990	0	36
2020.04.30	1151.7	1160.1	1129.5	1150.9	1221	0	36
2020.05.01	1152.1	1169.3	1143.5	1165.4	708	0	36
2020.05.04	1166.5	1168.4	1145.2	1161.8	938	0	36
2020.05.05	1165.9	1177.6	1155.2	1164.1	802	0	36
2020.05.06	1158.1	1170.3	1151.8	1161.6	699	0	36
2020.05.07	1158.0	1158.0	1135.6	1147.4	919	0	36
2020.05.11	1162.5	1171.4	1153.8	1164.1	746	0	36
2020.05.12	1157.1	1162.0	1146.5	1149.0	572	0	36
2020.05.13	1144.4	1147.3	1113.4	1117.2	727	0	36
2020.05.14	1112.1	1144.4	1112.1	1135.7	855	0	36
2020.05.15	1143.7	1155.5	1137.4	1149.7	704	0	36
2020.05.18	1147.9	1155.8	1137.1	1151.7	647	0	36
2020.05.19	1151.9	1165.0	1148.0	1152.8	633	0	36
2020.05.20	1146.7	1160.5	1143.8	1155.6	601	0	36
2020.05.21	1156.4	1161.9	1144.2	1161.9	650	0	36
2020.05.22	1155.3	1181.9	1153.0	1181.9	713	0	36
2020.05.26	1195.1	1199.2	1185.4	1190.9	740	0	36
2020.05.27	1193.6	1197.5	1178.0	1188.8	828	0	36
2020.05.28	1187.7	1188.6	1150.1	1151.1	976	0	36
2020.05.29	1158.7	1162.1	1138.8	1142.7	934	0	36
2020.06.01	1146.7	1153.6	1131.1	1139.5	907	0	36
2020.06.02	1146.6	1161.9	1135.4	1156.1	834	0	36
2020.06.03	1161.7	1180.0	1153.4	1178.1	796	0	36
2020.06.04	1183.2	1185.2	1169.1	1176.0	695	0	36
2020.06.05	1179.2	1215.2	1171.9	1210.3	1025	0	36
2020.06.08	1214.9	1230.7	1200.7	1230.3	1183	0	36
2020.06.09	1232.5	1234.5	1194.3	1194.3	1049	0	36
2020.06.10	1193.1	1211.4	1186.7	1204.6	988	0	36
2020.06.11	1194.5	1198.5	1169.6	1174.0	806	0	36
2020.06.12	1167.4	1194.5	1158.2	1159.7	911	0	36
2020.06.15	1155.3	1164.3	1143.6	1146.1	842	0	36
2020.06.16	1153.3	1156.2	1127.2	1132.2	833	0	36
2020.06.17	1129.5	1146.4	1124.6	1135.6	951	0	36
2020.06.18	1133.4	1136.3	1105.3	1114.8	843	0	36
2020.06.19	1114.5	1129.6	1106.5	1127.7	756	0	36
2020.06.22	1129.9	1142.6	1121.2	1142.6	729	0	36
2020.06.23	1142.8	1149.1	1130.9	1137.7	926	0	36
2020.06.24	1136.5	1143.9	1130.4	1130.9	730	0	36
2020.06.25	1130.2	1135.6	1109.6	1110.6	775	0	36
2020.06.26	1111.4	1116.9	1102.3	1112.0	665	0	36
2020.06.29	1112.7	1150.0	1111.3	1130.8	1442	0	36
2020.06.30	1132.0	1146.7	1131.1	1143.8	933	0	36
2020.07.01	1150.8	1165.5	1145.1	1158.2	840	0	36
2020.07.02	1166.8	1166.8	1152.4	1160.6	842	0	36
2020.07.03	1158.0	1160.6	1149.9	1158.7	453	0	36
2020.07.06	1143.4	1155.1	1133.9	1134.9	929	0	36
2020.07.07	1135.7	1155.7	1120.7	1152.8	843	0	36
2020.07.08	1152.1	1166.8	1150.2	1154.2	719	0	36
