<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	13.929	14.546	13.890	14.469	41258	0	12
2020.04.03	14.461	14.536	14.262	14.382	33943	0	12
2020.04.06	14.425	15.076	14.235	14.992	32490	0	12
2020.04.07	14.978	15.503	14.869	15.003	30081	0	12
2020.04.08	14.990	15.134	14.831	14.934	25868	0	12
2020.04.09	14.939	15.542	14.879	15.389	32865	0	12
2020.04.13	15.433	15.485	15.110	15.374	33434	0	12
2020.04.14	15.288	15.840	15.288	15.753	39457	0	12
2020.04.15	15.720	15.774	15.268	15.459	35606	0	12
2020.04.16	15.459	15.588	15.206	15.514	34021	0	12
2020.04.17	15.516	15.542	15.021	15.171	39760	0	12
2020.04.20	15.112	15.429	15.045	15.308	34669	0	12
2020.04.21	15.301	15.325	14.533	14.873	52945	0	12
2020.04.22	14.884	15.155	14.668	15.084	41108	0	12
2020.04.23	15.050	15.437	14.954	15.235	47465	0	12
2020.04.24	15.227	15.383	15.014	15.219	30410	0	12
2020.04.27	15.156	15.320	15.015	15.187	28495	0	12
2020.04.28	15.176	15.223	14.898	15.144	32363	0	12
2020.04.29	15.130	15.388	15.086	15.281	28947	0	12
2020.04.30	15.281	15.500	14.603	14.951	41723	0	12
2020.05.01	14.891	15.039	14.740	14.958	36713	0	12
2020.05.04	14.970	15.061	14.692	14.766	29420	0	12
2020.05.05	14.771	15.037	14.716	14.950	23435	0	12
2020.05.06	14.928	15.157	14.816	14.845	26705	0	12
2020.05.07	14.812	15.427	14.787	15.336	25195	0	12
2020.05.08	15.320	15.628	15.205	15.464	33414	0	12
2020.05.11	15.469	15.607	15.269	15.479	24900	0	12
2020.05.12	15.469	15.628	15.327	15.429	23102	0	12
2020.05.13	15.414	15.657	15.308	15.559	24969	0	12
2020.05.14	15.532	15.893	15.442	15.870	24474	0	12
2020.05.15	15.852	16.720	15.764	16.646	33478	0	12
2020.05.18	16.785	17.558	16.668	16.956	44835	0	12
2020.05.19	16.941	17.482	16.935	17.331	32677	0	12
