<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.21	10.135	10.140	9.731	10.010	1997	0	48
2020.04.22	9.911	10.170	9.871	10.001	2161	0	48
2020.04.23	10.061	10.130	9.881	10.041	1445	0	48
2020.04.24	9.941	9.961	9.682	9.742	1398	0	48
2020.04.27	9.668	9.792	9.303	9.333	1514	0	48
2020.04.28	9.333	9.583	9.174	9.563	1684	0	48
2020.04.29	9.578	9.993	9.578	9.953	1581	0	48
2020.04.30	10.098	10.392	10.003	10.372	1875	0	48
2020.05.01	10.447	10.962	10.223	10.772	2137	0	48
2020.05.04	10.673	10.853	10.294	10.339	2065	0	48
2020.05.05	10.399	10.823	10.334	10.633	2025	0	48
2020.05.06	10.594	10.693	10.204	10.254	2008	0	48
2020.05.07	10.254	10.504	10.235	10.285	2088	0	48
2020.05.08	10.295	10.305	10.215	10.270	157	0	48
2020.05.11	10.301	10.405	10.066	10.066	1491	0	48
2020.05.12	10.076	10.326	10.016	10.216	1357	0	48
2020.05.13	10.201	10.291	10.067	10.246	1448	0	48
2020.05.14	10.267	10.576	10.247	10.426	1717	0	48
2020.05.15	10.532	10.636	10.257	10.347	1721	0	48
2020.05.18	10.517	10.787	10.468	10.697	1418	0	48
2020.05.19	10.782	10.937	10.688	10.768	1576	0	48
2020.05.20	10.818	11.257	10.818	11.177	1489	0	48
2020.05.21	11.168	11.278	10.838	10.888	1418	0	48
2020.05.22	10.768	10.958	10.629	10.958	1598	0	48
2020.05.26	11.109	11.159	10.850	11.055	1610	0	48
2020.05.27	11.030	11.085	10.690	10.760	1672	0	48
2020.05.28	10.710	10.840	10.521	10.820	1607	0	48
2020.05.29	10.796	10.921	10.651	10.891	1716	0	48
2020.06.01	10.981	11.091	10.792	10.912	1746	0	48
2020.06.02	10.992	11.242	10.977	11.242	1007	0	48
2020.06.03	11.272	11.602	11.192	11.562	1702	0	48
2020.06.04	11.572	11.702	11.412	11.682	1641	0	48
2020.06.05	11.717	12.022	11.717	12.022	2006	0	48
2020.06.08	12.048	12.233	11.863	11.863	2071	0	48
